"group","outcome","coef","se","p_value","stars","n","n_events"
"high_vix","car_1",0.00032,0.000174,0.07922,"*",1180,23
"low_vix","car_1",-9e-06,0.000224,0.9699,"",1232,24
"high_vix","car_20",0.002169,0.000753,0.008671,"***",1180,23
"low_vix","car_20",0.000193,0.001019,0.8513,"",1238,24
