"outcome","spec","coef","se","p_value","stars","n","n_events","r2"
"ff3_car_1","base",0.000257,0.000141,0.07452,"*",3765,47,0.0149
"ff3_car_1","base+VIX+news",0.000231,0.000143,0.1122,"",3765,47,0.0156
"ff3_car_20","base",0.001006,0.000442,0.02763,"**",3782,47,0.1034
"ff3_car_20","base+VIX+news",0.001067,0.00042,0.01454,"**",3782,47,0.1056
