"group","outcome","coef","se","p_value","stars","n","n_events","r2"
"open","car_1",-3.4e-05,0.000221,0.8804,"",566,11,0.0383
"closed","car_1",0.000252,0.000151,0.1054,"",1846,36,0.0375
"open","car_5",-0.000554,0.000815,0.5122,"",566,11,0.0328
"closed","car_5",0.00026,0.000362,0.4781,"",1852,36,0.028
"open","car_20",-0.003086,0.000853,0.004708,"***",566,11,0.0759
"closed","car_20",0.002019,0.000619,0.002468,"***",1852,36,0.0986
