"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","n_events","r_squared"
"Creator price-efficiency leap","mkt_car_5","all event-firm panel","z_leap_low_price",-0.000793279628353801,0.00157649037434955,0.618274469755761,-0.00400448543751029,0.00241792618080269,2644,33,0.0320309738187425
"Creator speed leap","mkt_car_5","all event-firm panel","z_leap_speed",-0.00336041536141099,0.00173805771553948,0.062071135390498,-0.00690072307505144,0.000179892352229457,2644,33,0.0335120661042844
"AA intelligence","mkt_car_20","all event-firm panel","z_intelligence",0.0200643052689677,0.008791505720878,0.0271477709018819,0.00236792209553742,0.037760688442398,3780,47,0.106456896764162
"AA coding","mkt_car_20","all event-firm panel","z_coding",0.0115262885156519,0.00850925424451076,0.184491738641952,-0.00576659670114354,0.0288191737324474,2813,35,0.0844711202194026
"AA math","mkt_car_20","all event-firm panel","z_math",0.00259568582825494,0.00709238952684947,0.717874380377729,-0.0121130297985628,0.0173044014550726,1859,23,0.059293230633443
"MMLU-Pro","mkt_car_20","all event-firm panel","z_mmlu",0.00659667595157508,0.00851945552304907,0.443540321444019,-0.0106500600889931,0.0238434119921432,3154,39,0.107789718875301
"GPQA","mkt_car_20","all event-firm panel","z_gpqa",0.0114803241797084,0.00884818925408885,0.201384917037942,-0.00636375006630405,0.0293243984257209,3539,44,0.109730886508435
"HLE","mkt_car_20","all event-firm panel","z_hle",0.0220139331162502,0.00834109265394315,0.0115284874694253,0.00519251662800656,0.0388353496044939,3539,44,0.112654395250301
"LiveCodeBench","mkt_car_20","all event-firm panel","z_livecode",0.016897635589638,0.00731947922029847,0.0263551154203363,0.00209259143134252,0.0317026797479335,3233,40,0.121275960588244
"Lower blended price","mkt_car_20","all event-firm panel","z_low_price",-0.00739306084653953,0.00506043799264259,0.150825843497064,-0.0175791942105345,0.0027930725174554,3780,47,0.101882917228165
"Output speed","mkt_car_20","all event-firm panel","z_speed",0.00843677894315901,0.00712624513482397,0.242533497967106,-0.00590760852554916,0.0227811664118672,3780,47,0.102094203700705
"Lower TTFT","mkt_car_20","all event-firm panel","z_low_ttft",-0.0298801662980553,0.00715055935974863,0.000129650645973958,-0.0442734957631055,-0.0154868368330052,3780,47,0.115980762202574
"Media Elo","mkt_car_20","all event-firm panel","z_media_elo",-0.0111456402818118,0.00955065680330376,0.265876719945993,-0.0319547338565986,0.00966345329297507,1049,13,0.0438852481592892
"Better media rank","mkt_car_20","all event-firm panel","z_media_rank_good",-0.0118327338440548,0.0093852573567552,0.231350970113385,-0.0322814529826818,0.00861598529457217,1049,13,0.044711794088012
"Media sentiment w5","mkt_car_20","all event-firm panel","z_sent_w5",-0.0113066497664518,0.00337709988126028,0.00163046452728287,-0.0181043992545519,-0.00450890027835163,3711,47,0.0884259058593827
"Media sentiment w20","mkt_car_20","all event-firm panel","z_sent_w20",-0.0117324720684851,0.004226103661478,0.00758440814432105,-0.0202089625632928,-0.00325598157367744,4198,54,0.103574321588561
"Creator intelligence leap","mkt_car_20","all event-firm panel","z_leap_intelligence",-0.00952658108100274,0.00600587678713347,0.12252541819836,-0.0217601517654279,0.00270698960342245,2646,33,0.107177237232241
"Creator coding leap","mkt_car_20","all event-firm panel","z_leap_coding",-0.00623943293748612,0.00865161371658239,0.479140806448028,-0.024286382910141,0.0118075170351687,1679,21,0.0416579787497569
"Creator price-efficiency leap","mkt_car_20","all event-firm panel","z_leap_low_price",0.00515578675868161,0.00598793472338526,0.395627893359148,-0.00704123713784437,0.0173528106552076,2646,33,0.10522659937672
"Creator speed leap","mkt_car_20","all event-firm panel","z_leap_speed",-0.00833325606125493,0.00587886851096006,0.166002863193104,-0.0203081193530471,0.00364160723053726,2646,33,0.106518307790579
"AA intelligence","ff3_car_20","all event-firm panel","z_intelligence",0.0132653599951155,0.00583155459384554,0.0276289076873699,0.00152704941830538,0.0250036705719255,3782,47,0.103404834353625
"AA coding","ff3_car_20","all event-firm panel","z_coding",0.0129057596489057,0.00631639537610593,0.0488431538922769,6.92998271345849e-05,0.0257422194706768,2814,35,0.0931246141389916
"AA math","ff3_car_20","all event-firm panel","z_math",0.00727443543696807,0.00550080645938915,0.199608878930001,-0.0041335389309116,0.0186824098048477,1860,23,0.0647315176333254
"MMLU-Pro","ff3_car_20","all event-firm panel","z_mmlu",0.00603648651651025,0.00394187268651594,0.133960226861622,-0.00194341754495661,0.0140163905779771,3156,39,0.101692045897736
"GPQA","ff3_car_20","all event-firm panel","z_gpqa",0.00816052548106843,0.00468427146226057,0.0886383140408382,-0.00128620823593798,0.0176072591980748,3541,44,0.108253836711525
"HLE","ff3_car_20","all event-firm panel","z_hle",0.0156499021391805,0.00572366434999962,0.0090431649468923,0.00410703289353788,0.0271927713848231,3541,44,0.109780113028524
"LiveCodeBench","ff3_car_20","all event-firm panel","z_livecode",0.0107162236149885,0.00460413457889636,0.0252192040631053,0.00140348240762752,0.0200289648223494,3235,40,0.108504741614048
