"set_type","spec","role_old","role_match","coef_pct_old","se_pct_old","p_value_old","n_old","events_old","coef_pct_new","se_pct_new","p_value_new","n_new","events_new","sig_old","sig_new","sign_old","sign_new","sign_flip","sig_change"
"exclusive","controls_intelligence","competitor","competitor",0.25238866020724,0.412527091680429,0.543674964597855,338,47,-0.0153647253383714,0.583000900117654,0.979088549283218,233,47,FALSE,FALSE,1,-1,TRUE,FALSE
"exclusive","controls_intelligence","investor","is_investor",1.54594966225643,2.5592163143906,0.552941256806997,36,20,1.13708142004169,1.74312343458194,0.521269174456702,38,22,FALSE,FALSE,1,1,FALSE,FALSE
"exclusive","controls_intelligence","owner","is_owner",-0.0466047129931817,2.66799080070941,0.986236275988808,21,21,-0.0466047129931817,2.66799080070941,0.986236275988808,21,21,FALSE,FALSE,-1,-1,FALSE,FALSE
"exclusive","no_controls_intelligence","competitor","competitor",-0.5079420866525,0.689343126118262,0.464955624336318,338,47,-0.372104269983557,0.600284549678246,0.538395615065217,233,47,FALSE,FALSE,-1,-1,FALSE,FALSE
"exclusive","no_controls_intelligence","investor","is_investor",-4.05808959498435,1.83214002440406,0.0391810023659538,36,20,-3.59992230876907,1.74374777354194,0.0515425439352034,38,22,TRUE,TRUE,-1,-1,FALSE,FALSE
"exclusive","no_controls_intelligence","owner","is_owner",4.96033791292857,3.49375598046924,0.171074189720687,21,21,4.96033791292857,3.49375598046924,0.171074189720687,21,21,FALSE,FALSE,1,1,FALSE,FALSE
"flag","controls_intelligence","any_relation","any_relation",1.89644445741754,0.63776023338137,0.00467360227463295,1568,47,1.51654798960105,0.512872966671269,0.00489008118603043,3711,47,TRUE,TRUE,1,1,FALSE,FALSE
"flag","controls_intelligence","broad_downstream","broad_downstream",2.38663511037357,0.872812136998301,0.00884345955235703,1072,47,1.7658648529075,0.696071879118003,0.0146401056702496,2472,47,TRUE,TRUE,1,1,FALSE,FALSE
"flag","controls_intelligence","broad_upstream","broad_upstream",2.36069981279222,1.63365625939949,0.15522464843428,122,47,1.28989768850328,0.652006921716033,0.0538960117310673,1142,47,FALSE,TRUE,1,1,FALSE,TRUE
"flag","controls_intelligence","competitor","competitor",0.240110504280293,0.396690581483951,0.547964974518347,366,47,0.137975511163136,0.333195055814142,0.680726680393841,402,47,FALSE,FALSE,1,1,FALSE,FALSE
"flag","controls_intelligence","investor","is_investor",1.54594966225643,2.5592163143906,0.552941256806997,36,20,1.13708142004169,1.74312343458194,0.521269174456702,38,22,FALSE,FALSE,1,1,FALSE,FALSE
"flag","controls_intelligence","owner","is_owner",-0.0466047129931817,2.66799080070941,0.986236275988808,21,21,-0.0466047129931817,2.66799080070941,0.986236275988808,21,21,FALSE,FALSE,-1,-1,FALSE,FALSE
"flag","controls_intelligence","positive_exposure","positive_exposure",1.76888474851194,1.13696583374633,0.126762796997525,196,46,1.68968226064368,0.646923697302457,0.0121208781304681,2665,47,FALSE,TRUE,1,1,FALSE,TRUE
"flag","controls_intelligence","cloud","upstream_cloud",0.880695918590258,2.77450613087633,0.754383437901311,28,20,1.03076594421545,0.60719085158932,0.096340239702841,235,47,FALSE,TRUE,1,1,FALSE,TRUE
"flag","no_controls_intelligence","any_relation","any_relation",0.622152908688841,0.891249779113503,0.488648628551326,1568,47,0.677011631064355,0.646477192296479,0.300464157901832,3711,47,FALSE,FALSE,1,1,FALSE,FALSE
"flag","no_controls_intelligence","broad_downstream","broad_downstream",1.09904810662772,1.21129209684,0.368958338948562,1072,47,0.837755887448241,0.890114279027832,0.351530286744923,2472,47,FALSE,FALSE,1,1,FALSE,FALSE
"flag","no_controls_intelligence","broad_upstream","broad_upstream",0.54366500782423,1.09021167647808,0.62038229799353,122,47,0.584199007368033,0.58052666427969,0.319523247257774,1142,47,FALSE,FALSE,1,1,FALSE,FALSE
"flag","no_controls_intelligence","competitor","competitor",-0.616626521624762,0.69139254420468,0.377108762128937,366,47,-0.714839820516157,0.642342675725455,0.271548903413554,402,47,FALSE,FALSE,-1,-1,FALSE,FALSE
"flag","no_controls_intelligence","investor","is_investor",-4.05808959498435,1.83214002440406,0.0391810023659538,36,20,-3.59992230876907,1.74374777354194,0.0515425439352034,38,22,TRUE,TRUE,-1,-1,FALSE,FALSE
"flag","no_controls_intelligence","owner","is_owner",4.96033791292857,3.49375598046924,0.171074189720687,21,21,4.96033791292857,3.49375598046924,0.171074189720687,21,21,FALSE,FALSE,1,1,FALSE,FALSE
"flag","no_controls_intelligence","positive_exposure","positive_exposure",-0.241875513459949,0.860660559264903,0.779971937222,196,46,0.729889290972648,0.856131735814838,0.39832988675141,2665,47,FALSE,FALSE,-1,1,TRUE,FALSE
"flag","no_controls_intelligence","cloud","upstream_cloud",-3.44949577606191,1.85185131183561,0.0780364197991849,28,20,-0.506847845593017,0.743621537265826,0.498913248036299,235,47,TRUE,FALSE,-1,-1,FALSE,TRUE
