"set_type","role","role_label","spec","outcome","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","coef_pct","se_pct"
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_20","z_intelligence",0.091961885252558,0.0467634842875188,0.0632693423661945,-0.00558503363799785,0.189508804143114,21,21,0.683076147885317,9.1961885252558,4.67634842875188
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",0.00525845884747135,0.0861100559041109,0.951912199514052,-0.174363970210524,0.184880887905467,21,21,0.683076147885317,0.525845884747135,8.61100559041109
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.138860660265848,0.033780283636824,0.000543061323473171,-0.209325097170536,-0.0683962233611599,21,21,0.683076147885317,-13.8860660265848,3.3780283636824
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_intelligence",-0.189466511128738,0.0313611240727405,6.6145572308461e-06,-0.254884669609644,-0.124048352647831,21,21,0.906968585779738,-18.9466511128738,3.13611240727405
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_low_price",-0.150678027391129,0.0785024134045501,0.0693142491217087,-0.314431192275174,0.0130751374929163,21,21,0.906968585779738,-15.0678027391129,7.85024134045501
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_speed",-0.0105519662467327,0.0319714983488249,0.744799562395889,-0.0772433431567024,0.0561394106632369,21,21,0.906968585779738,-1.05519662467327,3.19714983488249
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_low_ttft",-0.166609827923873,0.101242373192177,0.115460644638256,-0.377797717717205,0.0445780618694585,21,21,0.906968585779738,-16.6609827923873,10.1242373192177
"flag","is_investor","主要投资者","controls_open_interaction","mkt_car_20","z_intelligence",0.00203764199729258,0.02622699120352,0.938808124043274,-0.0525043720150987,0.0565796560096839,38,22,0.587268130933127,0.203764199729258,2.622699120352
"flag","is_investor","主要投资者","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.055880433310799,0.0456179769974303,0.234151440336902,-0.150748209843124,0.0389873432215259,38,22,0.587268130933127,-5.5880433310799,4.56179769974303
"flag","is_investor","主要投资者","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.153635413723973,0.054310427194224,0.0100568688865618,-0.266580130030156,-0.0406906974177899,38,22,0.587268130933127,-15.3635413723973,5.4310427194224
"flag","is_investor","主要投资者","controls_cost_speed","mkt_car_20","z_intelligence",-0.0614394001059377,0.0243649144820467,0.0198280306396952,-0.112109013588408,-0.0107697866234674,38,22,0.741256755338752,-6.14394001059378,2.43649144820467
"flag","is_investor","主要投资者","controls_cost_speed","mkt_car_20","z_low_price",0.0112789889109626,0.0116007466095212,0.341985853856268,-0.0128460843473753,0.0354040621693005,38,22,0.741256755338752,1.12789889109626,1.16007466095212
"flag","is_investor","主要投资者","controls_cost_speed","mkt_car_20","z_speed",-0.0149555174194159,0.015042724813303,0.331442695404594,-0.0462385762035894,0.0163275413647576,38,22,0.741256755338752,-1.49555174194159,1.5042724813303
"flag","is_investor","主要投资者","controls_cost_speed","mkt_car_20","z_low_ttft",-0.080206926880556,0.0130387348865939,4.20042041603645e-06,-0.10732246046845,-0.0530913932926615,38,22,0.741256755338752,-8.0206926880556,1.30387348865939
"flag","is_investor","主要投资者","controls_sentiment","mkt_car_20","z_intelligence",0.0346122836464787,0.0197163242722431,0.0971725216474052,-0.00698552444071285,0.0762100917336702,28,18,0.690154229432875,3.46122836464787,1.97163242722431
"flag","is_investor","主要投资者","controls_sentiment","mkt_car_20","z_sent_w5",-0.0367171464687546,0.0159310292901751,0.0340619500541022,-0.0703286802360847,-0.00310561270142441,28,18,0.690154229432875,-3.67171464687546,1.59310292901751
"flag","is_investor","主要投资者","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",0.0225260732152637,0.0220380273041183,0.321038352325402,-0.0239701000956811,0.0690222465262084,28,18,0.690154229432875,2.25260732152637,2.20380273041183
"flag","upstream_cloud","云服务方","controls_open_interaction","mkt_car_20","z_intelligence",0.018127536488263,0.00414553475250686,6.95805885706571e-05,0.0097830078297744,0.0264720651467516,235,47,0.536526264067499,1.8127536488263,0.414553475250686
"flag","upstream_cloud","云服务方","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.0150970801091619,0.0110144454682669,0.177131916440197,-0.0372680089167745,0.00707384869845062,235,47,0.536526264067499,-1.50970801091619,1.10144454682669
"flag","upstream_cloud","云服务方","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.0437745548308723,0.00799642417220066,1.76282097930757e-06,-0.059870521854188,-0.0276785878075567,235,47,0.536526264067499,-4.37745548308723,0.799642417220066
"flag","upstream_cloud","云服务方","controls_cost_speed","mkt_car_20","z_intelligence",0.00229473844383718,0.0100398304550934,0.820221298422651,-0.0179143920931175,0.0225038689807919,235,47,0.530224297270963,0.229473844383718,1.00398304550934
