term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,estimate_pp,se_pp,conf.low_pp,conf.high_pp,variable,variable_label,outcome_label,table_family
downstream_any,-0.0058302086413713535,0.004276647769751639,-1.3632660334124116,0.1779785637309184,-0.014387761062355878,0.002727343779613171,59,car_10,car_10,4805,60,0.4052659091392562,-0.5830208641371354,0.4276647769751639,-1.4387761062355877,0.2727343779613171,downstream_any,Any downstream,"CAR[0,+10]",bundle_position_car_pre
downstream_any,-0.015080724137412264,0.005565790142046924,-2.7095387631460435,0.008806338707877653,-0.0262178444870574,-0.00394360378776713,59,car_15,car_15,4805,60,0.31936220854220376,-1.5080724137412265,0.5565790142046924,-2.62178444870574,-0.394360378776713,downstream_any,Any downstream,"CAR[0,+15]",bundle_position_car_pre
downstream_any,-0.018019364866339135,0.007077240094898983,-2.5461005455116377,0.01352468641740376,-0.03218088958585297,-0.0038578401468253015,59,car_20,car_20,4805,60,0.28257345942712064,-1.8019364866339136,0.7077240094898983,-3.2180889585852968,-0.38578401468253015,downstream_any,Any downstream,"CAR[0,+20]",bundle_position_car_pre
downstream_deployer,-0.0073414327590591395,0.0026961124675611236,-2.722969774959027,0.00849512824703827,-0.0127363413454551,-0.0019465241726631787,59,car_10,car_10,4805,60,0.4053481617424852,-0.734143275905914,0.26961124675611237,-1.27363413454551,-0.19465241726631788,downstream_deployer,Downstream deployer,"CAR[0,+10]",bundle_position_car_pre
downstream_deployer,-0.011571133267308116,0.003936199612790193,-2.9396713595797204,0.004684859812103124,-0.01944745049973412,-0.003694816034882113,59,car_15,car_15,4805,60,0.31811726109717253,-1.1571133267308116,0.3936199612790193,-1.944745049973412,-0.3694816034882113,downstream_deployer,Downstream deployer,"CAR[0,+15]",bundle_position_car_pre
downstream_deployer,-0.01648529648315174,0.004582342774710936,-3.5975694734429093,6.57975032701886e-4,-0.02565454319616449,-0.007316049770138994,59,car_20,car_20,4805,60,0.28169121789722595,-1.6485296483151741,0.4582342774710936,-2.5654543196164488,-0.7316049770138994,downstream_deployer,Downstream deployer,"CAR[0,+20]",bundle_position_car_pre
strategic_any,0.002458992892706581,0.0038594656628742666,0.6371329887348424,0.5265028739877502,-0.005263780060595196,0.010181765846008358,59,car_10,car_10,4805,60,0.4048503025767919,0.2458992892706581,0.3859465662874267,-0.5263780060595197,1.0181765846008357,strategic_any,Strategic/upstream,"CAR[0,+10]",bundle_position_car_pre
strategic_any,0.011719526469304827,0.005066607569535312,2.3130914144155224,0.024222561462829296,0.001581268140077639,0.021857784798532016,59,car_15,car_15,4805,60,0.31840732176165554,1.1719526469304826,0.5066607569535312,0.1581268140077639,2.1857784798532016,strategic_any,Strategic/upstream,"CAR[0,+15]",bundle_position_car_pre
strategic_any,0.015354108077914295,0.00622192039681509,2.4677442170063504,0.01651631066705447,0.0029040741210541836,0.027804142034774406,59,car_20,car_20,4805,60,0.28183792292303755,1.5354108077914295,0.622192039681509,0.29040741210541837,2.7804142034774406,strategic_any,Strategic/upstream,"CAR[0,+20]",bundle_position_car_pre
upstream_any,0.0026704476386093232,0.003876182673758281,0.6889375097536624,0.4935630258610637,-0.0050857759762068175,0.010426671253425465,59,car_10,car_10,4805,60,0.40486421568763087,0.26704476386093234,0.3876182673758281,-0.5085775976206818,1.0426671253425466,upstream_any,Any upstream,"CAR[0,+10]",bundle_position_car_pre
upstream_any,0.012519403518741385,0.005104650348821042,2.452548688595848,0.01716123779679229,0.0023050217639938204,0.02273378527348895,59,car_15,car_15,4805,60,0.3185682966844371,1.2519403518741385,0.5104650348821042,0.23050217639938203,2.273378527348895,upstream_any,Any upstream,"CAR[0,+15]",bundle_position_car_pre
upstream_any,0.0161794196772863,0.006317127175292794,2.5611989799044053,0.013008066760801797,0.003538877396729631,0.02881996195784297,59,car_20,car_20,4805,60,0.28199264476832986,1.61794196772863,0.6317127175292794,0.3538877396729631,2.8819961957842968,upstream_any,Any upstream,"CAR[0,+20]",bundle_position_car_pre
