term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,estimate_pp,se_pp,conf.low_pp,conf.high_pp,variable,variable_label,outcome_label,table_family
downstream_any,-0.009104377833466012,0.00420000159538346,-2.1677081845571973,0.03539179752251691,-0.01755854256026796,-6.502131066640649e-4,46,car_10,car_10,3762,47,0.40562825630489796,-0.9104377833466012,0.42000015953834596,-1.755854256026796,-0.06502131066640648,downstream_any,Any downstream,"CAR[0,+10]",aa_control_car_pre
downstream_any,-0.018559793999784625,0.005844317580433758,-3.175699086223706,0.0026681337588748293,-0.030323795136127183,-0.006795792863442066,46,car_15,car_15,3762,47,0.324590798911384,-1.8559793999784624,0.5844317580433758,-3.0323795136127183,-0.6795792863442066,downstream_any,Any downstream,"CAR[0,+15]",aa_control_car_pre
downstream_any,-0.022846751519323593,0.007624646305423067,-2.9964342743444674,0.0043910210387151484,-0.03819436851082697,-0.007499134527820217,46,car_20,car_20,3762,47,0.29942695932958885,-2.284675151932359,0.7624646305423066,-3.8194368510826973,-0.7499134527820217,downstream_any,Any downstream,"CAR[0,+20]",aa_control_car_pre
downstream_deployer,-0.005520650234390094,0.003173114012141064,-1.7398209497883834,0.08857804978579391,-0.011907797464298413,8.664969955182256e-4,46,car_10,car_10,3762,47,0.4047886169940328,-0.5520650234390094,0.3173114012141064,-1.1907797464298413,0.08664969955182256,downstream_deployer,Downstream deployer,"CAR[0,+10]",aa_control_car_pre
downstream_deployer,-0.011001324019510416,0.004501984634407886,-2.443660943537925,0.01843430735598346,-0.020063349076512943,-0.0019392989625078867,46,car_15,car_15,3762,47,0.3223198445076274,-1.1001324019510417,0.4501984634407886,-2.0063349076512944,-0.19392989625078866,downstream_deployer,Downstream deployer,"CAR[0,+15]",aa_control_car_pre
downstream_deployer,-0.015601458026945719,0.004881577235528655,-3.1959871316583075,0.0025195291805290023,-0.025427563360126623,-0.005775352693764816,46,car_20,car_20,3762,47,0.29712636710192175,-1.5601458026945718,0.4881577235528655,-2.5427563360126624,-0.5775352693764816,downstream_deployer,Downstream deployer,"CAR[0,+20]",aa_control_car_pre
upstream_any,0.00464210429149916,0.004062860113160588,1.1425705444453427,0.2591291613335388,-0.003536008949307082,0.012820217532305403,46,car_10,car_10,3762,47,0.4047551318717769,0.464210429149916,0.40628601131605885,-0.3536008949307082,1.2820217532305402,upstream_any,Any upstream,"CAR[0,+10]",aa_control_car_pre
upstream_any,0.014862277548046041,0.005926416750636646,2.50780162337545,0.015740117255567718,0.0029330193533271525,0.02679153574276493,46,car_15,car_15,3762,47,0.32334706311232186,1.4862277548046041,0.5926416750636646,0.29330193533271526,2.679153574276493,upstream_any,Any upstream,"CAR[0,+15]",aa_control_car_pre
upstream_any,0.02002879371399977,0.007419966342300842,2.699310588488341,0.009687322894918653,0.005093176119452109,0.034964411308547425,46,car_20,car_20,3762,47,0.2984174201528962,2.002879371399977,0.7419966342300842,0.509317611945211,3.4964411308547425,upstream_any,Any upstream,"CAR[0,+20]",aa_control_car_pre
upstream_hardware,0.0036227988551260637,0.004605207498407623,0.7866744020500153,0.43550673345010515,-0.005647003050529394,0.012892600760781522,46,car_10,car_10,3762,47,0.40462271775115854,0.36227988551260637,0.46052074984076236,-0.5647003050529394,1.289260076078152,upstream_hardware,Upstream hardware,"CAR[0,+10]",aa_control_car_pre
upstream_hardware,0.014618409941314166,0.006412047227391096,2.279835039091257,0.02730144606595639,0.0017116282972351009,0.02752519158539323,46,car_15,car_15,3762,47,0.3230350378617358,1.4618409941314165,0.6412047227391096,0.1711628297235101,2.752519158539323,upstream_hardware,Upstream hardware,"CAR[0,+15]",aa_control_car_pre
upstream_hardware,0.02201315511175339,0.007859199641379364,2.80094107749245,0.007427776259212812,0.006193406742591716,0.037832903480915066,46,car_20,car_20,3762,47,0.2985021139055979,2.201315511175339,0.7859199641379364,0.6193406742591716,3.7832903480915068,upstream_hardware,Upstream hardware,"CAR[0,+20]",aa_control_car_pre
