term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,estimate_pp,se_pp,conf.low_pp,conf.high_pp,variable,variable_label,outcome_label,table_family
competitor,5.724615547330857e-4,0.003710283413656647,0.1542905193242097,0.8779072468027935,-0.006851798407391423,0.007996721516857593,59,car_10,car_10,4805,60,0.40476924013644533,0.057246155473308566,0.3710283413656647,-0.6851798407391423,0.7996721516857593,competitor,Direct competitor,"CAR[0,+10]",single_position_car_pre
competitor,0.0016908201681671486,0.0044943283239744615,0.37621198236623454,0.7081087864297009,-0.007302310035716937,0.010683950372051235,59,car_15,car_15,4805,60,0.31717902187661384,0.16908201681671486,0.44943283239744614,-0.7302310035716937,1.0683950372051234,competitor,Direct competitor,"CAR[0,+15]",single_position_car_pre
competitor,-0.004131906593299008,0.005705785115254419,-0.7241609191086348,0.4718287877957268,-0.015549156237287932,0.0072853430506899155,59,car_20,car_20,4805,60,0.28032912321379233,-0.41319065932990084,0.5705785115254419,-1.554915623728793,0.7285343050689915,competitor,Direct competitor,"CAR[0,+20]",single_position_car_pre
downstream_deployer,-0.0073414327590591395,0.0026961124675611236,-2.722969774959027,0.00849512824703827,-0.0127363413454551,-0.0019465241726631787,59,car_10,car_10,4805,60,0.4053481617424852,-0.734143275905914,0.26961124675611237,-1.27363413454551,-0.19465241726631788,downstream_deployer,Downstream deployer,"CAR[0,+10]",single_position_car_pre
downstream_deployer,-0.011571133267308116,0.003936199612790193,-2.9396713595797204,0.004684859812103124,-0.01944745049973412,-0.003694816034882113,59,car_15,car_15,4805,60,0.31811726109717253,-1.1571133267308116,0.3936199612790193,-1.944745049973412,-0.3694816034882113,downstream_deployer,Downstream deployer,"CAR[0,+15]",single_position_car_pre
downstream_deployer,-0.01648529648315174,0.004582342774710936,-3.5975694734429093,6.57975032701886e-4,-0.02565454319616449,-0.007316049770138994,59,car_20,car_20,4805,60,0.28169121789722595,-1.6485296483151741,0.4582342774710936,-2.5654543196164488,-0.7316049770138994,downstream_deployer,Downstream deployer,"CAR[0,+20]",single_position_car_pre
downstream_enabler,-0.006826240532639099,0.004453155671309573,-1.5328995967104053,0.1306456887901461,-0.01573698444883711,0.002084503383558911,59,car_10,car_10,4805,60,0.4050393443159468,-0.68262405326391,0.4453155671309573,-1.5736984448837108,0.20845033835589108,downstream_enabler,Downstream enabler,"CAR[0,+10]",single_position_car_pre
downstream_enabler,-0.012966234856993945,0.005256119082572715,-2.466883769811272,0.016552238344038094,-0.02348370484790349,-0.0024487648660843995,59,car_15,car_15,4805,60,0.31781369819714567,-1.2966234856993946,0.5256119082572716,-2.3483704847903493,-0.24487648660843994,downstream_enabler,Downstream enabler,"CAR[0,+15]",single_position_car_pre
downstream_enabler,-0.006364094233546169,0.006359128132511647,-1.0007809405520756,0.3210196768817674,-0.019088680235373048,0.006360491768280709,59,car_20,car_20,4805,60,0.28039593897830284,-0.6364094233546169,0.6359128132511647,-1.9088680235373048,0.6360491768280709,downstream_enabler,Downstream enabler,"CAR[0,+20]",single_position_car_pre
downstream_integrator,0.002307661667897783,0.004502623016685986,0.512514962799676,0.610204103501343,-0.006702066177764724,0.01131738951356029,59,car_10,car_10,4805,60,0.4048445467921502,0.2307661667897783,0.4502623016685986,-0.6702066177764724,1.131738951356029,downstream_integrator,Downstream integrator,"CAR[0,+10]",single_position_car_pre
downstream_integrator,-0.001436107452944116,0.005906935566866651,-0.24312224785378908,0.8087539871712748,-0.013255858220909484,0.01038364331502125,59,car_15,car_15,4805,60,0.3171879402316703,-0.14361074529441162,0.5906935566866651,-1.3255858220909484,1.038364331502125,downstream_integrator,Downstream integrator,"CAR[0,+15]",single_position_car_pre
downstream_integrator,-0.003414990423890755,0.007634318329833876,-0.44732093637560777,0.6562813274686536,-0.018691226116742878,0.011861245268961368,59,car_20,car_20,4805,60,0.28036352100201867,-0.3414990423890755,0.7634318329833876,-1.8691226116742878,1.186124526896137,downstream_integrator,Downstream integrator,"CAR[0,+20]",single_position_car_pre
upstream_cloud,0.0063343991680873514,0.00392848448471775,1.6124282004240778,0.11220569998854105,-0.0015264801287243326,0.014195278464899035,59,car_10,car_10,4805,60,0.40489842134205856,0.6334399168087351,0.39284844847177497,-0.15264801287243326,1.4195278464899035,upstream_cloud,Upstream cloud,"CAR[0,+10]",single_position_car_pre
upstream_cloud,0.012767736799674056,0.003950143119400891,3.2322213179988553,0.0020118246667862657,0.004863518674965704,0.02067195492438241,59,car_15,car_15,4805,60,0.31751847567749836,1.2767736799674057,0.39501431194008907,0.4863518674965704,2.067195492438241,upstream_cloud,Upstream cloud,"CAR[0,+15]",single_position_car_pre
upstream_cloud,0.007631771691923858,0.004797758644609017,1.5906952094181037,0.117022697952734,-0.0019685211811218137,0.01723206456496953,59,car_20,car_20,4805,60,0.28037372872599986,0.7631771691923859,0.4797758644609017,-0.19685211811218137,1.7232064564969531,upstream_cloud,Upstream cloud,"CAR[0,+20]",single_position_car_pre
upstream_hardware,0.0013381323404266171,0.004351433723356878,0.30751527553873115,0.7595341088631686,-0.007369066428067914,0.010045331108921148,59,car_10,car_10,4805,60,0.40478821261121545,0.1338132340426617,0.4351433723356878,-0.7369066428067914,1.0045331108921147,upstream_hardware,Upstream hardware,"CAR[0,+10]",single_position_car_pre
upstream_hardware,0.011023068150439894,0.005501373892226792,2.0036936893191393,0.04970173950134142,1.484441895862297e-5,0.022031291881921163,59,car_15,car_15,4805,60,0.31809862300652614,1.1023068150439894,0.5501373892226792,0.001484441895862297,2.2031291881921162,upstream_hardware,Upstream hardware,"CAR[0,+15]",single_position_car_pre
upstream_hardware,0.016733909413332037,0.006779543924818462,2.46829426859715,0.01649338026919725,0.003168073354223904,0.03029974547244017,59,car_20,car_20,4805,60,0.2818505756714098,1.6733909413332038,0.6779543924818462,0.3168073354223904,3.029974547244017,upstream_hardware,Upstream hardware,"CAR[0,+20]",single_position_car_pre
