term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,variable,variable_label,y_var,n,n_events,estimate_pp,se_pp,conf.low_pp,conf.high_pp,table_family
upstream_hardware,0.02299264809980328,0.008240901307870424,2.790064732099666,0.007086214735515896,0.006502642671473009,0.03948265352813356,59,car_20,upstream_hardware,Upstream hardware,car_20,4805,60,2.299264809980328,0.8240901307870424,0.6502642671473009,3.9482653528133556,joint_open_origin_car_pre
is_open_weight,-0.019879692641465458,0.012857422634480564,-1.5461646713045605,0.12741230832078027,-0.04560733590718853,0.005847950624257619,59,car_20,upstream_hardware,Upstream hardware,car_20,4805,60,-1.9879692641465458,1.2857422634480564,-4.560733590718853,0.5847950624257618,joint_open_origin_car_pre
is_chinese_model,0.020581102101065403,0.013451898063625947,1.5299775543733034,0.1313666423099363,-0.006336083750764627,0.04749828795289543,59,car_20,upstream_hardware,Upstream hardware,car_20,4805,60,2.0581102101065403,1.3451898063625947,-0.6336083750764627,4.749828795289543,joint_open_origin_car_pre
upstream_hardware:is_open_weight,-0.012035892769147759,0.01772423069560309,-0.6790643258854413,0.49975241619757016,-0.04750199647121973,0.02343021093292421,59,car_20,upstream_hardware,Upstream hardware,car_20,4805,60,-1.2035892769147758,1.772423069560309,-4.750199647121973,2.343021093292421,joint_open_origin_car_pre
upstream_hardware:is_chinese_model,-0.016931271181099015,0.01790936056565648,-0.9453866942389291,0.34831722234438167,-0.0527678188974939,0.01890527653529587,59,car_20,upstream_hardware,Upstream hardware,car_20,4805,60,-1.6931271181099015,1.790936056565648,-5.27678188974939,1.890527653529587,joint_open_origin_car_pre
upstream_any,0.02088720361622337,0.007786957528340137,2.6823317759478873,0.009468985318295755,0.005305537592645121,0.03646886963980162,59,car_20,upstream_any,Any upstream,car_20,4805,60,2.088720361622337,0.7786957528340137,0.5305537592645121,3.646886963980162,joint_open_origin_car_pre
is_open_weight,-0.019466360045715055,0.013697790096101765,-1.4211314313580379,0.1605426453618659,-0.046875574718037924,0.007942854626607817,59,car_20,upstream_any,Any upstream,car_20,4805,60,-1.9466360045715054,1.3697790096101765,-4.6875574718037925,0.7942854626607817,joint_open_origin_car_pre
is_chinese_model,0.01973236092118884,0.014123791617258725,1.3971008250416739,0.16761582479222412,-0.008529280826027677,0.04799400266840536,59,car_20,upstream_any,Any upstream,car_20,4805,60,1.973236092118884,1.4123791617258725,-0.8529280826027676,4.799400266840536,joint_open_origin_car_pre
upstream_any:is_open_weight,-0.011136327099994505,0.01753516561653265,-0.6350853675140007,0.527828130407529,-0.046224112452688634,0.02395145825269962,59,car_20,upstream_any,Any upstream,car_20,4805,60,-1.1136327099994505,1.753516561653265,-4.6224112452688635,2.395145825269962,joint_open_origin_car_pre
upstream_any:is_chinese_model,-0.01073516795090764,0.016890563295849148,-0.6355719322602938,0.5275130592613086,-0.04453310703920911,0.023062771137393828,59,car_20,upstream_any,Any upstream,car_20,4805,60,-1.073516795090764,1.6890563295849148,-4.453310703920911,2.306277113739383,joint_open_origin_car_pre
