event_id,ticker,av_pre_m10_m2,av_0_1,av_0_5,av_0_10,av_0_20
AIT-2022-04-002,ADBE,1.2435426334565411,0.6286075239894887,0.32614001941657883,0.15524058133065852,0.30154895084652217
AIT-2022-04-002,AMD,1.034847508129075,0.9293269463534038,0.7853479967121867,0.5819560267720194,0.8147267887124062
AIT-2022-04-002,GOOGL,-0.141389556163931,-0.00545298063297886,0.06291286279619544,0.019554377848841387,0.6520354570225015
AIT-2022-04-002,GOOG,-0.0067479964728600255,-0.21895126291903963,-0.29303808874992493,-0.21274770519255226,0.5177808648038643
AIT-2022-04-002,ADI,-0.2781725144163896,0.5003255594981406,-0.1375898948417341,-0.15952470448375272,-0.07807693103159655
AIT-2022-04-002,AAPL,0.23495337983379924,-0.017269177196116176,-0.2603491603601072,-0.34676264399828083,0.20261187968597666
AIT-2022-04-002,AMAT,-0.08185656992307827,1.5770392029882454,0.8350862281090848,0.5124774674000948,0.38944984896741436
AIT-2022-04-002,APP,-0.25707142297338614,-0.3272069282258204,-0.46674006674933294,-0.21114892669816732,0.10104551827649753
AIT-2022-04-002,ASML,0.04121545956983657,0.08828108803279722,0.1402154178350404,0.2379626388233245,0.6065083369072275
AIT-2022-04-002,ADSK,0.523028403415422,0.4067782465569888,0.10133987026015061,0.046870679963089266,0.3580459386324574
AIT-2022-04-002,AVGO,-0.08390860724575876,0.16191908351271075,0.19667929956311356,0.15658431444051957,0.40415206087566674
AIT-2022-04-002,CDNS,0.05418711702685942,0.6588986299401803,0.38533957034217337,0.41465633073222813,0.6673678365715585
AIT-2022-04-002,CTSH,-0.30404672205861627,-0.8460243713158049,-0.5511407875734975,-0.6562207351521423,0.14471305926750225
AIT-2022-04-002,CRWD,0.053098383582709956,0.22740555758738917,0.8112533564436513,0.41948496781871236,0.15178873705842957
AIT-2022-04-002,DDOG,0.1445639029938457,0.03714722393635089,-0.11059219567896454,-0.21133229788956884,0.43831007019887724
AIT-2022-04-002,DASH,0.3933083077766459,0.4298770673776503,0.22885856501421942,0.2123439803701034,0.5613510628900142
AIT-2022-04-002,FTNT,-0.5016862620646704,-0.14933309398555666,-0.5210278377033742,-0.5291183041808725,-0.059623406638491465
AIT-2022-04-002,INTC,0.4362700334859738,0.008052058109537102,-0.09361175414080436,-0.01962791023793098,0.4310791459832493
AIT-2022-04-002,INTU,0.6709057136482713,0.6540867223415291,0.45089133716542573,0.17256183843034287,0.42456556330216133
AIT-2022-04-002,KLAC,-0.09494908146348649,0.7022193586280203,0.47333082980260355,0.38226137041065306,0.5162622021330038
AIT-2022-04-002,LRCX,-0.6038155914890797,-0.052415328367332537,0.08263994268882024,0.3806032302767642,0.3046201040634923
AIT-2022-04-002,MRVL,0.27549293481261833,1.0648599281124393,0.8204191181983321,0.4415417961717721,0.49730545593965175
AIT-2022-04-002,META,0.5432861124755345,0.36514594724744937,0.08567990397072646,0.27123465880941205,0.8460577005295543
AIT-2022-04-002,MCHP,0.30565265678451103,0.9608164688624545,0.2610985232698725,0.25205335370565646,0.4405023752172487
AIT-2022-04-002,MU,1.4654829788068637,0.8152098750503368,0.3517982944068551,0.08825757740941179,-0.07277237499567986
AIT-2022-04-002,MSFT,0.029387279750261643,0.7808818707072354,0.30577296711304924,0.05149251187207418,0.4625544118409395
AIT-2022-04-002,MPWR,0.4243791173676383,1.0941710720134223,0.8700339096274773,0.4544118158251953,0.7157629754542068
AIT-2022-04-002,NVDA,0.7251171940448453,1.140299956884391,0.996082467234662,0.9208842620512822,0.9413054761245128
AIT-2022-04-002,NXPI,-0.0577689396847597,0.6095025910753736,1.096028078583407,0.7861809041468966,0.8296032706272016
AIT-2022-04-002,PLTR,-0.616593013240987,-0.1736577967979071,-0.7638428893015323,-0.7546408907403336,-0.4762311344492566
AIT-2022-04-002,PANW,0.5841332661231742,-0.002053407751180625,-0.19857837293454383,-0.35589701768702403,-0.11282419070164657
AIT-2022-04-002,PDD,2.213981413506345,1.1517206249836898,1.066911091325511,0.9703200482595112,0.9076367310579475
AIT-2022-04-002,QCOM,0.6107630705119698,1.2982201046178639,0.8883473873266673,0.4370852350397728,0.6401556447819493
AIT-2022-04-002,ROP,-0.608508382878013,1.0878526564453748,0.6155115376513441,0.369048262036288,1.2914334472475943
AIT-2022-04-002,STX,-0.6415763878201992,-0.675315474594486,-0.7406001641436665,-0.4622549520125332,-0.0970185950634836
AIT-2022-04-002,SHOP,1.14415139867456,1.4395207099615466,1.6079514610341221,1.5564624124250221,1.7582836891784153
AIT-2022-04-002,MSTR,-1.1687827606336485,-0.8404954010420993,-1.0412042225611997,-1.2209180704705929,-0.8315091472258945
AIT-2022-04-002,SNPS,0.3296812605360236,0.4148495247809938,0.9000099117311252,0.6485817787243224,0.6271697820061772
AIT-2022-04-002,TXN,0.13946297701470453,0.5536791542362771,0.3158850458475234,0.20106045258498623,0.8111746713599718
AIT-2022-04-002,TRI,-0.30560129494071,-0.7528945172271585,-0.6190700305729043,-0.7578426440069009,-0.19610269795167504
AIT-2022-04-002,WDC,-0.7462945593692231,0.39051349277647135,-0.402726925051932,-0.14520863763875572,0.621043750657979
AIT-2022-04-002,WDAY,0.590004295213046,-0.18296992740453055,-0.29556042696634716,-0.10500153382665948,0.2618235973360087
AIT-2022-04-002,ZS,-0.16228950608057963,0.5044246777629174,0.1804327077334037,-0.10897591348302636,-0.16474298947222416
AIT-2022-10-001,ADBE,0.45123262894581306,0.29012699679088655,0.3832886457945041,0.24528908120777349,0.25247562979164023
AIT-2022-10-001,AMD,0.5363652987469966,-0.2680797010384351,-0.4474100074401854,-0.2725771691367821,-0.2793686175235743
AIT-2022-10-001,GOOGL,-0.8861315474119299,-0.48098481436421214,0.6067866501372073,0.7874301231730545,0.4685594477195203
