event_id,official_date,url,first_capture_utc,note
AIT-2022-04-002,2022-04-06,https://openai.com/index/dall-e-2/,,no_capture_in_window
AIT-2022-10-001,2022-10-20,https://huggingface.co/runwayml/stable-diffusion-v1-5,20221020153112,
AIT-2022-12-001,2022-12-07,https://stability.ai/news-updates/stablediffusion2-1-release7-dec-2022,,no_capture_in_window
AIT-2023-03-002,2023-03-14,https://openai.com/index/gpt-4-research/,,no_capture_in_window
AIT-2023-05-002,2023-05-10,https://blog.google/innovation-and-ai/products/google-palm-2-ai-large-language-model/,,err:TimeoutError
AIT-2023-07-001,2023-07-26,https://stability.ai/news-updates/stable-diffusion-sdxl-1-announcement,,no_capture_in_window
AIT-2023-07-002,2023-07-11,https://www.anthropic.com/news/claude-2,,err:TimeoutError
AIT-2023-07-003,2023-07-18,https://ai.meta.com/blog/llama-2/,20230719035227,
AIT-2023-10-001,2023-10-19,https://openai.com/blog/dall-e-3-is-now-available-in-chatgpt-plus-and-enterprise,,err:TimeoutError
AIT-2023-12-001,2023-12-20,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,,no_capture_in_window
AIT-2023-12-002,2023-12-06,https://blog.google/products-and-platforms/products/gemini/google-bard-try-gemini-ai/,,no_capture_in_window
AIT-2024-02-001,2024-02-22,https://stability.ai/news/stable-diffusion-3,,err:TimeoutError
AIT-2024-02-003,2024-02-15,https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024/,,no_capture_in_window
AIT-2024-03-002,2024-03-04,https://www.anthropic.com/news/claude-3-family,,err:TimeoutError
AIT-2024-04-001,2024-04-03,https://stability.ai/news/stable-audio-2-0,20240403120858,err:TimeoutError
AIT-2024-04-003,2024-04-17,https://mistral.ai/news/mixtral-8x22b/,,err:ConnectionResetError
AIT-2024-04-004,2024-04-18,https://ai.meta.com/blog/meta-llama-3/,,err:ConnectionResetError
AIT-2024-04-005,2024-04-23,https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/,,err:ConnectionResetError
