event_id,ticker,car_sym14
AIT-2022-04-002,AAPL,0.00183668
AIT-2022-04-002,ABNB,0.04923280
AIT-2022-04-002,ADBE,0.02084150
AIT-2022-04-002,ADI,0.02551180
AIT-2022-04-002,ADP,0.09820680
AIT-2022-04-002,ADSK,0.00219591
AIT-2022-04-002,AEP,0.03066797
AIT-2022-04-002,ALNY,0.01018809
AIT-2022-04-002,AMAT,-0.09278380
AIT-2022-04-002,AMD,-0.25269816
AIT-2022-04-002,AMGN,0.09437061
AIT-2022-04-002,AMZN,-0.02769111
AIT-2022-04-002,APP,-0.12862848
AIT-2022-04-002,ASML,-0.06318342
AIT-2022-04-002,ASX,-0.08660815
AIT-2022-04-002,AVGO,-0.05021305
AIT-2022-04-002,AXON,-0.01923365
AIT-2022-04-002,BKNG,0.09519550
AIT-2022-04-002,BKR,-0.12447998
AIT-2022-04-002,CCEP,0.13048811
AIT-2022-04-002,CDNS,0.07363438
AIT-2022-04-002,CMCSA,0.03002044
AIT-2022-04-002,COST,0.00211043
AIT-2022-04-002,CPRT,-0.02526235
AIT-2022-04-002,CRWD,0.14966113
AIT-2022-04-002,CSCO,-0.08344816
AIT-2022-04-002,CSX,-0.01036499
AIT-2022-04-002,CTAS,0.05991671
AIT-2022-04-002,DASH,0.07690369
AIT-2022-04-002,DDOG,-0.04292996
AIT-2022-04-002,DXCM,0.00655401
AIT-2022-04-002,EA,0.01628674
AIT-2022-04-002,ENTG,-0.14552555
AIT-2022-04-002,EXC,0.06330518
AIT-2022-04-002,FANG,-0.01471469
AIT-2022-04-002,FAST,0.02297517
AIT-2022-04-002,FER,0.00596345
AIT-2022-04-002,FTNT,0.06427157
AIT-2022-04-002,GILD,0.09037332
AIT-2022-04-002,GOOG,-0.09866760
AIT-2022-04-002,GOOGL,-0.10778972
AIT-2022-04-002,HON,0.03640084
AIT-2022-04-002,IDXX,-0.06970163
AIT-2022-04-002,INTC,0.03728131
AIT-2022-04-002,INTU,-0.00348177
AIT-2022-04-002,ISRG,-0.07072826
AIT-2022-04-002,KDP,0.02563865
AIT-2022-04-002,KHC,0.14073780
AIT-2022-04-002,KLAC,-0.03860413
AIT-2022-04-002,LIN,0.04758444
AIT-2022-04-002,LITE,-0.08359334
AIT-2022-04-002,LRCX,-0.01095011
AIT-2022-04-002,MAR,0.08314281
AIT-2022-04-002,MCHP,-0.06578779
AIT-2022-04-002,MDLZ,0.05953451
AIT-2022-04-002,MELI,0.09927890
AIT-2022-04-002,META,0.00335652
AIT-2022-04-002,MNST,0.19695076
AIT-2022-04-002,MPWR,-0.05723807
AIT-2022-04-002,MRVL,-0.13056429
AIT-2022-04-002,MSFT,0.00401844
AIT-2022-04-002,MSTR,0.04290376
AIT-2022-04-002,MTSI,-0.04937702
AIT-2022-04-002,MU,-0.10166954
AIT-2022-04-002,NFLX,-0.44824927
AIT-2022-04-002,NVDA,-0.21064213
AIT-2022-04-002,NXPI,-0.00465186
AIT-2022-04-002,ODFL,-0.14667201
AIT-2022-04-002,ON,-0.13588075
AIT-2022-04-002,ORLY,0.01839538
AIT-2022-04-002,PANW,0.03161573
AIT-2022-04-002,PAYX,0.06484646
AIT-2022-04-002,PCAR,-0.03754563
AIT-2022-04-002,PDD,0.13413060
AIT-2022-04-002,PEP,0.08922359
AIT-2022-04-002,PLTR,0.08340564
AIT-2022-04-002,PYPL,-0.05053426
AIT-2022-04-002,QCOM,-0.04427694
AIT-2022-04-002,REGN,-0.01684010
AIT-2022-04-002,RKLB,-0.08695078
AIT-2022-04-002,ROP,0.08210713
AIT-2022-04-002,ROST,0.21066039
AIT-2022-04-002,SBUX,-0.06432684
AIT-2022-04-002,SHOP,-0.12795424
AIT-2022-04-002,SNPS,0.01441101
AIT-2022-04-002,STX,-0.05250470
AIT-2022-04-002,TER,0.00314229
AIT-2022-04-002,TMUS,0.06518802
AIT-2022-04-002,TRI,-0.00000082
