event_id,ticker,car_s1_0_1,car_s1_0_2,car_s1_0_5,car_s1_0_20
AIT-2022-04-002,AAPL,-0.01499469,-0.02068782,-0.02009085,-0.00595307
AIT-2022-04-002,ABNB,-0.01759199,-0.00079580,0.07260225,-0.03824016
AIT-2022-04-002,ADBE,0.00250934,0.00758343,-0.01135436,0.04583844
AIT-2022-04-002,ADI,-0.01188809,-0.01215216,0.00619548,0.09788559
AIT-2022-04-002,ADP,-0.00282871,-0.01708201,-0.02127633,-0.02596867
AIT-2022-04-002,ADSK,-0.00823298,0.00578728,0.00850734,0.12861898
AIT-2022-04-002,AEP,-0.01662807,-0.02919752,-0.02441383,-0.04648610
AIT-2022-04-002,ALNY,0.02968909,0.00384713,0.06963120,-0.09614652
AIT-2022-04-002,AMAT,0.00231981,0.00219186,-0.01261593,0.09737292
AIT-2022-04-002,AMD,-0.03358743,-0.03492969,-0.07274016,0.06868319
AIT-2022-04-002,AMGN,0.00738933,0.01145505,0.02670521,-0.01188629
AIT-2022-04-002,AMZN,-0.02923410,-0.02720001,-0.01447385,-0.18674019
AIT-2022-04-002,APP,-0.02290868,-0.01537685,-0.01660307,-0.23345793
AIT-2022-04-002,ASML,-0.03140671,-0.02152301,-0.01051486,0.03762880
AIT-2022-04-002,ASX,-0.02616318,-0.03038013,-0.00838147,0.06291122
AIT-2022-04-002,AVGO,-0.03025605,-0.01909165,-0.02709133,0.05284960
AIT-2022-04-002,AXON,-0.02622404,-0.02844764,-0.02817509,-0.16237461
AIT-2022-04-002,BKNG,-0.02688210,-0.00325582,0.03144916,0.10567747
AIT-2022-04-002,BKR,0.04369237,0.02001202,0.03651925,-0.12117595
AIT-2022-04-002,CCEP,-0.00945920,0.00086648,0.05005820,0.12507150
AIT-2022-04-002,CDNS,-0.02707576,-0.02738339,-0.04614110,0.02832533
AIT-2022-04-002,CMCSA,-0.00576125,0.01165116,0.01806904,-0.08976090
AIT-2022-04-002,COST,0.02139272,0.00698804,0.01530300,-0.11821186
AIT-2022-04-002,CPRT,0.00487426,0.01214021,-0.03140536,0.00402325
AIT-2022-04-002,CRWD,0.02993141,0.05100146,0.14571600,-0.08937783
AIT-2022-04-002,CSCO,-0.00357389,-0.01541677,-0.04407151,-0.02871325
AIT-2022-04-002,CSX,-0.01287110,-0.00122830,0.02506406,0.06356006
