variable,q1,q3,iqr,lower_3iqr,upper_3iqr,outlier_n,min,max
"异常收益[?10,?2]",-0.031701406,0.02756369,0.059265096,-0.20949669399999998,0.205358978,116,-1.183190451,1.411959738
car_1,-0.01750740225,0.01964165175,0.037149054,-0.12895456425000001,0.13108881375,127,-0.39462785,1.644792034
car_2,-0.023101663499999998,0.02197084775,0.04507251125,-0.15831919725000002,0.1571883815,115,-0.573265465,1.521732645
car_3,-0.027238127,0.025751915,0.052990042,-0.186208253,0.184722041,105,-0.573265465,1.306055315
car_5,-0.034001496,0.030900984,0.06490248,-0.228708936,0.225608424,126,-0.866798601,1.506011169
car_10,-0.053152797,0.053814673,0.10696747000000001,-0.37405520700000006,0.374717083,89,-2.374584681,2.13949318
car_15,-0.065764286,0.069251597,0.135015883,-0.470811935,0.474299246,86,-2.76781918,2.271354389
car_20,-0.07449318,0.078636622,0.153129802,-0.533882586,0.538026028,91,-3.080522251,2.098481959
