"company","n","events","mean_car1","mean_car20"
"英伟达",46,46,0.00490450904347826,0.0232588341521739
"Meta（Facebook）",47,47,-0.00169807023404255,0.0143362072021277
"微软",47,47,-0.00334426770212766,0.00206627410638298
"Alphabet（谷歌）",47,47,0.00035995414893617,-0.000306039936170212
"苹果",47,47,-0.0017037515106383,-0.000799867297872336
"亚马逊",47,47,0.000247375191489362,-0.0101080121489362
"特斯拉",47,47,-0.0028790835106383,-0.0486868535744681
