"x_var","n","n_events","estimate","std.error","p.value","conf.low","conf.high"
"upstream_hardware",4829,60,0.0227637564746788,0.00842259450072066,0.00896875247845804,0.00591018380722514,0.0396173291421325
"is_owner",4829,60,0.0190530988007675,0.0214433993310385,0.377864100182522,-0.0238550441511416,0.0619612417526766
"upstream_cloud",4829,60,0.0109611602878221,0.00557400816005357,0.0539532656014173,-0.000192404277871386,0.0221147248535156
"competitor",4829,60,-0.000502260902795108,0.00671193470622643,0.940602310938097,-0.0139328112279844,0.0129282894223942
"is_investor",4829,60,-0.00238173009911032,0.0206532962657174,0.908583384931591,-0.0437088804690984,0.0389454202708778
"downstream_integrator",4829,60,-0.0068752877132289,0.00837728546752623,0.415117511723419,-0.0236381972146749,0.0098876217882171
"downstream_enabler",4829,60,-0.0106524028979373,0.00667325697738381,0.115768689245941,-0.0240055592664776,0.002700753470603
"downstream_deployer",4829,60,-0.0190156167630144,0.00506948462013039,0.000403839450563957,-0.0291596320571848,-0.00887160146884391
