"x_var","n_specs","n_sig_05","pct_sig_05","n_sig_10","pct_sig_10","pct_positive","median_est","mean_est","sd_est"
"downstream_deployer",294,76,25.9,143,48.6,0,-0.006757,-0.008741,0.005766
"upstream_hardware",294,74,25.2,96,32.7,76.2,0.002502,0.004435,0.013309
"is_investor",252,46,18.3,55,21.8,23.8,-0.007464,-7e-06,0.020626
"upstream_cloud",294,43,14.6,67,22.8,80.6,0.004951,0.005758,0.006259
"downstream_enabler",294,20,6.8,23,7.8,38.4,-0.001082,-0.002336,0.006366
"competitor",294,2,0.7,15,5.1,58.8,0.001076,0.001304,0.005004
"downstream_integrator",294,2,0.7,10,3.4,53.4,0.000358,0.001888,0.008865
"is_owner",294,0,0,11,3.7,70.4,0.008598,0.013118,0.019937
