final_event_id,car20_mean,carpre_mean,ff3_car20_mean,intel_c,aa_intelligence_index,is_open_weight,release_year,true_model_creator,release_date,mean_size,mean_bm,mean_volatility,mean_momentum,n_firms
FMR-0001,-0.020110248852941177,0.0030810139090909094,-0.03476931102941176,-17.727513227513235,8.9,1,2024,Meta,2024-04-18,6.745429965676471,0.27438146023529414,0.40864642830584225,0.5511299674568416,34
FMR-0003,-0.03162386079411765,-0.002393064575757572,-0.030067158500000003,-16.127513227513237,10.5,0,2024,Google,2024-05-30,6.637194671558824,0.2590873425882353,0.3903018362550955,0.3975769714570126,34
FMR-0005,0.017110620176470588,0.0029458505882352932,0.018981107970588235,-12.827513227513236,13.8,0,2024,Google,2024-08-08,6.7543711421470585,0.2565785190588235,0.40464901641707246,0.2958314668314527,34
FMR-0006,0.014660173470588237,0.021355793454545455,0.0252586814117647,-12.727513227513237,13.9,0,2024,xAI,2024-08-13,6.854371142147059,0.2585785190588235,0.37588793243758484,0.22530933026237815,34
FMR-0008,0.005121520057142855,0.006727559147058821,2.8924231428571745e-4,-2.927513227513238,23.7,0,2024,OpenAI,2024-09-12,6.844531966657143,0.2671905613714286,0.38507091491076967,0.26676177497584574,35
FMR-0009,0.0030335883235294136,0.006727559147058821,-0.0018371675882352932,-6.2275132275132385,20.4,0,2024,OpenAI,2024-09-12,6.862606436264706,0.27187263670588235,0.3855792121346573,0.28042601129866473,34
FMR-0010,0.005028641029411767,-0.00397155138235294,0.0030357641176470595,-10.627513227513237,16,0,2024,Google,2024-09-24,6.7543711421470585,0.2565785190588235,0.38816500059890974,0.3497600973234558,34
FMR-0011,-0.012295448088235293,-0.013075857382352942,-0.00397586629411765,-10.627513227513237,16,0,2024,Google,2024-10-03,6.7543711421470585,0.2565785190588235,0.3899635715848875,0.25315422623938844,34
FMR-0012,-0.012295448088235293,-0.013075857382352942,-0.00397586629411765,-15.527513227513237,11.1,0,2024,Google,2024-10-03,6.7543711421470585,0.2565785190588235,0.3899635715848875,0.25315422623938844,34
FMR-0013,0.03901332554545453,0.0027732145151515165,0.029784742878787886,-7.927513227513238,18.7,0,2024,Anthropic,2024-10-22,6.873291479787879,0.26314150448484847,0.37540615017643153,0.39151745312535396,33
