event_id,official_date,event_trading_date,model_names,rows,car_mm_qqq_0_20_nonmissing,car_ff3_0_20_nonmissing,fundamentals_nonmissing
AIT-2025-02-004,2025-02-05,2025-02-05,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,108,105,105,108
AIT-2025-02-006,2025-02-26,2025-02-26,Phi4-mini; Phi4 Multimodal,108,105,105,108
AIT-2025-02-007,2025-02-27,2025-02-27,GPT-4.5,108,105,105,108
AIT-2025-03-001,2025-03-25,2025-03-25,Gemini 2.5 Pro,108,105,105,108
AIT-2025-03-003,2025-03-25,2025-03-25,GPT-4o Image Generation,108,105,105,108
AIT-2025-03-005,2025-03-06,2025-03-06,QwQ-32B,108,105,105,108
AIT-2025-03-007,2025-03-25,2025-03-25,DeepSeek-V3-0324,108,105,105,108
AIT-2025-04-001,2025-04-05,2025-04-07,Llama 4,108,105,105,108
AIT-2025-04-002,2025-04-17,2025-04-17,Gemini 2.5 Flash,108,105,105,108
AIT-2025-04-004,2025-04-14,2025-04-14,GPT-4.1,108,105,105,108
AIT-2025-04-005,2025-04-16,2025-04-16,o3 full; o4 mini,108,105,105,108
AIT-2025-04-006,2025-04-03,2025-04-03,v7,108,105,105,108
AIT-2025-04-007,2025-03-31,2025-03-31,Runway Gen-4; Vidu Q1; Kling 2.0,108,105,105,108
AIT-2025-04-008,2025-04-29,2025-04-29,Qwen 3,108,105,105,108
AIT-2025-05-002,2025-05-01,2025-05-01,Suno 4.5,108,106,106,108
AIT-2025-05-003,2025-05-22,2025-05-22,Claude 4 Opus; Claude Sonnet 4,108,106,106,108
AIT-2025-05-004,2025-05-20,2025-05-20,Veo 3; Imagen 4,108,106,106,108
AIT-2025-05-009,2025-05-28,2025-05-28,R1-0528,108,106,106,108
AIT-2025-05-012,2025-05-20,2025-05-20,Gemma 3n,108,106,106,108
AIT-2025-06-002,2025-06-03,2025-06-03,Eleven v3 (alpha),108,106,106,108
AIT-2025-06-003,2025-06-10,2025-06-10,o3 pro,108,106,106,108
AIT-2025-07-001,2025-07-09,2025-07-09,Grok 4,108,106,106,108
AIT-2025-07-005,2025-07-21,2025-07-21,Qwen3-235B-A22B-Instruct-2507; Qwen3-Coder,108,106,106,108
AIT-2025-07-006,2025-07-11,2025-07-11,Kimi K2,108,106,106,108
AIT-2025-07-007,2025-07-28,2025-07-28,GLM-4.5,108,106,106,108
AIT-2025-08-002,2025-08-05,2025-08-05,Claude Opus 4.1,108,106,106,108
AIT-2025-08-004,2025-08-05,2025-08-05,gpt-oss-120b; gpt-oss-20b,108,106,106,108
AIT-2025-08-005,2025-08-07,2025-08-07,GPT-5,108,106,106,108
AIT-2025-08-006,2025-08-21,2025-08-21,DeepSeek V3.1,108,106,106,108
AIT-2025-08-007,2025-08-26,2025-08-26,Gemini 2.5 Flash Image,108,107,107,108
AIT-2025-09-001,2025-09-24,2025-09-24,Seedream 4.0,108,107,107,108
AIT-2025-09-004,2025-09-23,2025-09-23,Suno v5,108,107,107,108
