"gap_bin","pair_count","sum_xy","sum_x2","sum_y2","pooled_pair_correlation","share_of_all_pairs","overlapping_car_window","model"
"same_day",710,9.88239079739996,9.89949277710721,9.87837937749735,0.999338690350677,0.00214854625124071,TRUE,"year_fixed_effects"
"1_5_days",5981,59.0137459293302,72.5641608901024,67.5049796957835,0.843187555688413,0.0180992325755925,TRUE,"year_fixed_effects"
"6_10_days",4865,34.5566200721252,67.0038731610861,55.4744279196011,0.566806586395935,0.0147220810032198,TRUE,"year_fixed_effects"
"11_20_days",8940,17.2389123130429,107.423196842795,115.178125783143,0.154980058572366,0.0270535260367492,TRUE,"year_fixed_effects"
"21_40_days",21865,-21.9599216554235,289.737407776792,282.660926595547,-0.0767353736373971,0.066166146173772,FALSE,"year_fixed_effects"
"over_40_days",288095,-133.157680529373,3537.73458659321,3505.90602448511,-0.0378097201127356,0.871810467959426,FALSE,"year_fixed_effects"
"adjacent_events_all_gaps",5396,48.2646330542658,68.0312605822942,68.0500679248051,0.709349828440293,NA,NA,"year_fixed_effects"
"adjacent_events_gap_le_20",4995,48.5594069706857,62.8006173870617,62.4582197207692,0.775347903815779,NA,TRUE,"year_fixed_effects"
"same_day",710,9.48681001304349,9.50675156135722,9.48157315877502,0.999226471320505,0.00214854625124071,TRUE,"event_fixed_effects"
"1_5_days",5981,56.1707474088143,68.8993738757024,64.3851264042201,0.843353766126864,0.0180992325755925,TRUE,"event_fixed_effects"
"6_10_days",4865,33.1459620318657,63.2001018783825,53.291624942185,0.571139580207611,0.0147220810032198,TRUE,"event_fixed_effects"
"11_20_days",8940,15.0008640113236,102.129515978958,110.466618859105,0.141229397537978,0.0270535260367492,TRUE,"event_fixed_effects"
"21_40_days",21865,-25.5831552376281,274.779244863611,267.558490415135,-0.0943523615892465,0.066166146173772,FALSE,"event_fixed_effects"
"over_40_days",288095,-120.770291086362,3337.67229311952,3308.19022747761,-0.0363448624091992,0.871810467959426,FALSE,"event_fixed_effects"
"adjacent_events_all_gaps",5396,46.1691217783107,64.2860477105611,64.307962470404,0.718060232879727,NA,NA,"event_fixed_effects"
"adjacent_events_gap_le_20",4995,46.2182497595002,59.4461690494376,59.4034377185393,0.777760297298138,NA,TRUE,"event_fixed_effects"
