"benchmark","outcome","contrast","method","estimate","estimate_pp","se","se_pp","df","t","p","stars","ci95_low","ci95_high","ci95_low_pp","ci95_high_pp","observations","events","firms","two_way_vcov_min_eigenvalue","two_way_vcov_fix_applied"
"market_model","car_mm_spy_0_20","hardware_minus_cloud","event_CR2",0.0242568483871146,2.42568483871146,0.0120324363577615,1.20324363577615,116.944975996261,2.01595484620767,0.0460967482938444,"**",0.000427121543962183,0.048086575230267,0.0427121543962183,4.8086575230267,5441,124,45,NA,NA
"market_model","car_mm_spy_0_20","hardware_minus_cloud","event_x_firm_HC1",0.0242568483871146,2.42568483871146,0.0131634893858726,1.31634893858726,44,1.84273695796402,0.0721112713218812,"*",-0.0022724212877078,0.0507861180619369,-0.22724212877078,5.07861180619369,5441,124,45,-1.32724734770261e-05,TRUE
"market_model","car_mm_spy_0_20","hardware_minus_integrator","event_CR2",0.0216038044337862,2.16038044337862,0.00951436628804993,0.951436628804993,121.313064710523,2.27065090619021,0.024931967155311,"**",0.00276809777177693,0.0404395110957954,0.276809777177693,4.04395110957954,5441,124,45,NA,NA
"market_model","car_mm_spy_0_20","hardware_minus_integrator","event_x_firm_HC1",0.0216038044337862,2.16038044337862,0.0107726816122534,1.07726816122534,44,2.00542494537414,0.0510920744413468,"*",-0.000107108777355792,0.0433147176449282,-0.0107108777355792,4.33147176449282,5441,124,45,-1.32724734770261e-05,TRUE
"market_model","car_mm_spy_0_20","hardware_minus_deployer","event_CR2",0.0221435301546221,2.21435301546221,0.00875313124200694,0.875313124200695,121.930856250697,2.52978386161441,0.0126880668156226,"**",0.0048157341896038,0.0394713261196404,0.48157341896038,3.94713261196404,5441,124,45,NA,NA
"market_model","car_mm_spy_0_20","hardware_minus_deployer","event_x_firm_HC1",0.0221435301546221,2.21435301546221,0.00737795727695236,0.737795727695236,44,3.00130907829938,0.00441707031619872,"***",0.00727423429302089,0.0370128260162233,0.727423429302089,3.70128260162233,5441,124,45,-1.32724734770261e-05,TRUE
"market_model","car_mm_spy_0_20","hardware_minus_enabler","event_CR2",0.0322442705782342,3.22442705782342,0.0110556622741826,1.10556622741826,121.550762870431,2.91653903480135,0.00421637144399746,"***",0.0103576726593237,0.0541308684971446,1.03576726593237,5.41308684971446,5441,124,45,NA,NA
"market_model","car_mm_spy_0_20","hardware_minus_enabler","event_x_firm_HC1",0.0322442705782342,3.22442705782342,0.0125433833603546,1.25433833603546,44,2.57061987598557,0.0136117466965712,"**",0.00696474247995808,0.0575237986765102,0.696474247995808,5.75237986765102,5441,124,45,-1.32724734770261e-05,TRUE
"market_model","car_mm_spy_0_20","hardware_minus_competitor","event_CR2",0.000904471469485434,0.0904471469485434,0.00864448970841202,0.864448970841202,118.858104444023,0.104629827785588,0.916845902567607,"",-0.0162126914274071,0.018021634366378,-1.62126914274071,1.8021634366378,5441,124,45,NA,NA
"market_model","car_mm_spy_0_20","hardware_minus_competitor","event_x_firm_HC1",0.000904471469485434,0.0904471469485434,0.00947225411006125,0.947225411006125,44,0.0954864026002766,0.924362053802235,"",-0.0181856023208237,0.0199945452597946,-1.81856023208237,1.99945452597946,5441,124,45,-1.32724734770261e-05,TRUE
