"spec","detail","outcome","method","coef","coef_pp","se","p","stars","observations","events","firms","competitor_rows","competitor_events","competitor_firms","cluster_2"
"leave_one_competitor_ticker_out","GOOG","car_mm_spy_0_20","event_x_ticker_HC1",0.0339622488260157,3.39622488260158,0.0142957419981217,0.0220432802436388,"**",5318,124,44,523,123,5,44
"leave_one_competitor_ticker_out","GOOGL","car_mm_spy_0_20","event_CR2",0.0339625699366333,3.39625699366333,0.00903018911694887,0.000269026737568996,"***",5318,124,44,523,123,5,NA
"leave_one_competitor_ticker_out","GOOGL","car_mm_spy_0_20","event_x_ticker_HC1",0.0339625699366347,3.39625699366347,0.0142964359321881,0.0220481660233425,"**",5318,124,44,523,123,5,44
"leave_one_competitor_ticker_out","META","car_mm_spy_0_20","event_CR2",0.0299934883306939,2.99934883306939,0.00960894841910366,0.00232652945023059,"***",5318,124,44,508,123,5,NA
"leave_one_competitor_ticker_out","META","car_mm_spy_0_20","event_x_ticker_HC1",0.0299934883306905,2.99934883306905,0.0129876037122761,0.0257900598202842,"**",5318,124,44,508,123,5,44
"leave_one_competitor_ticker_out","MSFT","car_mm_spy_0_20","event_CR2",0.0354919539508935,3.54919539508935,0.00936250815609837,0.000242124755720383,"***",5318,124,44,505,123,5,NA
"leave_one_competitor_ticker_out","MSFT","car_mm_spy_0_20","event_x_ticker_HC1",0.0354919539508943,3.54919539508943,0.0149571768596888,0.0221902591363845,"**",5318,124,44,505,123,5,44
"leave_one_competitor_issuer_out","AAPL","car_mm_spy_0_20","event_CR2",0.0300462013205422,3.00462013205422,0.0109241750639007,0.00700257405935512,"***",5318,124,44,502,123,5,NA
"leave_one_competitor_issuer_out","AAPL","car_mm_spy_0_20","event_x_ticker_HC1",0.0300462013205438,3.00462013205438,0.0164303011281397,0.0743849647194047,"*",5318,124,44,502,123,5,44
"leave_one_competitor_issuer_out","ADBE","car_mm_spy_0_20","event_CR2",0.0428432111210186,4.28432111210186,0.00985128492477169,2.86374887155043e-05,"***",5318,124,44,564,123,5,NA
"leave_one_competitor_issuer_out","ADBE","car_mm_spy_0_20","event_x_ticker_HC1",0.0428432111210152,4.28432111210152,0.0163407934577595,0.0120452232490906,"**",5318,124,44,564,123,5,44
"leave_one_competitor_issuer_out","ALPHABET","car_mm_spy_0_20","event_CR2",0.0346831314768972,3.46831314768972,0.00929874697228971,0.00030097700723739,"***",5195,124,43,421,123,4,NA
"leave_one_competitor_issuer_out","ALPHABET","car_mm_spy_0_20","event_x_ticker_HC1",0.0346831314768991,3.46831314768991,0.0146985322958433,0.023016439854888,"**",5195,124,43,421,123,4,43
"leave_one_competitor_issuer_out","META","car_mm_spy_0_20","event_CR2",0.0299934883306939,2.99934883306939,0.00960894841910366,0.00232652945023059,"***",5318,124,44,508,123,5,NA
"leave_one_competitor_issuer_out","META","car_mm_spy_0_20","event_x_ticker_HC1",0.0299934883306905,2.99934883306905,0.0129876037122761,0.0257900598202842,"**",5318,124,44,508,123,5,44
"leave_one_competitor_issuer_out","MSFT","car_mm_spy_0_20","event_CR2",0.0354919539508935,3.54919539508935,0.00936250815609837,0.000242124755720383,"***",5318,124,44,505,123,5,NA
"leave_one_competitor_issuer_out","MSFT","car_mm_spy_0_20","event_x_ticker_HC1",0.0354919539508943,3.54919539508943,0.0149571768596888,0.0221902591363845,"**",5318,124,44,505,123,5,44
"leave_one_creator_out","Alibaba","car_mm_spy_0_20","event_CR2",0.0338628749588495,3.38628749588495,0.00929101637043457,0.000415119217416764,"***",5088,116,45,585,115,6,NA
"leave_one_creator_out","Alibaba","car_mm_spy_0_20","event_x_ticker_HC1",0.033862874958848,3.3862874958848,0.0139986456011331,0.0197656898170971,"**",5088,116,45,585,115,6,45
"leave_one_creator_out","Amazon","car_mm_spy_0_20","event_CR2",0.0343166333156616,3.43166333156616,0.00910297052184914,0.000262547903313206,"***",5352,122,45,613,121,6,NA
"leave_one_creator_out","Amazon","car_mm_spy_0_20","event_x_ticker_HC1",0.0343166333156618,3.43166333156618,0.0142778155784212,0.0205200266952283,"**",5352,122,45,613,121,6,45
"leave_one_creator_out","Anthropic","car_mm_spy_0_20","event_CR2",0.0329953729993858,3.29953729993858,0.00890909028310529,0.000343499160650229,"***",4911,112,45,565,111,6,NA
"leave_one_creator_out","Anthropic","car_mm_spy_0_20","event_x_ticker_HC1",0.032995372999384,3.2995372999384,0.0131062530184344,0.0155335468420598,"**",4911,112,45,565,111,6,45
"leave_one_creator_out","Black Forest Labs","car_mm_spy_0_20","event_CR2",0.0325348930753975,3.25348930753975,0.00913798154844213,0.000546539453149396,"***",5308,121,45,607,120,6,NA
"leave_one_creator_out","Black Forest Labs","car_mm_spy_0_20","event_x_ticker_HC1",0.0325348930753996,3.25348930753996,0.0143046586066196,0.027869976057862,"**",5308,121,45,607,120,6,45
"leave_one_creator_out","ByteDance Seed","car_mm_spy_0_20","event_CR2",0.0331205374457024,3.31205374457024,0.00906524041349095,0.0003935777629376,"***",5396,123,45,619,122,6,NA
"leave_one_creator_out","ByteDance Seed","car_mm_spy_0_20","event_x_ticker_HC1",0.0331205374457044,3.31205374457044,0.0140733180117923,0.0231339918674843,"**",5396,123,45,619,122,6,45
"leave_one_creator_out","DeepSeek","car_mm_spy_0_20","event_CR2",0.0311366394833295,3.11366394833294,0.00933785808145484,0.001175562184934,"***",5088,116,45,585,115,6,NA
"leave_one_creator_out","DeepSeek","car_mm_spy_0_20","event_x_ticker_HC1",0.0311366394833294,3.11366394833294,0.0137826259114786,0.02888162669161,"**",5088,116,45,585,115,6,45
"leave_one_creator_out","ElevenLabs","car_mm_spy_0_20","event_CR2",0.0334025460677752,3.34025460677752,0.00902154867000477,0.000331672332334881,"***",5397,123,45,620,122,6,NA
"leave_one_creator_out","ElevenLabs","car_mm_spy_0_20","event_x_ticker_HC1",0.0334025460677749,3.34025460677749,0.0143389535606034,0.024486087326461,"**",5397,123,45,620,122,6,45
"leave_one_creator_out","Google","car_mm_spy_0_20","event_CR2",0.0382939748192129,3.82939748192129,0.00986679005805395,0.000194301963179706,"***",4516,103,45,541,102,6,NA
"leave_one_creator_out","Google","car_mm_spy_0_20","event_x_ticker_HC1",0.0382939748192095,3.82939748192095,0.0143767687027754,0.0107614874961589,"**",4516,103,45,541,102,6,45
"leave_one_creator_out","Kimi","car_mm_spy_0_20","event_CR2",0.0316118127957476,3.16118127957476,0.00902691866880181,0.000666121711304209,"***",5307,121,45,610,120,6,NA
"leave_one_creator_out","Kimi","car_mm_spy_0_20","event_x_ticker_HC1",0.0316118127957478,3.16118127957478,0.0144049600999779,0.0335221697632986,"**",5307,121,45,610,120,6,45
"leave_one_creator_out","KlingAI","car_mm_spy_0_20","event_CR2",0.0345186682198023,3.45186682198023,0.00904101765171543,0.000220224340362826,"***",5397,123,45,619,122,6,NA
