"method","term","draws","events_min","events_max","coef_mean","coef_median","coef_p05","coef_p95","p_median","share_p_lt_005","share_p_lt_010"
"event_CR2","rel_upstream_hardware",250,29,29,0.0421952720788091,0.0422271332452047,0.0289937750585768,0.0552407090321345,0.0809591871976679,0.312,0.604
"event_CR2","rel_downstream_deployer",250,29,29,0.00971564559395041,0.00950110693408192,0.00087206805444,0.0190271083158094,0.656791667993144,0,0
"event_CR2","rel_competitor",250,29,29,0.0376608617425303,0.0377579909299369,0.0233412278711982,0.0513050571122889,0.050189816285353,0.5,0.744
"firm_CR2","rel_upstream_hardware",250,29,29,0.042195272078809,0.0422271332452046,0.0289937750585768,0.0552407090321345,0.035873522006018,0.728,1
"firm_CR2","rel_downstream_deployer",250,29,29,0.0097156455939504,0.00950110693408189,0.000872068054440017,0.0190271083158094,0.527472687500676,0,0
"firm_CR2","rel_competitor",250,29,29,0.0376608617425302,0.0377579909299369,0.023341227871198,0.0513050571122888,0.0569106713354878,0.456,0.768
"event_x_firm_HC1","rel_upstream_hardware",250,29,29,0.0421952720788085,0.0422271332452043,0.0289937750585762,0.0552407090321341,0.0517877803006448,0.496,0.82
"event_x_firm_HC1","rel_downstream_deployer",250,29,29,0.00971564559395013,0.00950110693408159,0.000872068054439907,0.0190271083158091,0.599200020735611,0,0
"event_x_firm_HC1","rel_competitor",250,29,29,0.0376608617425292,0.0377579909299361,0.023341227871197,0.0513050571122879,0.0342200942575235,0.64,0.86
