"portfolio","contrast","nw_lag","post_alpha","pre_alpha","post_minus_pre_alpha","se","p","stars","observations"
"competitor_minus_unrelated","0_10_minus_pre_11_1",5,-0.00302604447024304,-0.0034091677063199,0.000383123236076865,0.000558351359932037,0.492788913340886,"",881
"competitor_minus_unrelated","0_10_minus_pre_11_1",10,-0.00302604447024304,-0.0034091677063199,0.000383123236076865,0.000575278494245052,0.505600635195684,"",881
"competitor_minus_unrelated","0_10_minus_pre_11_1",20,-0.00302604447024304,-0.0034091677063199,0.000383123236076865,0.000581427529882611,0.510110949792673,"",881
"competitor_minus_unrelated","0_10_minus_pre_11_1",40,-0.00302604447024304,-0.0034091677063199,0.000383123236076865,0.000573368727051972,0.504184500646349,"",881
"competitor_minus_unrelated","0_20_minus_pre_21_1",5,-0.0026995842490026,-0.00316551262598207,0.000465928376979468,0.000377877923037885,0.21789540844742,"",901
"competitor_minus_unrelated","0_20_minus_pre_21_1",10,-0.0026995842490026,-0.00316551262598207,0.000465928376979468,0.000391556889626154,0.234387063898994,"",901
"competitor_minus_unrelated","0_20_minus_pre_21_1",20,-0.0026995842490026,-0.00316551262598207,0.000465928376979468,0.000417164821226871,0.264340586402393,"",901
"competitor_minus_unrelated","0_20_minus_pre_21_1",40,-0.0026995842490026,-0.00316551262598207,0.000465928376979468,0.000456612611111984,0.307814247765545,"",901
"deployer_minus_unrelated","0_10_minus_pre_11_1",5,-0.0030811130957486,-0.00329914269969338,0.000218029603944777,0.000498014030181072,0.661640930434423,"",881
"deployer_minus_unrelated","0_10_minus_pre_11_1",10,-0.0030811130957486,-0.00329914269969338,0.000218029603944777,0.000489838293024364,0.656354023342286,"",881
"deployer_minus_unrelated","0_10_minus_pre_11_1",20,-0.0030811130957486,-0.00329914269969338,0.000218029603944777,0.00046612839859672,0.640083119299875,"",881
"deployer_minus_unrelated","0_10_minus_pre_11_1",40,-0.0030811130957486,-0.00329914269969338,0.000218029603944777,0.000454775116095538,0.631757881249702,"",881
"deployer_minus_unrelated","0_20_minus_pre_21_1",5,-0.00263629413377095,-0.00306808987307859,0.000431795739307635,0.000343691992568145,0.209319447441346,"",901
"deployer_minus_unrelated","0_20_minus_pre_21_1",10,-0.00263629413377095,-0.00306808987307859,0.000431795739307635,0.000336211470452343,0.199370765975221,"",901
"deployer_minus_unrelated","0_20_minus_pre_21_1",20,-0.00263629413377095,-0.00306808987307859,0.000431795739307635,0.000368063700297112,0.241046508177774,"",901
"deployer_minus_unrelated","0_20_minus_pre_21_1",40,-0.00263629413377095,-0.00306808987307859,0.000431795739307635,0.000423331363205098,0.30800723047747,"",901
"hardware_minus_unrelated","0_10_minus_pre_11_1",5,-0.0017762532050445,-0.00230899021239107,0.000532737007346563,0.000571773651931401,0.351735168086753,"",881
"hardware_minus_unrelated","0_10_minus_pre_11_1",10,-0.0017762532050445,-0.00230899021239107,0.000532737007346563,0.000586765300051218,0.364170092597286,"",881
"hardware_minus_unrelated","0_10_minus_pre_11_1",20,-0.0017762532050445,-0.00230899021239107,0.000532737007346563,0.000568018509863231,0.348562031756769,"",881
"hardware_minus_unrelated","0_10_minus_pre_11_1",40,-0.0017762532050445,-0.00230899021239107,0.000532737007346563,0.00051552396335452,0.301707878634163,"",881
"hardware_minus_unrelated","0_20_minus_pre_21_1",5,-0.0017786501988362,-0.0025285305242635,0.000749880325427296,0.00036197703452312,0.0385871542429642,"**",901
"hardware_minus_unrelated","0_20_minus_pre_21_1",10,-0.0017786501988362,-0.0025285305242635,0.000749880325427296,0.000362596259258301,0.0389193670921054,"**",901
"hardware_minus_unrelated","0_20_minus_pre_21_1",20,-0.0017786501988362,-0.0025285305242635,0.000749880325427296,0.000391248003764516,0.055602994228306,"*",901
"hardware_minus_unrelated","0_20_minus_pre_21_1",40,-0.0017786501988362,-0.0025285305242635,0.000749880325427296,0.000444797680648029,0.0921661587833718,"*",901
