"portfolio","event_window","nw_lag","daily_alpha","daily_se","p","stars","ci95_low","ci95_high","annualized_alpha_arithmetic","active_day_alpha","daily_mean_return","annualized_mean_return_arithmetic","observations","active_days","share_active_days"
"static_hardware_minus_downstream","full_period",5,0.0007499938018933,0.000545564705678015,0.169523272235648,"",-0.000320564952396365,0.00182055255618296,0.188998438077112,NA,0.000977621932246563,0.246360726926134,1023,1023,1
"static_hardware_minus_downstream","full_period",10,0.0007499938018933,0.000556437059913155,0.17800613151997,"",-0.000341899715963414,0.00184188731975001,0.188998438077112,NA,0.000977621932246563,0.246360726926134,1023,1023,1
"static_hardware_minus_downstream","full_period",20,0.0007499938018933,0.000591064486117961,0.204771279157309,"",-0.000409848932392294,0.00190983653617889,0.188998438077112,NA,0.000977621932246563,0.246360726926134,1023,1023,1
"static_hardware_minus_downstream","full_period",40,0.0007499938018933,0.000618120269575352,0.225278708594965,"",-0.000462940354056895,0.00196292795784349,0.188998438077112,NA,0.000977621932246563,0.246360726926134,1023,1023,1
"competitor_minus_unrelated","pre_21_1",5,-0.000865186447008454,0.00109274836520323,0.428719233035,"",-0.00300989715183402,0.00127952425781711,-0.177146925024981,-0.000865186447008454,-0.000618549972479632,-0.155874593064867,880,715,0.8125
"competitor_minus_unrelated","pre_21_1",10,-0.000865186447008454,0.00117733804393181,0.462617395258499,"",-0.00317591926201415,0.00144554636799724,-0.177146925024981,-0.000865186447008454,-0.000618549972479632,-0.155874593064867,880,715,0.8125
"competitor_minus_unrelated","pre_21_1",20,-0.000865186447008454,0.00129331596958467,0.503692415635622,"",-0.0034035463229111,0.0016731734288942,-0.177146925024981,-0.000865186447008454,-0.000618549972479632,-0.155874593064867,880,715,0.8125
"competitor_minus_unrelated","pre_21_1",40,-0.000865186447008454,0.00137795040203186,0.530246695161835,"",-0.00356965627012896,0.00183928337611206,-0.177146925024981,-0.000865186447008454,-0.000618549972479632,-0.155874593064867,880,715,0.8125
"competitor_minus_unrelated","pre_11_1",5,-0.000778020924369789,0.00114933836818111,0.498631527508464,"",-0.00303383549444485,0.00147779364570527,-0.126876432949297,-0.000778020924369789,-0.000477818003799325,-0.12041013695743,870,563,0.647126436781609
"competitor_minus_unrelated","pre_11_1",10,-0.000778020924369789,0.00119123781646327,0.513852443715793,"",-0.0031160718388754,0.00156002999013582,-0.126876432949297,-0.000778020924369789,-0.000477818003799325,-0.12041013695743,870,563,0.647126436781609
"competitor_minus_unrelated","pre_11_1",20,-0.000778020924369789,0.00131113415035634,0.553071535672876,"",-0.00335139322410209,0.00179535137536252,-0.126876432949297,-0.000778020924369789,-0.000477818003799325,-0.12041013695743,870,563,0.647126436781609
"competitor_minus_unrelated","pre_11_1",40,-0.000778020924369789,0.00145712434763555,0.59351819718473,"",-0.00363792922013933,0.00208188737139976,-0.126876432949297,-0.000778020924369789,-0.000477818003799325,-0.12041013695743,870,563,0.647126436781609
"competitor_minus_unrelated","0_20",5,5.18056641076264e-05,0.00111471307234191,0.962942699640081,"",-0.0021360146385254,0.00223962596674066,0.0106072097260365,5.18056641076264e-05,-4.67949406971506e-05,-0.011792325055682,880,715,0.8125
"competitor_minus_unrelated","0_20",10,5.18056641076264e-05,0.00118525156464061,0.965146659854897,"",-0.00227445882600047,0.00237807015421573,0.0106072097260365,5.18056641076264e-05,-4.67949406971506e-05,-0.011792325055682,880,715,0.8125
"competitor_minus_unrelated","0_20",20,5.18056641076264e-05,0.00124123416421019,0.966717692820257,"",-0.00238433451596182,0.00248794584417707,0.0106072097260365,5.18056641076264e-05,-4.67949406971506e-05,-0.011792325055682,880,715,0.8125
"competitor_minus_unrelated","0_20",40,5.18056641076264e-05,0.00125856444437955,0.967175725282367,"",-0.0024183482363941,0.00252195956460936,0.0106072097260365,5.18056641076264e-05,-4.67949406971506e-05,-0.011792325055682,880,715,0.8125
"competitor_minus_unrelated","0_10",5,-0.000313079215136876,0.00124069558072894,0.80083684738441,"",-0.00274820123448206,0.0021220428042083,-0.0510556629043212,-0.000313079215136876,-6.14753231344651e-05,-0.0154917814298852,870,563,0.647126436781609
"competitor_minus_unrelated","0_10",10,-0.000313079215136876,0.00136044679880725,0.818045333784023,"",-0.00298323779986949,0.00235707936959574,-0.0510556629043212,-0.000313079215136876,-6.14753231344651e-05,-0.0154917814298852,870,563,0.647126436781609
"competitor_minus_unrelated","0_10",20,-0.000313079215136876,0.00145907156760826,0.830149772637141,"",-0.00317680933336287,0.00255065090308911,-0.0510556629043212,-0.000313079215136876,-6.14753231344651e-05,-0.0154917814298852,870,563,0.647126436781609
"competitor_minus_unrelated","0_10",40,-0.000313079215136876,0.00149742958171465,0.834436709246876,"",-0.00325209487980927,0.00262593644953552,-0.0510556629043212,-0.000313079215136876,-6.14753231344651e-05,-0.0154917814298852,870,563,0.647126436781609
"deployer_minus_unrelated","pre_21_1",5,-0.000894917005288447,0.00113358755029344,0.43005941126732,"",-0.00311978178787649,0.0013299477772996,-0.183234256832809,-0.000894917005288447,-0.000700726694456423,-0.176583127003019,880,715,0.8125
"deployer_minus_unrelated","pre_21_1",10,-0.000894917005288447,0.00117814710407794,0.447699873282617,"",-0.00320723774301406,0.00141740373243717,-0.183234256832809,-0.000894917005288447,-0.000700726694456423,-0.176583127003019,880,715,0.8125
"deployer_minus_unrelated","pre_21_1",20,-0.000894917005288447,0.00125725181499825,0.476775601360221,"",-0.00336249463994968,0.00157266062937279,-0.183234256832809,-0.000894917005288447,-0.000700726694456423,-0.176583127003019,880,715,0.8125
"deployer_minus_unrelated","pre_21_1",40,-0.000894917005288447,0.00130715351569999,0.493758283907861,"",-0.00346043549723398,0.00167060148665708,-0.183234256832809,-0.000894917005288447,-0.000700726694456423,-0.176583127003019,880,715,0.8125
"deployer_minus_unrelated","pre_11_1",5,-0.000538340648449058,0.00117053320442926,0.645695820049215,"",-0.00283575447401107,0.00175907317711296,-0.087790365332596,-0.000538340648449058,-0.000359647663112418,-0.0906312111043293,870,563,0.647126436781609
"deployer_minus_unrelated","pre_11_1",10,-0.000538340648449058,0.00118191939119319,0.648878127810757,"",-0.00285810222356051,0.00178142092666239,-0.087790365332596,-0.000538340648449058,-0.000359647663112418,-0.0906312111043293,870,563,0.647126436781609
"deployer_minus_unrelated","pre_11_1",20,-0.000538340648449058,0.00121180019199272,0.656973782631985,"",-0.00291674948330157,0.00184006818640346,-0.087790365332596,-0.000538340648449058,-0.000359647663112418,-0.0906312111043293,870,563,0.647126436781609
