"spec","n","events","hw_coef","hw_p","deploy_coef","deploy_p","comp_coef","comp_p","open_ix_coef","open_ix_p"
"S01_基准 SPY [0,20]",12112,124,0.016780428434658,0.0111945075086628,-0.000657505505213687,0.791509936584749,0.0163374601182827,0.0122590140569242,NA,NA
"S02_基准+开源交互",12112,124,0.016096489095376,0.0422898364546224,-0.00066717800547271,0.788504473582694,0.0162509356601548,0.0127227576822484,0.00175368097624918,0.886122674033194
"S03_QQQ 基准",12112,124,0.0163350018740619,0.00978101568643437,8.96649342489674e-05,0.970373678001038,0.0149698538409121,0.0190369126396155,NA,NA
"S04_SOXX 基准",12112,124,0.011289706439224,0.0127136222150972,-0.000246005292041533,0.924039830399733,0.016173891867284,0.0179217852626995,NA,NA
"S05_FF3",12112,124,0.0180097971320045,0.00677126684552832,0.0002191936290476,0.928757308843404,0.0162057069947236,0.00668563256690449,NA,NA
"S06_窗口 [0,10]",12112,124,0.00996036222813871,0.0210428731492742,-0.00214645711850274,0.300223699164371,0.00950178524187481,0.045827484818239,NA,NA
"S07_窗口 [0,15]",12112,124,0.012118395088187,0.018997408140534,-0.00230438823425784,0.339805575674905,0.0105286964299268,0.0477362641045466,NA,NA
"S08_控制 CAR_pre",12112,124,0.0168138250397157,0.0108212438247025,-0.000654436871647909,0.79328131518307,0.0157833015132173,0.0142562661280647,NA,NA
"S09_剔除多组件事件",11511,118,0.0156841670346585,0.0210627905655313,-0.00124148161503787,0.628541579415377,0.0168140582457386,0.0118528527089325,NA,NA
"S10_仅高置信度日期",10209,104,0.0119492069969303,0.0960814468030731,-0.00114526765947382,0.683496819957333,0.0153924602371025,0.0320108090843264,NA,NA
"S11_旧论文窗口 2024-04 后",10853,110,0.016084496106225,0.0266731956623486,0.00216414753544903,0.375480703611796,0.0213478102150848,0.00180774889941919,NA,NA
"S12_仅 2022-2024",5347,56,-0.0122009253676478,0.238376915157028,-0.00362445621261313,0.366579496177628,-0.0012330595007283,0.863871149274208,NA,NA
"S13_仅 2025-2026",6765,68,0.0430360807463398,5.14801040511725e-08,0.00115536548943324,0.72919892176429,0.0180808916186667,0.0596711073957728,NA,NA
"S14_仅 LLM 事件",8562,87,0.0200202025737278,0.0125596724927682,-0.000399208806304454,0.893516879553257,0.0198810740612176,0.0177999583624824,NA,NA
"S15_仅媒体事件",3352,35,0.010396208164034,0.388274825631252,-0.00022324144445337,0.962113298934504,0.00876300286543779,0.369625014315594,NA,NA
"S16_事件固定效应",12112,124,0.0155370290874316,0.0186340342743039,-0.0011098516374473,0.654192539931029,0.0160767611226425,0.0141784325310892,NA,NA
"S17_仅推理模型事件",4077,41,0.0465731961777122,2.11177071768614e-05,0.00414107300528955,0.341306661266076,0.0246379411505721,0.0740354618398427,NA,NA
"S18_仅中国模型事件",2474,25,0.0273035702573943,0.0723780037059337,-0.00522289010328741,0.353455471421126,0.0200807258026245,0.214819042151621,NA,NA
"S19_仅非中国模型事件",9638,99,0.01485369839409,0.044757889226613,0.000512624173308221,0.854707263950222,0.0143274056342265,0.0428236944511215,NA,NA
"S20_CAR winsorize 1/99",12112,124,0.016953095702568,0.00512737939170429,-8.10537529254397e-05,0.973700861044823,0.0137854929145216,0.0252769556319241,NA,NA
