"block","y","term","coef","se","p","n","events"
"prof_2526","car_mm_spy_0_5","rel_downstream_deployer",0.00061382226421792,0.006210515920484,0.92156392440049,3023,68
"prof_reas","car_mm_spy_0_5","rel_upstream_hardware",0.0274474142662161,0.00736443397150206,0.000600281627807687,1822,41
"prof_reas","car_mm_spy_0_5","rel_competitor",0.0271462751575012,0.00812601862689515,0.00191437349939864,1822,41
"prof_reas","car_mm_spy_0_5","rel_downstream_deployer",0.0075699456932245,0.00650334285023602,0.251322425756529,1822,41
"prof_full","car_mm_spy_0_10","rel_upstream_hardware",0.0180941353007673,0.00636818397463416,0.00527190006846016,5441,124
"prof_full","car_mm_spy_0_10","rel_competitor",0.0127353636970754,0.00693590184218607,0.0689432580694265,5441,124
"prof_full","car_mm_spy_0_10","rel_downstream_deployer",0.00937890869353887,0.00683495434993074,0.172523401503093,5441,124
"prof_2526","car_mm_spy_0_10","rel_upstream_hardware",0.0387566382710121,0.00763040714968788,3.25817918946627e-06,3023,68
"prof_2526","car_mm_spy_0_10","rel_competitor",0.0251473645051992,0.00840283156899007,0.00396739052974897,3023,68
"prof_2526","car_mm_spy_0_10","rel_downstream_deployer",0.00679289274559543,0.00845530487034857,0.424594184692912,3023,68
"prof_reas","car_mm_spy_0_10","rel_upstream_hardware",0.0375156552399992,0.00869433488852137,0.00010209664724398,1822,41
"prof_reas","car_mm_spy_0_10","rel_competitor",0.0233143325965771,0.0122667131245634,0.0651383814396809,1822,41
"prof_reas","car_mm_spy_0_10","rel_downstream_deployer",0.0166288208560682,0.0100736990634652,0.106634279875525,1822,41
"prof_full","car_mm_spy_0_15","rel_upstream_hardware",0.0254055948531212,0.00899750057683044,0.00555266382301676,5441,124
"prof_full","car_mm_spy_0_15","rel_competitor",0.0222109765618059,0.00792774246031888,0.00597543568062491,5441,124
"prof_full","car_mm_spy_0_15","rel_downstream_deployer",0.00920001260877586,0.00796200616095522,0.250151492638769,5441,124
"prof_2526","car_mm_spy_0_15","rel_upstream_hardware",0.0575122566167592,0.00920934616562677,3.33836078224415e-08,3023,68
"prof_2526","car_mm_spy_0_15","rel_competitor",0.0379555268412574,0.00982684744435175,0.000270996150491032,3023,68
"prof_2526","car_mm_spy_0_15","rel_downstream_deployer",0.0147593932734416,0.00875395261864408,0.0964472566456119,3023,68
"prof_reas","car_mm_spy_0_15","rel_upstream_hardware",0.0566816892113114,0.0119375796054554,2.64265093448991e-05,1822,41
"prof_reas","car_mm_spy_0_15","rel_competitor",0.0278036841176851,0.0142219208285444,0.0581453322073399,1822,41
"prof_reas","car_mm_spy_0_15","rel_downstream_deployer",0.0187336447732775,0.010831865846778,0.0914383630873909,1822,41
"prof_full","car_mm_spy_0_20","rel_upstream_hardware",0.034757587394593,0.0108269260748384,0.00169758194021975,5441,124
"prof_full","car_mm_spy_0_20","rel_competitor",0.0338531159251032,0.00897418045509512,0.000258313625118681,5441,124
"prof_full","car_mm_spy_0_20","rel_downstream_deployer",0.0126140572399686,0.00841855718913941,0.136625794572561,5441,124
"prof_2526","car_mm_spy_0_20","rel_upstream_hardware",0.0770205211575942,0.0121679885484363,2.36951866386006e-08,3023,68
"prof_2526","car_mm_spy_0_20","rel_competitor",0.0564760533883985,0.011156010107811,3.97088092071235e-06,3023,68
"prof_2526","car_mm_spy_0_20","rel_downstream_deployer",0.0240439598527475,0.00975317858529015,0.0162632708937111,3023,68
"prof_reas","car_mm_spy_0_20","rel_upstream_hardware",0.0744644883479462,0.0161153761917778,3.94570246893858e-05,1822,41
"prof_reas","car_mm_spy_0_20","rel_competitor",0.044961856336461,0.0170525720593398,0.0121533713707864,1822,41
"prof_reas","car_mm_spy_0_20","rel_downstream_deployer",0.0291655807204055,0.0130676493217942,0.0312945942431839,1822,41
