"term","bandwidth_trading_days","estimate","se","t","p","stars","ci95_low","ci95_high","events","unique_event_dates"
"rel_upstream_hardware",0,0.0328299658480102,0.0104658754323944,3.13685807365847,0.00220092425899873,"***",0.0120847850863162,0.0535751466097042,124,109
"rel_upstream_hardware",5,0.0328299658480102,0.0144419337886484,2.27323891166258,0.0249901632522954,"**",0.00420354764446539,0.0614563840515551,124,109
"rel_upstream_hardware",10,0.0328299658480102,0.0161358027437205,2.03460381670732,0.0443406066235108,"**",0.000846005517523347,0.0648139261784971,124,109
"rel_upstream_hardware",20,0.0328299658480102,0.0180147060417771,1.82239808808846,0.0711615175614891,"*",-0.00287830677758376,0.0685382384736042,124,109
"rel_upstream_hardware",40,0.0328299658480102,0.0199243298318731,1.6477325021739,0.102314022876887,"",-0.00666351241740563,0.0723234441134261,124,109
"rel_upstream_cloud",0,0.00586339757145384,0.00779024363836025,0.752659075074578,0.453307506037557,"",-0.00957985186684849,0.0213066470097562,123,108
"rel_upstream_cloud",5,0.00586339757145384,0.00859469451790257,0.682211282697774,0.49657954874141,"",-0.0111745819125764,0.0229013770554841,123,108
"rel_upstream_cloud",10,0.00586339757145384,0.00959809932886922,0.610891528681921,0.542566927243843,"",-0.013163714923391,0.0248905100662986,123,108
"rel_upstream_cloud",20,0.00586339757145384,0.0106373092795363,0.551210594462419,0.582638517183096,"",-0.0152238274477146,0.0269506225906222,123,108
"rel_upstream_cloud",40,0.00586339757145384,0.0108290547936396,0.5414505405308,0.589322698888037,"",-0.0156039405661787,0.0273307357090864,123,108
"rel_downstream_integrator",0,0.0150409563941018,0.00809023216125744,1.85915015716484,0.0657535009012352,"*",-0.000996985303235472,0.0310788980914391,123,108
"rel_downstream_integrator",5,0.0150409563941018,0.0100889565422449,1.49083369832368,0.138947331969906,"",-0.00495922327766964,0.0350411360658733,123,108
"rel_downstream_integrator",10,0.0150409563941018,0.0112541449158489,1.33648149251394,0.184226982721116,"",-0.00726907333262426,0.0373509861208279,123,108
"rel_downstream_integrator",20,0.0150409563941018,0.0127739010251676,1.17747557026374,0.241618166521933,"",-0.0102818125704606,0.0403637253586643,123,108
"rel_downstream_integrator",40,0.0150409563941018,0.0134394201642024,1.11916706303783,0.265574974813935,"",-0.0116011266442169,0.0416830394324205,123,108
