"benchmark","outcome","contrast","method","estimate","estimate_pp","se","p","stars","ci95_low","ci95_high","ci95_low_pp","ci95_high_pp","observations","events","firms","df"
"market_model","car_mm_spy_0_20","hardware_change_minus_competitor_change_after_2025","event_CR2",0.0486327348997286,4.86327348997286,0.0146830744097908,0.00125242866229957,"***",0.019535049456403,0.0777304203430543,1.9535049456403,7.77304203430543,5441,124,45,110.245870197453
"market_model","car_mm_spy_0_20","hardware_change_minus_competitor_change_after_2025","event_x_firm_HC1",0.0486327348997287,4.86327348997287,0.0203867124696186,0.0214265623725934,"**",0.00754601563895116,0.0897194541605063,0.754601563895116,8.97194541605063,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","hardware_change_minus_competitor_change_after_2025","event_CR2",0.0503249645368173,5.03249645368173,0.0151933754191679,0.00125188538610066,"***",0.0202160073504045,0.08043392172323,2.02160073504045,8.043392172323,5441,124,45,110.245870197453
"fama_french_3factor","car_ff3_0_20","hardware_change_minus_competitor_change_after_2025","event_x_firm_HC1",0.0503249645368175,5.03249645368175,0.0211698371328034,0.0218575660479124,"**",0.00765996122311004,0.092989967850525,0.765996122311004,9.2989967850525,5441,124,45,44
