"variable","spec","beta","se","p","n","n_events"
"upstream_hardware","full_sample",0.0227637564746788,0.00842259450072066,0.00896875247845804,4829,60
"upstream_hardware","excl_deepseek",0.0228053683775708,0.00857040376148503,0.0100620612677548,4750,59
"downstream_deployer","full_sample",-0.0190156167630144,0.00506948462013039,0.000403839450563957,4829,60
"downstream_deployer","excl_deepseek",-0.0186022951174448,0.00511835516362505,0.000592343276470405,4750,59
