term,estimate,std.error,p.value,conf.low,conf.high,variable,variable_label,y_var,n,n_events,moderator
Baseline (mod=0),0.029742565742122723,0.009705234589855706,0.002179685159428271,0.01072030594600554,0.04876482553823991,upstream_hardware,Upstream hardware,car_20,4829,60,is_code_model
Mod=1,0.0034788615099865597,0.015698471437576942,0.8246213031915484,-0.027290142507664247,0.03424786552763737,upstream_hardware,Upstream hardware,car_20,4829,60,is_code_model
Interaction (mod=1 minus mod=0),-0.026263704232136163,0.018289032106259706,0.1509921642078408,-0.06211020716040519,0.009582798696132863,upstream_hardware,Upstream hardware,car_20,4829,60,is_code_model
Baseline (mod=0),0.028594179427515336,0.008969910541006399,0.001433652618506781,0.011013154767142794,0.046175204087887875,upstream_any,Any upstream,car_20,4829,60,is_code_model
Mod=1,0.004657958542591992,0.01614934339643833,0.7730174439248916,-0.026994754514427132,0.036310671599611113,upstream_any,Any upstream,car_20,4829,60,is_code_model
Interaction (mod=1 minus mod=0),-0.023936220884923344,0.018762268230015984,0.20203906032911914,-0.060710266615754675,0.012837824845907987,upstream_any,Any upstream,car_20,4829,60,is_code_model
Baseline (mod=0),-0.019338073001838253,0.006331826244204744,0.0022573177459673634,-0.03174845244047955,-0.006927693563196955,downstream_deployer,Downstream deployer,car_20,4829,60,is_code_model
Mod=1,-0.018064810294850287,0.006974382452876162,0.009592958119698722,-0.031734599902487566,-0.00439502068721301,downstream_deployer,Downstream deployer,car_20,4829,60,is_code_model
Interaction (mod=1 minus mod=0),0.001273262706987964,0.009252969414950091,0.8905519331135907,-0.016862557346314214,0.019409082760290144,downstream_deployer,Downstream deployer,car_20,4829,60,is_code_model
