"outcome","beta_hardware","se_hardware","beta_cloud","se_cloud","diff","se_diff","z","p_value","n","n_events"
"car_10",0.00749420456518052,0.0059895867630928,0.0112002881111962,0.00553199522756803,-0.00370608354601563,0.00669718082110822,-0.553379645108994,0.580003474012332,4829,60
"car_15",0.0176472260824593,0.00749147770423561,0.0196698527145036,0.00592430430360269,-0.00202262663204426,0.0070979289495247,-0.28496011250996,0.775674701087935,4829,60
"car_20",0.0236716867684999,0.00863886381778184,0.0160928340631105,0.00688348381636581,0.00757885270538944,0.00728780508929411,1.0399362513856,0.298369518868116,4829,60
