term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,estimate_pp,se_pp,conf.low_pp,conf.high_pp,spec_type,outcome_family,x,x_label,moderator,control_set,sample,p_bh_all,p_bonf_all,sign,three_star,bh_1pct,bh_5pct
downstream_any,-0.029655113434039905,0.007032529701974112,-4.2168486577049755,1.1181489631833589e-4,-0.04380273834950914,-0.01550748851857067,47,car_15,car_15,3863,48,0.08478098102921061,-2.9655113434039904,0.7032529701974112,-4.380273834950914,-1.5507488518570671,main_effect,market,downstream_any,Any downstream,NA,firm_year,text_or_reason,0.0524686104654486,0.833915496742149,negative,TRUE,FALSE,FALSE
downstream_any,-0.029844310420296304,0.007080886195114588,-4.214770524187664,1.1256339064724827e-4,-0.04408921605211813,-0.015599404788474477,47,car_15,car_15,3863,48,0.07896015523587818,-2.9844310420296303,0.70808861951145885,-4.4089216052118125,-1.5599404788474478,main_effect,market,downstream_any,Any downstream,NA,firm,text_or_reason,0.0524686104654486,0.8394977674471776,negative,TRUE,FALSE,FALSE
z_intelligence,0.019450494649539084,0.004093365827390115,4.7517117867621685,1.2189822487400393e-4,0.010911883157316112,0.027989106141762057,20,car_10,car_10,1689,21,0.3717577681963061,1.9450494649539085,0.40933658273901147,1.0911883157316111,2.7989106141762057,main_effect,market,z_intelligence,AA Intelligence Index (z),NA,firm_year_pre,listed_creator,0.05347746830060714,0.9091169611103214,positive,TRUE,FALSE,FALSE
z_intelligence,0.010007121153609732,0.0021374129692633952,4.681884735198566,1.4331996920780233e-4,0.005548555828014292,0.01446568647920517,20,ff3_car_3,ff3_car_3,1697,21,0.04293451388972869,1.0007121153609733,0.21374129692633953,0.5548555828014292,1.446568647920517,main_effect,ff3,z_intelligence,AA Intelligence Index (z),NA,firm_year,listed_creator,0.05832939475412117,1,positive,TRUE,FALSE,FALSE
downstream_deployer,-0.020534979339290167,0.004965230318727342,-4.135755649005537,1.4859995981875867e-4,-0.030529469595477747,-0.010540489083102586,46,car_20,car_20,3768,47,0.2976065391540833,-2.053497933929017,0.4965230318727342,-3.0529469595477745,-1.0540489083102587,main_effect,market,downstream_deployer,Downstream deployer,NA,firm_year_pre,closed,0.05832939475412117,1,negative,TRUE,FALSE,FALSE
downstream_any,-0.02990728597699598,0.007317757027017044,-4.086947115978127,1.734007510042695e-4,-0.04463716689064032,-0.015177405063351645,46,car_15,car_15,3798,47,0.07577161497127016,-2.990728597699598,0.7317757027017044,-4.463716689064031,-1.5177405063351646,main_effect,market,downstream_any,Any downstream,NA,firm_year,non_chinese_origin,0.06063965123940992,1,negative,TRUE,FALSE,FALSE
downstream_any,-0.030035546293347336,0.007357951192183257,-4.082052939581292,1.7609867664911607e-4,-0.044846333865156976,-0.015224758721537692,46,car_15,car_15,3798,47,0.07332795146425797,-3.0035546293347335,0.7357951192183256,-4.484633386515697,-1.5224758721537692,main_effect,market,downstream_any,Any downstream,NA,firm,non_chinese_origin,0.06063965123940992,1,negative,TRUE,FALSE,FALSE
upstream_any:is_open_weight,-0.03742629955345648,0.009198718247798174,-4.068642885373179,1.793905606334843e-4,-0.05593173372693734,-0.018920865379975612,47,car_5,car_5,3842,48,0.17779555139984993,-3.742629955345648,0.9198718247798174,-5.593173372693734,-1.892086537997561,interaction,market,upstream_any,Any upstream,is_open_weight,firm_year_pre,text_or_reason,0.06063965123940992,1,negative,TRUE,FALSE,FALSE
upstream_hardware:is_open_weight,-0.0642682887917764,0.015847169059507612,-4.055505973997181,1.8700884667557363e-4,-0.09614868081671268,-0.03238789676684011,47,car_15,car_15,3863,48,0.08623581760395305,-6.4268288791776405,1.584716905950761,-9.614868081671268,-3.238789676684011,interaction,market,upstream_hardware,Upstream hardware,is_open_weight,firm_year,text_or_reason,0.06063965123940992,1,negative,TRUE,FALSE,FALSE
downstream_any,-0.035320912986507115,0.008772167815440705,-4.026474838333063,2.0497345632740013e-4,-0.052968238374065515,-0.017673587598948715,47,car_20,car_20,3863,48,0.09532189683129455,-3.5320912986507116,0.8772167815440706,-5.296823837406552,-1.7673587598948715,main_effect,market,downstream_any,Any downstream,NA,firm,text_or_reason,0.06150733200577919,1,negative,TRUE,FALSE,FALSE
downstream_any,-0.03497878781358017,0.008715596700192044,-4.013355484061055,2.1363020408993248e-4,-0.05251230679668596,-0.01744526883047438,47,car_20,car_20,3863,48,0.10269540350015227,-3.4978787813580174,0.8715596700192044,-5.251230679668597,-1.744526883047438,main_effect,market,downstream_any,Any downstream,NA,firm_year,text_or_reason,0.06150733200577919,1,negative,TRUE,FALSE,FALSE
competitor,0.022496965415824494,0.004742200806275815,4.7439925753570105,2.2011043660270132e-4,0.01244394879662909,0.032549982035019895,16,ff3_car_5,ff3_car_5,1386,17,0.015409311184245822,2.2496965415824492,0.4742200806275815,1.244394879662909,3.2549982035019895,main_effect,ff3,competitor,Direct competitor,NA,firm,reasoning,0.06150733200577919,1,positive,TRUE,FALSE,FALSE
