"x_var","y_var","controls","subsample","year_fe","n","n_events","estimate","std.error","p.value","conf.low","conf.high","sig_05","sig_10"
"aa_intelligence_index","car_1","none","all",FALSE,3935,47,4.01873009981031e-05,0.000124827126412889,0.748953910575133,-0.000211076672384161,0.000291451274380367,FALSE,FALSE
"aa_intelligence_index","car_1","none","all",TRUE,3935,47,0.000413184030402285,0.000202153114028005,0.0467117625539267,6.2709168674574e-06,0.000820097143937113,TRUE,TRUE
"aa_intelligence_index","car_1","none","us_creator",FALSE,1341,16,0.000832233389852038,0.000205823849360214,0.00106137506904995,0.000393530239667847,0.00127093654003623,TRUE,TRUE
"aa_intelligence_index","car_1","none","us_creator",TRUE,1341,16,0.00102058932423475,0.000326604650871104,0.00695501199322777,0.000324447989557831,0.00171673065891168,TRUE,TRUE
"aa_intelligence_index","car_1","none","non_us_creator",FALSE,2594,31,-0.000220765211551001,0.000134242690987658,0.110508259631464,-0.000494925361814853,5.33949387128502e-05,FALSE,FALSE
"aa_intelligence_index","car_1","none","non_us_creator",TRUE,2594,31,0.000133490027474726,0.000240790819539642,0.583427205500779,-0.000358270431001287,0.00062525048595074,FALSE,FALSE
"aa_intelligence_index","car_1","none","open_source",FALSE,925,11,-4.24520494676028e-05,0.000298105829362793,0.889587691535263,-0.000706673229874433,0.000621769130939227,FALSE,FALSE
"aa_intelligence_index","car_1","none","open_source",TRUE,925,11,-6.97142518830313e-06,0.000200540662889103,0.972952725944739,-0.000453803867574596,0.000439861017197989,FALSE,FALSE
"aa_intelligence_index","car_1","none","closed_source",FALSE,3010,36,1.4896759328602e-05,0.000149153912655038,0.921013393457263,-0.000287901781281949,0.000317695299939153,FALSE,FALSE
"aa_intelligence_index","car_1","none","closed_source",TRUE,3010,36,0.000500690891392047,0.000277353892732412,0.0796454244327349,-6.23674451751175e-05,0.00106374922795921,FALSE,TRUE
"aa_intelligence_index","car_1","none","text_or_reason",FALSE,3935,47,4.01873009981031e-05,0.000124827126412889,0.748953910575133,-0.000211076672384161,0.000291451274380367,FALSE,FALSE
"aa_intelligence_index","car_1","none","text_or_reason",TRUE,3935,47,0.000413184030402285,0.000202153114028005,0.0467117625539267,6.2709168674574e-06,0.000820097143937113,TRUE,TRUE
"aa_intelligence_index","car_1","size","all",FALSE,3935,47,5.63272031293059e-05,0.000123099249510508,0.649411428086521,-0.00019145873444068,0.000304113140699292,FALSE,FALSE
"aa_intelligence_index","car_1","size","all",TRUE,3935,47,0.000407526899304719,0.000201567722640779,0.0490376492179215,1.79211751688319e-06,0.000813261681092555,TRUE,TRUE
"aa_intelligence_index","car_1","size","us_creator",FALSE,1341,16,0.000839756967698713,0.000206589932480154,0.00101619454410799,0.000399420949996664,0.00128009298540076,TRUE,TRUE
"aa_intelligence_index","car_1","size","us_creator",TRUE,1341,16,0.00101776899629992,0.000326508105435036,0.00706553051467014,0.000321833443348828,0.00171370454925101,TRUE,TRUE
"aa_intelligence_index","car_1","size","non_us_creator",FALSE,2594,31,-0.000207959626384113,0.000129827913455195,0.119676557326791,-0.000473103598092719,5.71843453244935e-05,FALSE,FALSE
"aa_intelligence_index","car_1","size","non_us_creator",TRUE,2594,31,0.000115485017367073,0.000240637871170267,0.634770551775636,-0.000375963078866929,0.000606933113601076,FALSE,FALSE
"aa_intelligence_index","car_1","size","open_source",FALSE,925,11,-3.64895789079871e-05,0.000303059183714414,0.906547819262509,-0.000711747520593319,0.000638768362777345,FALSE,FALSE
"aa_intelligence_index","car_1","size","open_source",TRUE,925,11,2.11325910838531e-07,0.000208373374928205,0.999210756478083,-0.000464073486486198,0.000464496138307875,FALSE,FALSE
"aa_intelligence_index","car_1","size","closed_source",FALSE,3010,36,4.08115032762237e-05,0.000146435642090542,0.782115732362322,-0.000256468654710216,0.000338091661262663,FALSE,FALSE
"aa_intelligence_index","car_1","size","closed_source",TRUE,3010,36,0.000500855016685419,0.000276624227322929,0.0787949322943318,-6.07220203489845e-05,0.00106243205371982,FALSE,TRUE
"aa_intelligence_index","car_1","size","text_or_reason",FALSE,3935,47,5.63272031293059e-05,0.000123099249510508,0.649411428086521,-0.00019145873444068,0.000304113140699292,FALSE,FALSE
"aa_intelligence_index","car_1","size","text_or_reason",TRUE,3935,47,0.000407526899304719,0.000201567722640779,0.0490376492179215,1.79211751688319e-06,0.000813261681092555,TRUE,TRUE
"aa_intelligence_index","car_1","full","all",FALSE,3935,47,1.20258665269057e-05,0.000117310202297827,0.918794778837056,-0.000224107323386739,0.00024815905644055,FALSE,FALSE
"aa_intelligence_index","car_1","full","all",TRUE,3935,47,0.000336442675940491,0.000177329946391648,0.0640801104798837,-2.05039927078767e-05,0.000693389344588858,FALSE,TRUE
"aa_intelligence_index","car_1","full","us_creator",FALSE,1341,16,0.000691774645208451,0.000210854233875901,0.0050537850588665,0.000242349484234307,0.0011411998061826,TRUE,TRUE
"aa_intelligence_index","car_1","full","us_creator",TRUE,1341,16,0.000854202859077114,0.000229466515219421,0.00204251440625909,0.000365106559491493,0.00134329915866273,TRUE,TRUE
"aa_intelligence_index","car_1","full","non_us_creator",FALSE,2594,31,-0.000259778563130595,0.000123026593518477,0.0431623824720475,-0.000511032386465949,-8.52473979524144e-06,TRUE,TRUE
"aa_intelligence_index","car_1","full","non_us_creator",TRUE,2594,31,1.21562443666976e-05,0.000216149407426364,0.955523513798216,-0.000429279736866,0.000453592225599396,FALSE,FALSE
"aa_intelligence_index","car_1","full","open_source",FALSE,925,11,0.000177015743668846,0.00031399768375718,0.58534485018247,-0.000522614694944225,0.000876646182281917,FALSE,FALSE
"aa_intelligence_index","car_1","full","open_source",TRUE,925,11,0.000196255717882488,0.000251296176339634,0.452909366603752,-0.000363667055975443,0.00075617849174042,FALSE,FALSE
"aa_intelligence_index","car_1","full","closed_source",FALSE,3010,36,-2.74471993277937e-05,0.000136303328881498,0.841576186453733,-0.000304157667937037,0.00024926326928145,FALSE,FALSE
"aa_intelligence_index","car_1","full","closed_source",TRUE,3010,36,0.000370083612532835,0.00024949443440448,0.146935534304808,-0.000136417016806036,0.000876584241871706,FALSE,FALSE
"aa_intelligence_index","car_1","full","text_or_reason",FALSE,3935,47,1.20258665269057e-05,0.000117310202297827,0.918794778837056,-0.000224107323386739,0.00024815905644055,FALSE,FALSE
"aa_intelligence_index","car_1","full","text_or_reason",TRUE,3935,47,0.000336442675940491,0.000177329946391648,0.0640801104798837,-2.05039927078767e-05,0.000693389344588858,FALSE,TRUE
"aa_intelligence_index","car_2","none","all",FALSE,3940,47,3.66340964061486e-05,0.00018609586339615,0.844807393768196,-0.000337957448001073,0.00041122564081337,FALSE,FALSE
"aa_intelligence_index","car_2","none","all",TRUE,3940,47,0.000472753447237227,0.000252430761468071,0.0674587371439761,-3.53633215537335e-05,0.000980870216028187,FALSE,TRUE
"aa_intelligence_index","car_2","none","us_creator",FALSE,1342,16,0.00101967511112296,0.000341934102722033,0.00930606275767797,0.000290859823264688,0.00174849039898122,TRUE,TRUE
"aa_intelligence_index","car_2","none","us_creator",TRUE,1342,16,0.00136352432108057,0.000620803679397903,0.0441993287305769,4.03126007460749e-05,0.00268673604141507,TRUE,TRUE
"aa_intelligence_index","car_2","none","non_us_creator",FALSE,2598,31,-0.000236373592227364,0.000218893511559959,0.288811482169402,-0.000683413781749326,0.000210666597294598,FALSE,FALSE
"aa_intelligence_index","car_2","none","non_us_creator",TRUE,2598,31,0.000122405896377384,0.000258862424131477,0.639734825962793,-0.000406261702397701,0.000651073495152469,FALSE,FALSE
