"outcome","beta","se","n","n_events","p_cr0","p_cr2","p_wild"
"car_1",-0.00335159377766593,0.00137862942650846,4809,60,0.0181098679073763,0.0195627023481726,0.0202040408081616
"car_2",-0.00420545777185204,0.00174920334529905,4815,60,0.0193660012863618,0.0208902824027924,0.0218043608721744
"car_3",-0.00528492607014154,0.00196099941336415,4823,60,0.009154556883423,0.0102067290758868,0.00900180036007201
"car_5",-0.00717069315728515,0.00241385798524616,4826,60,0.00429344635156534,0.00488171337093979,0.0024004800960192
"car_10",-0.00985103376900081,0.00357108182132522,4829,60,0.00771865966888296,0.00824270880859475,0.00680136027205441
"car_15",-0.0142911757853336,0.00430672209150497,4829,60,0.00155512061099056,0.0017135620770426,0.0014002800560112
"car_20",-0.0190156167630144,0.00506948462013039,4829,60,0.000403839450563957,0.000455156173100006,0.000400080016003201
