"dropped_event_id","variable","beta","se","p","n"
"FMR-0001","upstream_hardware",0.023199396636216,0.00854290711558517,0.00870130356427978,4746
"FMR-0001","downstream_deployer",-0.0200188682650166,0.00504495740938808,0.000201900483551051,4746
"FMR-0002","upstream_hardware",0.0210334338805083,0.00837612023838765,0.0148431792299595,4746
"FMR-0002","downstream_deployer",-0.0199360577213964,0.0050597411349204,0.000221349027210849,4746
"FMR-0003","upstream_hardware",0.0206897598252533,0.00828992643039581,0.0154341446498083,4746
"FMR-0003","downstream_deployer",-0.0192390315958902,0.00514032603092272,0.000419815981385636,4746
"FMR-0004","upstream_hardware",0.0228236510203728,0.00853912532522371,0.00975070596432384,4750
"FMR-0004","downstream_deployer",-0.0195577661567883,0.00511502894108673,0.000323650640005358,4750
"FMR-0005","upstream_hardware",0.0248663771319735,0.00827014639332115,0.00389871004990403,4750
"FMR-0005","downstream_deployer",-0.0188161596112268,0.0051492433710084,0.000556557153137702,4750
"FMR-0006","upstream_hardware",0.0241887252016516,0.00842320743071434,0.00569275336671673,4746
"FMR-0006","downstream_deployer",-0.0182529936264585,0.00509746926476373,0.000701051955364438,4746
"FMR-0007","upstream_hardware",0.0240296028836871,0.00845646137960613,0.00618520674787404,4746
"FMR-0007","downstream_deployer",-0.0191381987755032,0.0051524951064591,0.000459708974459384,4746
"FMR-0008","upstream_hardware",0.0232991919597107,0.00854627079876105,0.00845773611331257,4746
"FMR-0008","downstream_deployer",-0.0196083123339837,0.00511565464574737,0.00031393533603221,4746
"FMR-0009","upstream_hardware",0.0232881952320572,0.00854651926935636,0.0084887439301643,4747
"FMR-0009","downstream_deployer",-0.0196178458475737,0.00511318077943328,0.000310174622057279,4747
"FMR-0010","upstream_hardware",0.0225936781834522,0.00855106770283531,0.0105713315027915,4750
"FMR-0010","downstream_deployer",-0.0190299634978779,0.00515249687119824,0.000491515630793037,4750
"FMR-0011","upstream_hardware",0.0220029298943316,0.00852337296617067,0.0123873727761105,4750
"FMR-0011","downstream_deployer",-0.0193523788356898,0.00514493357906982,0.000395416938323243,4750
"FMR-0012","upstream_hardware",0.0220029298943316,0.00852337296617067,0.0123873727761105,4750
"FMR-0012","downstream_deployer",-0.0193523788356898,0.00514493357906982,0.000395416938323243,4750
"FMR-0013","upstream_hardware",0.0240324477132734,0.00846289617107481,0.00621627587963397,4750
"FMR-0013","downstream_deployer",-0.0189521528453875,0.00515353412928372,0.000516882126337073,4750
"FMR-0014","upstream_hardware",0.0244839383177687,0.00839469450693933,0.00502514293637316,4750
"FMR-0014","downstream_deployer",-0.0178538785480032,0.00501416156086587,0.000746506896445822,4750
"FMR-0015","upstream_hardware",0.0224877747452597,0.00858354825118417,0.0112090320237795,4746
"FMR-0015","downstream_deployer",-0.0174476078043173,0.00490074542051237,0.000747663135918866,4746
"FMR-0016","upstream_hardware",0.0222816728772813,0.00857344525287519,0.0118388803960446,4746
"FMR-0016","downstream_deployer",-0.0174150614822942,0.00489026878331648,0.000745399422654733,4746
"FMR-0017","upstream_hardware",0.0221530770679121,0.00855201621242593,0.0121042327841125,4750
"FMR-0017","downstream_deployer",-0.0178185054593057,0.00500461524335712,0.000747150185040963,4750
"FMR-0018","upstream_hardware",0.0215943241224682,0.00849791792971418,0.0137463116078924,4750
"FMR-0018","downstream_deployer",-0.0181252856613032,0.00507137030466419,0.000716020119632676,4750
"FMR-0019","upstream_hardware",0.0215943241224682,0.00849791792971418,0.0137463116078924,4750
"FMR-0019","downstream_deployer",-0.0181252856613032,0.00507137030466419,0.000716020119632676,4750
"FMR-0020","upstream_hardware",0.0213513492318584,0.00846239491234221,0.0143966652256508,4746
