"variable","outcome","beta","se","p","n","n_events"
"downstream_any","ff3_car_10",-0.000507735329549153,0.0056551844482274,0.928764328402104,4831,60
"downstream_any","ff3_car_15",-0.00613151242569254,0.00755298637983126,0.420169754832045,4831,60
"downstream_any","ff3_car_20",-0.00693001982284042,0.0092884514854332,0.458575599823595,4831,60
"downstream_deployer","ff3_car_10",-0.00319672601733875,0.00388659467893806,0.414103969009376,4831,60
"downstream_deployer","ff3_car_15",-0.00531200298895966,0.00447032439979481,0.23948388318498,4831,60
"downstream_deployer","ff3_car_20",-0.00763040608787804,0.00501463851166992,0.133444576833248,4831,60
"upstream_any","ff3_car_10",-0.00398016968341043,0.00529904640890305,0.455571655730952,4831,60
"upstream_any","ff3_car_15",0.00149628760844695,0.00714854071666614,0.834924395671526,4831,60
"upstream_any","ff3_car_20",0.00309037201584418,0.00870453743053531,0.72383313454287,4831,60
