"x_var","y_var","controls","subsample","year_fe","n","n_events","estimate","std.error","p.value","conf.low","conf.high","sig_05","sig_10"
"aa_intelligence_index","car_1","none","all",FALSE,3935,47,4.01873009981031e-05,0.000124827126412889,0.748953910575133,-0.000211076672384161,0.000291451274380367,FALSE,FALSE
"aa_intelligence_index","car_1","none","all",TRUE,3935,47,0.000413184030402285,0.000202153114028005,0.0467117625539267,6.2709168674574e-06,0.000820097143937113,TRUE,TRUE
"aa_intelligence_index","car_1","none","owner",FALSE,21,21,-0.0015631428857777,0.000716204424362256,0.0411654283004839,-0.00305711913576745,-6.91666357879391e-05,TRUE,TRUE
"aa_intelligence_index","car_1","none","owner",TRUE,21,21,-0.00155868057146469,0.000843915657217713,0.0796023271763948,-0.00331905778499619,0.000201696642066805,FALSE,TRUE
"aa_intelligence_index","car_1","none","investor",FALSE,38,22,-0.00059517941996329,0.000589801945653721,0.324405022349471,-0.00182173971179209,0.00063138087186551,FALSE,FALSE
"aa_intelligence_index","car_1","none","investor",TRUE,38,22,0.00134943639289267,0.000610683118604326,0.0383647032977176,7.94513247016396e-05,0.00261942146108371,TRUE,TRUE
"aa_intelligence_index","car_1","none","cloud",FALSE,217,47,-0.00021351155150935,0.000238170784685432,0.374672649654207,-0.000692924475793844,0.000265901372775144,FALSE,FALSE
"aa_intelligence_index","car_1","none","cloud",TRUE,217,47,-1.84147106733271e-05,0.000185642211646162,0.921414764982521,-0.000392093101469556,0.000355263680122902,FALSE,FALSE
"aa_intelligence_index","car_1","none","business_upstream",FALSE,1144,47,0.000268326095964935,0.000184139060925286,0.15185633757384,-0.00010232660936073,0.0006389788012906,FALSE,FALSE
"aa_intelligence_index","car_1","none","business_upstream",TRUE,1144,47,0.000412070964636244,0.000309273230850207,0.189296937946625,-0.000210463760605731,0.00103460568987822,FALSE,FALSE
"aa_intelligence_index","car_1","none","real_upstream",FALSE,927,47,0.00038708800944152,0.000202818947716187,0.0625728737864494,-2.11653577938613e-05,0.000795341376676902,FALSE,TRUE
"aa_intelligence_index","car_1","none","real_upstream",TRUE,927,47,0.000513455384986596,0.000362682651613179,0.163594319661061,-0.000216586928250001,0.00124349769822319,FALSE,FALSE
"aa_intelligence_index","car_1","none","business_downstream",FALSE,2599,47,-5.49956735365173e-05,0.000124369069186828,0.66041855492763,-0.000305337625544388,0.000195346278471354,FALSE,FALSE
"aa_intelligence_index","car_1","none","business_downstream",TRUE,2599,47,0.00026323162459571,0.000138441843395064,0.0635257866072851,-1.54373526805077e-05,0.000541900601871928,FALSE,TRUE
"aa_intelligence_index","car_1","none","real_downstream",FALSE,1372,47,-8.83262505344315e-05,0.000168678722797461,0.603045515856171,-0.00042785890928479,0.000251206408215927,FALSE,FALSE
"aa_intelligence_index","car_1","none","real_downstream",TRUE,1372,47,0.000241370438188967,0.000200431345421023,0.234651057408874,-0.000162076934894509,0.000644817811272443,FALSE,FALSE
"aa_intelligence_index","car_1","none","competitor",FALSE,401,47,-0.00016717730385613,0.00017166027529472,0.335207514066316,-0.000512711516506169,0.00017835690879391,FALSE,FALSE
"aa_intelligence_index","car_1","none","competitor",TRUE,401,47,0.000114024053329886,0.000139192115422194,0.416905117560996,-0.000166155143207732,0.000394203249867505,FALSE,FALSE
"aa_intelligence_index","car_1","none","positive_rel",FALSE,1167,47,0.000247690997832147,0.000181633678529402,0.179303515166639,-0.000117918634295233,0.000613300629959527,FALSE,FALSE
"aa_intelligence_index","car_1","none","positive_rel",TRUE,1167,47,0.000393266270381479,0.000304344353121705,0.202750425131344,-0.000219347138573183,0.00100587967933614,FALSE,FALSE
"aa_intelligence_index","car_1","none","downstream_comp",FALSE,2909,47,-6.94891440887182e-05,0.000121028220098966,0.568659005768688,-0.000313106315670978,0.000174128027493542,FALSE,FALSE
"aa_intelligence_index","car_1","none","downstream_comp",TRUE,2909,47,0.000242572053233951,0.000131124405071818,0.0707522714354375,-2.13676846460393e-05,0.000506511791113942,FALSE,TRUE
"aa_intelligence_index","car_1","none","open_source",FALSE,925,11,-4.24520494676028e-05,0.000298105829362793,0.889587691535263,-0.000706673229874433,0.000621769130939227,FALSE,FALSE
"aa_intelligence_index","car_1","none","open_source",TRUE,925,11,-6.97142518830313e-06,0.000200540662889103,0.972952725944739,-0.000453803867574596,0.000439861017197989,FALSE,FALSE
"aa_intelligence_index","car_1","none","closed_source",FALSE,3010,36,1.4896759328602e-05,0.000149153912655038,0.921013393457263,-0.000287901781281949,0.000317695299939153,FALSE,FALSE
"aa_intelligence_index","car_1","none","closed_source",TRUE,3010,36,0.000500690891392047,0.000277353892732412,0.0796454244327349,-6.23674451751175e-05,0.00106374922795921,FALSE,TRUE
"aa_intelligence_index","car_1","none","us_creator",FALSE,1341,16,0.000832233389852038,0.000205823849360214,0.00106137506904995,0.000393530239667847,0.00127093654003623,TRUE,TRUE
"aa_intelligence_index","car_1","none","us_creator",TRUE,1341,16,0.00102058932423475,0.000326604650871104,0.00695501199322777,0.000324447989557831,0.00171673065891168,TRUE,TRUE
"aa_intelligence_index","car_1","none","non_us_creator",FALSE,2594,31,-0.000220765211551001,0.000134242690987658,0.110508259631464,-0.000494925361814853,5.33949387128502e-05,FALSE,FALSE
"aa_intelligence_index","car_1","none","non_us_creator",TRUE,2594,31,0.000133490027474726,0.000240790819539642,0.583427205500779,-0.000358270431001287,0.00062525048595074,FALSE,FALSE
"aa_intelligence_index","car_1","none","text_or_reason",FALSE,3935,47,4.01873009981031e-05,0.000124827126412889,0.748953910575133,-0.000211076672384161,0.000291451274380367,FALSE,FALSE
"aa_intelligence_index","car_1","none","text_or_reason",TRUE,3935,47,0.000413184030402285,0.000202153114028005,0.0467117625539267,6.2709168674574e-06,0.000820097143937113,TRUE,TRUE
"aa_intelligence_index","car_1","size","all",FALSE,3935,47,5.63272031293059e-05,0.000123099249510508,0.649411428086521,-0.00019145873444068,0.000304113140699292,FALSE,FALSE
"aa_intelligence_index","car_1","size","all",TRUE,3935,47,0.000407526899304719,0.000201567722640779,0.0490376492179215,1.79211751688319e-06,0.000813261681092555,TRUE,TRUE
"aa_intelligence_index","car_1","size","owner",FALSE,21,21,-0.00193665261610849,0.00078507755970813,0.0227883358987288,-0.00357429570892834,-0.000299009523288651,TRUE,TRUE
"aa_intelligence_index","car_1","size","owner",TRUE,21,21,-0.00197567094518111,0.000868665865530329,0.0341081692594506,-0.00378767618856494,-0.000163665701797275,TRUE,TRUE
"aa_intelligence_index","car_1","size","investor",FALSE,38,22,-0.000598079153582821,0.000582098251048442,0.315896670805167,-0.00180861873545493,0.000612460428289289,FALSE,FALSE
"aa_intelligence_index","car_1","size","investor",TRUE,38,22,0.00136183784119055,0.000618257950108236,0.0389230598155061,7.61000485325113e-05,0.0026475756338486,TRUE,TRUE
"aa_intelligence_index","car_1","size","cloud",FALSE,217,47,-0.000204755236538183,0.000235584500946817,0.389284564426578,-0.000678962241667662,0.000269451768591295,FALSE,FALSE
"aa_intelligence_index","car_1","size","cloud",TRUE,217,47,-1.4758163254367e-05,0.000184116159879536,0.936460264061561,-0.00038536477116583,0.000355848444657097,FALSE,FALSE
"aa_intelligence_index","car_1","size","business_upstream",FALSE,1144,47,0.000303586281714537,0.000180311781632909,0.09902010430279,-5.93625099676674e-05,0.000666535073396741,FALSE,TRUE
"aa_intelligence_index","car_1","size","business_upstream",TRUE,1144,47,0.00039554779202281,0.000307639474108663,0.204964980603371,-0.000223698351464405,0.00101479393551003,FALSE,FALSE
