"event_quarter","n_events","mean_aa_intelligence","sd_aa_intelligence","share_closed_source","share_open_source","share_tier1","share_tier2","share_china_model","share_us_listed_pub","n_unique_creators","n_firm_obs"
"2024Q2",2,9.7,1.13137084989848,0.5,0.5,0,1,0,1,2,172
"2024Q3",5,17.56,4.35120672917295,1,0,0.2,0.8,0,0.4,3,430
"2024Q4",9,20.0555555555556,9.52406309186252,0.888888888888889,0.111111111111111,0.444444444444444,0.444444444444444,0.111111111111111,0.444444444444444,5,774
"2025Q1",9,20.8,8.29743936404479,0.777777777777778,0.222222222222222,0.555555555555556,0.444444444444444,0.222222222222222,0.444444444444444,7,774
"2025Q2",8,31.275,11.4031010819739,0.875,0.125,0.375,0.5,0,0.5,3,688
"2025Q3",6,30.65,6.9902074361209,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0,4,516
"2025Q4",4,33.3,13.8609763965843,0.5,0.5,0.25,0.75,0,0,3,344
"2026Q1",4,53.775,2.16698715578411,1,0,0.5,0.5,0,0,2,344
