spec,cluster,n,events,firms,r2,note,term,beta,se,t,p,stars
event_level_all_firms_all,event_level_hc1,47,47,NA,0.4526139051973449,,intel_c,9.866903931870085e-4,6.204043030721927e-4,1.590399016094821,0.1198195334841101,
event_level_all_firms_closed,event_level_hc1,36,36,NA,0.4549921519090664,,intel_c,0.0017151967986573013,6.723142642538488e-4,2.5511831145823893,0.016485588752003625,*
event_level_related_firms_all,event_level_hc1,47,47,NA,0.3598802508918121,,intel_c,8.550507320964078e-4,5.431555380667727e-4,1.5742281394013742,0.12351312973398028,
event_level_related_firms_closed,event_level_hc1,36,36,NA,0.5142298462746309,,intel_c,0.0010277892390643363,4.764084706777997e-4,2.157369783123444,0.03970685984856623,*
