final_event_id,car20_mean,carpre_mean,ff3_car20_mean,intel_c,aa_intelligence_index,is_open_weight,release_year,true_model_creator,release_date,mean_size,mean_bm,mean_volatility,mean_momentum,n_firms
FMR-0001,-0.013631435256097562,0.0015799403456790103,-0.028075279134146345,-17.727513227513235,8.9,1,2024,Meta,2024-04-18,6.445224424048781,0.32841941848780487,0.4144977598005201,0.5982582963903467,82
FMR-0003,-0.002639264853658532,0.008199428172839508,0.005060762414634145,-16.127513227513237,10.5,0,2024,Google,2024-05-30,6.445224424048781,0.32841941848780487,0.40254752314134296,0.4872472504607729,82
FMR-0005,-0.0032506628333333334,-0.014032035931948718,-0.00876116546153846,-12.827513227513236,13.8,0,2024,Google,2024-08-08,6.536916412307693,0.33589951384615385,0.3937470547316394,0.37754005548427166,78
FMR-0006,-0.004710310073170729,0.02291526564197531,0.0027740901707317034,-12.727513227513237,13.9,0,2024,xAI,2024-08-13,6.445224424048781,0.32841941848780487,0.3851903524029989,0.27130518182369207,82
FMR-0008,0.015160257109756096,-0.0026808633703703693,0.012792722707317074,-2.927513227513238,23.7,0,2024,OpenAI,2024-09-12,6.445224424048781,0.32841941848780487,0.41820751421124885,0.2178467925039067,82
FMR-0009,0.014407776345679009,-0.0026808633703703693,0.012054519543209874,-6.2275132275132385,20.4,0,2024,OpenAI,2024-09-12,6.4478815157037035,0.3311406458765432,0.41882996735831873,0.22297850920148582,81
FMR-0010,0.0304356771025641,0.00673916794871795,0.0320529492051282,-10.627513227513237,16,0,2024,Google,2024-09-24,6.536916412307693,0.33589951384615385,0.4066560845003849,0.3660823405630393,78
FMR-0011,0.024631707192307697,4.5000535897435855e-4,0.03768396628205128,-10.627513227513237,16,0,2024,Google,2024-10-03,6.536916412307693,0.33589951384615385,0.4127189576553757,0.2526770588887789,78
FMR-0012,0.024631707192307697,4.5000535897435855e-4,0.03768396628205128,-15.527513227513237,11.1,0,2024,Google,2024-10-03,6.536916412307693,0.33589951384615385,0.4127189576553757,0.2526770588887789,78
FMR-0013,0.036678406346153845,-0.0068947200641025636,0.027864723653846155,-7.927513227513238,18.7,0,2024,Anthropic,2024-10-22,6.536916412307693,0.33589951384615385,0.4038020582873266,0.407354587425458,78
FMR-0014,0.04522090644871794,0.008682753141025642,0.042842234474358976,-13.727513227513237,12.9,1,2024,Alibaba,2024-11-12,6.536916412307693,0.33589951384615385,0.3988222439907768,0.45874622980649504,78
FMR-0015,0.02869056419512196,0.0027196022345678996,0.014214365641463412,-12.127513227513237,14.5,0,2024,Meta,2024-12-06,6.445224424048781,0.32841941848780487,0.4169014545299081,0.4537782395168785,82
