final_event_id,car20_mean,carpre_mean,ff3_car20_mean,intel_c,aa_intelligence_index,is_open_weight,release_year,true_model_creator,release_date,mean_size,mean_bm,mean_volatility,mean_momentum,n_firms
FMR-0001,-0.015928189048192768,1.690556585365836e-4,-0.03040036544578313,-17.727513227513235,8.9,1,2024,Meta,2024-04-18,6.415161479180723,0.3254487859638554,0.4206812422141185,0.5913490806317853,83
FMR-0003,-0.006103824325301211,0.007037996182926831,0.0015387285421686677,-16.127513227513237,10.5,0,2024,Google,2024-05-30,6.415161479180723,0.3254487859638554,0.4083343557140758,0.4773956596961852,83
FMR-0005,-0.0025245837721518945,-0.013897944059392405,-0.007746097569620254,-12.827513227513236,13.8,0,2024,Google,2024-08-08,6.504170634936709,0.33268378479746835,0.4012853230350963,0.36572871863004036,79
FMR-0006,-0.003968933024096386,0.02279420202439025,0.004675459313253014,-12.727513227513237,13.9,0,2024,xAI,2024-08-13,6.415161479180723,0.3254487859638554,0.3925633974015347,0.2615820557053343,83
FMR-0008,0.015052041650602409,-0.0029372608780487823,0.012561012867469879,-2.927513227513238,23.7,0,2024,OpenAI,2024-09-12,6.415161479180723,0.3254487859638554,0.423701701891606,0.20899723275084758,83
FMR-0009,0.014307417780487807,-0.0029372608780487823,0.011828986451219511,-6.2275132275132385,20.4,0,2024,OpenAI,2024-09-12,6.4174195460000005,0.32810060042682926,0.42438356643542324,0.21395844607707745,82
FMR-0010,0.03151730048101266,0.006537488962025318,0.03304645875949368,-10.627513227513237,16,0,2024,Google,2024-09-24,6.504170634936709,0.33268378479746835,0.4125733234947794,0.3560686400495831,79
FMR-0011,0.02914336346835443,-5.304718354430361e-4,0.04315275365822784,-10.627513227513237,16,0,2024,Google,2024-10-03,6.504170634936709,0.33268378479746835,0.41881640833658235,0.24352180200411083,79
FMR-0012,0.02914336346835443,-5.304718354430361e-4,0.04315275365822784,-15.527513227513237,11.1,0,2024,Google,2024-10-03,6.504170634936709,0.33268378479746835,0.41881640833658235,0.24352180200411083,79
FMR-0013,0.04603673410126582,-0.003255800316455696,0.03617502718987342,-7.927513227513238,18.7,0,2024,Anthropic,2024-10-22,6.504170634936709,0.33268378479746835,0.4099176152407384,0.39759520829349015,79
FMR-0014,0.07121155268354432,0.010162274493670888,0.06811869746835443,-13.727513227513237,12.9,1,2024,Alibaba,2024-11-12,6.504170634936709,0.33268378479746835,0.4050422911088084,0.44937918892286843,79
FMR-0015,0.04734150215662652,-0.0010631738048780496,0.031643025621686756,-12.127513227513237,14.5,0,2024,Meta,2024-12-06,6.415161479180723,0.3254487859638554,0.4254945160577254,0.452327096068884,83
FMR-0017,0.026039679189873422,0.022045364658227852,0.01593814026582278,-14.327513227513236,12.3,0,2024,Google,2024-12-11,6.504170634936709,0.33268378479746835,0.4168051504033176,0.5627089439966231,79
FMR-0018,0.01502396375949367,-0.01205876064556962,0.006386949936708862,4.172486772486764,30.8,0,2024,OpenAI,2024-12-17,6.504170634936709,0.33268378479746835,0.43509280887809915,0.49196999837042293,79
FMR-0019,0.01502396375949367,-0.01205876064556962,0.006386949936708862,-0.8275132275132364,25.8,0,2024,OpenAI,2024-12-17,6.504170634936709,0.33268378479746835,0.43509280887809915,0.49196999837042293,79
FMR-0020,0.0071163803132530115,0.01925671904878049,0.001977653397590359,11.772486772486761,38.4,0,2024,OpenAI,2024-12-20,6.415161479180723,0.3254487859638554,0.4572147682683646,0.46582749738713325,83
FMR-0021,-0.025806988113924047,-0.010399285734177213,-0.0025545746202531717,-7.827513227513236,18.8,1,2025,DeepSeek,2025-01-22,6.649017647455697,0.3014265368607595,0.45976775207964954,0.7824638673979278,79
FMR-0022,-0.03695916334177216,0.004214394684810127,-0.01744594282278481,-10.327513227513236,16.3,1,2025,Alibaba,2025-01-28,6.649017647455697,0.3014265368607595,0.44618229503938706,0.7638594777842916,79
