model,term,coef,std_err,p_value,nobs,r2,formula
M2_features_industry_car1,is_coding_model,0.0061423461671192905,0.0035975835439892596,0.10066301789176633,2064,0.02957402207705273,car_1 ~ is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11 + C(industry)
M2_features_industry_car1,is_media_generation_model,-0.0006660012663356519,0.004508383171176492,0.8837938146989677,2064,0.02957402207705273,car_1 ~ is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11 + C(industry)
M2_features_industry_car1,size_log_assets,-0.0007448856385940384,0.0008126815736760833,0.36848303563724827,2064,0.02957402207705273,car_1 ~ is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11 + C(industry)
M2_features_industry_car1,bm_ratio,8.803197356708974e-05,0.0012430110342711836,0.9441266254763425,2064,0.02957402207705273,car_1 ~ is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11 + C(industry)
M2_features_industry_car1,volatility,-0.00745576906862846,0.01039331031678599,0.48007499146614707,2064,0.02957402207705273,car_1 ~ is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11 + C(industry)
M2_features_industry_car1,momentum,-0.002203347223345182,0.0018784751401462955,0.2523286292705475,2064,0.02957402207705273,car_1 ~ is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11 + C(industry)
M2_features_industry_car1,trend_month_since_2022_11,0.000610271841418805,0.0002847234931438171,0.042425496855039824,2064,0.02957402207705273,car_1 ~ is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11 + C(industry)
M3_media_sentiment_car1,Intercept,-0.004969104892907465,0.011088432758568956,0.6588732704305419,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,media_sent_3_mean,-0.030717796998239788,0.009460279449030013,0.004038020389945308,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,media_sent_3_sd,-0.007017283615913689,0.016058406846604995,0.666803954162114,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,is_open_weight_or_open_source,-0.014906721337243222,0.005472177543482252,0.013069478189047199,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,is_chinese_model,0.0004887789453933823,0.004771869572711169,0.9194360256438245,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,is_model_family,-0.001594429677093803,0.0027565030899390688,0.5694342784476897,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,is_reasoning_model,-0.00019698703406707363,0.0032745371338495258,0.9526274895177727,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,is_coding_model,0.002877358142435089,0.002528534885971567,0.26858845803634734,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,is_media_generation_model,-0.010926822179630029,0.00425531119049008,0.01835943837638248,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,size_log_assets,-0.000774970805176118,0.000843262932151248,0.3690395675288843,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,bm_ratio,-0.0015564914149099557,0.0011774459841951811,0.20111554058132494,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,volatility,0.003924612304460506,0.00932052817178824,0.6781930860266593,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,momentum,-0.004750515228154724,0.0016532211143308515,0.009393115426982663,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M3_media_sentiment_car1,trend_month_since_2022_11,0.0008539253433327356,0.0002878588397502001,0.007629808985709524,1733,0.04923616290263355,car_1 ~ media_sent_3_mean + media_sent_3_sd + is_open_weight_or_open_source + is_chinese_model + is_model_family + is_reasoning_model + is_coding_model + is_media_generation_model + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,Intercept,-0.008775229044565099,0.011422180536970854,0.4560613161180477,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,aa_intelligence_index,4.199151035020585e-05,0.0007678530937475945,0.957219414483681,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,aa_coding_index,-0.00010372546978329624,0.0007897779177646157,0.897521091910448,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,price_1m_blended_3_to_1,0.0005516435767962416,0.00034172892714924965,0.13046756443695487,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,median_output_tokens_per_second,1.4137429630913674e-05,4.878724031875269e-05,0.7765569487957672,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,size_log_assets,-0.001398420564792958,0.0008104631197070764,0.10811969981456182,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,bm_ratio,-0.0016218279952597682,0.0013349805061559604,0.2460210795561052,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,volatility,-0.012026627255946979,0.01220943628410176,0.3425895251609567,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,momentum,-0.0010693483385139408,0.002171732739979756,0.6306518065487279,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M4_llm_capability_car1,trend_month_since_2022_11,0.0008424580671453769,0.0006071557011529675,0.18860055815486643,1154,0.02232381574661546,car_1 ~ aa_intelligence_index + aa_coding_index + price_1m_blended_3_to_1 + median_output_tokens_per_second + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M5_media_capability_car1,Intercept,-0.04587938242955057,0.03580021414745881,0.2562150803894126,496,0.059010913473991344,car_1 ~ aa_media_elo + aa_media_rank + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M5_media_capability_car1,aa_media_elo,5.181554603678741e-05,3.132635883516313e-05,0.15902217969139248,496,0.059010913473991344,car_1 ~ aa_media_elo + aa_media_rank + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M5_media_capability_car1,aa_media_rank,-6.0743036294782024e-05,0.00012406866370415773,0.6451449753338442,496,0.059010913473991344,car_1 ~ aa_media_elo + aa_media_rank + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M5_media_capability_car1,size_log_assets,-0.0005224891416700764,0.0013401945735568898,0.7126933353249134,496,0.059010913473991344,car_1 ~ aa_media_elo + aa_media_rank + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M5_media_capability_car1,bm_ratio,0.0009188076327596815,0.0020618781076652444,0.6745065815098475,496,0.059010913473991344,car_1 ~ aa_media_elo + aa_media_rank + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M5_media_capability_car1,volatility,-0.010871835092616605,0.014568380747475195,0.4890882495223079,496,0.059010913473991344,car_1 ~ aa_media_elo + aa_media_rank + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M5_media_capability_car1,momentum,-0.004628115346190681,0.0013293336969533761,0.01762978639770322,496,0.059010913473991344,car_1 ~ aa_media_elo + aa_media_rank + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
M5_media_capability_car1,trend_month_since_2022_11,-4.066674769773854e-07,0.0004790275646461306,0.9993554706078082,496,0.059010913473991344,car_1 ~ aa_media_elo + aa_media_rank + size_log_assets + bm_ratio + volatility + momentum + trend_month_since_2022_11
