"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","dropped_obs","cook_cutoff"
"full sample","mkt_car_20","baseline","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,159,0.00106326422115896
"full sample","mkt_car_20","drop CookD > 4/N","z_intelligence",0.0145471347543156,0.00409479397881231,0.000894272729981443,0.00630474197588255,0.0227895275327487,3603,47,0.327777978151068,159,0.00106326422115896
"closed source sample","mkt_car_20","baseline","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,119,0.0013869625520111
"closed source sample","mkt_car_20","drop CookD > 4/N","z_intelligence",0.0175584504058207,0.00428836940304997,0.000237356606895407,0.00885259768142278,0.0262643031302187,2765,36,0.370919552883075,119,0.0013869625520111
