"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","z_intelligence:is_open_weight_or_open_source",0.000185927388708778,0.00586939934119966,0.974866356200033,-0.0116285607134926,0.0120004154909102,3745,47,0.0208496340812094
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","broad_downstream:is_open_weight_or_open_source",0.00832402416327011,0.0047973940608527,0.0894168056842546,-0.00133262922810248,0.0179806775546427,3745,47,0.0208496340812094
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","z_intelligence:broad_downstream:is_open_weight_or_open_source",-0.00307967472462519,0.00903895683003829,0.734872152940784,-0.021274151146632,0.0151148016973816,3745,47,0.0208496340812094
"AA intelligence","mkt_car_5","all event-firm panel","z_intelligence",0.00380537496838445,0.00350866445795187,0.283766035879106,-0.00325720027711189,0.0108679502138808,3760,47,0.163641462775712
"AA coding","mkt_car_5","all event-firm panel","z_coding",0.00112648094642327,0.00260049322312236,0.667620033204919,-0.00415835712778509,0.00641131902063163,2799,35,0.207574710422066
"AA math","mkt_car_5","all event-firm panel","z_math",-0.00165023274544324,0.00362854658892714,0.653715090852757,-0.00917537779185426,0.00587491230096779,1849,23,0.310785557861927
"MMLU-Pro","mkt_car_5","all event-firm panel","z_mmlu",0.00588650752224315,0.0022408773348431,0.0123560336148683,0.00135008852354418,0.0104229265209421,3135,39,0.194558787590285
"GPQA","mkt_car_5","all event-firm panel","z_gpqa",0.0059670405269819,0.00291604732637905,0.0468745445329617,8.62706312941101e-05,0.0118478104226697,3520,44,0.19023641537617
"HLE","mkt_car_5","all event-firm panel","z_hle",0.00220750336693466,0.00398614548830592,0.582588383385618,-0.00583132514431907,0.0102463318781884,3520,44,0.187361515184769
"LiveCodeBench","mkt_car_5","all event-firm panel","z_livecode",0.00387527688890783,0.00337602039164734,0.258009448414851,-0.0029533689031362,0.0107039226809519,3214,40,0.196697000538138
"Lower blended price","mkt_car_5","all event-firm panel","z_low_price",-0.00371860881569819,0.00190391523095562,0.0569020671949236,-0.00755099140480442,0.000113773773408046,3760,47,0.164421237292467
"Output speed","mkt_car_5","all event-firm panel","z_speed",-0.000551144850225933,0.00293628642126293,0.851936323672844,-0.00646158286475296,0.00535929316430109,3760,47,0.162734806958821
"Lower TTFT","mkt_car_5","all event-firm panel","z_low_ttft",-0.00442621145761103,0.00301322694273777,0.148658523039713,-0.0104915227091933,0.00163909979397127,3760,47,0.164159834761191
"Price efficiency","mkt_car_5","all event-firm panel","z_price_efficiency",-0.00487720180594711,0.00131102108384203,0.000789893902596332,-0.00755104693495212,-0.0022033566769421,2554,32,0.180991395097625
"Speed-adjusted capability","mkt_car_5","all event-firm panel","z_speed_adjusted_capability",-0.000278833354078555,0.00312445235267078,0.929276764856346,-0.00656802974380302,0.00601036303564591,3760,47,0.162709883703311
"Intelligence x lower price","mkt_car_5","all event-firm panel","z_intelligence",0.000938008614899724,0.00365840428932025,0.798786557282122,-0.00642597727814098,0.00830199450794042,3760,47,0.164856634576004
"Intelligence x lower price","mkt_car_5","all event-firm panel","z_low_price",-0.00289846400875859,0.00199001108841815,0.152045007560894,-0.00690414857043636,0.00110722055291917,3760,47,0.164856634576004
"Intelligence x lower price","mkt_car_5","all event-firm panel","z_intelligence:z_low_price",0.00337641572416195,0.0035889832650605,0.351735965429941,-0.00384783289467381,0.0106006643429977,3760,47,0.164856634576004
"Intelligence x speed","mkt_car_5","all event-firm panel","z_intelligence",0.00419826352433378,0.00307627371695962,0.178978751644427,-0.00199395430160576,0.0103904813502733,3760,47,0.164976671730019
"Intelligence x speed","mkt_car_5","all event-firm panel","z_speed",-0.00157378886837572,0.00265444701251609,0.556160095227889,-0.00691691357743419,0.00376933584068275,3760,47,0.164976671730019
