"spec","term","coef","se","p","n","events","q_bh","metric","q_by_family"
"price_car_0_1","rel_upstream_hardware",0.00199512932151429,0.00201562840120277,0.324232071409886,12112,124,NA,NA,0.567406124967301
"price_car_0_1","rel_upstream_cloud",-0.00259893040811569,0.0025602910017096,0.312240813793679,12112,124,NA,NA,0.567406124967301
"price_car_0_1","rel_downstream_integrator",0.000303075431384901,0.00155159367560332,0.845457247036613,12112,124,NA,NA,0.845457247036613
"price_car_0_1","rel_downstream_deployer",-0.000249995707114674,0.000749169949958024,0.739180670951824,12112,124,NA,NA,0.845457247036613
"price_car_0_1","rel_competitor",0.00305645017444793,0.00217458768696152,0.162524271650636,12112,124,NA,NA,0.567406124967301
"price_car_0_1","rel_is_investor",-0.00170206556257402,0.00392476107394388,0.666583535264754,12112,124,NA,NA,0.845457247036613
"price_car_0_1","rel_is_owner",0.00869089456827872,0.0063645013596363,0.180000894571985,12112,124,NA,NA,0.567406124967301
"price_increment_2_20","rel_upstream_hardware",0.0145820010357957,0.00631732017271889,0.0226821502962224,12112,124,NA,NA,0.143575524611175
"price_increment_2_20","rel_upstream_cloud",0.00154294656895509,0.00799846830553501,0.847381086095091,12112,124,NA,NA,0.847381086095091
"price_increment_2_20","rel_downstream_integrator",-0.0053879564652813,0.00471835650724679,0.255719394436917,12112,124,NA,NA,0.543104936293825
"price_increment_2_20","rel_downstream_deployer",-0.00045409047645994,0.00233383310825495,0.846054106475593,12112,124,NA,NA,0.847381086095091
"price_increment_2_20","rel_competitor",0.0130115138446009,0.00629716935945755,0.0410215784603357,12112,124,NA,NA,0.143575524611175
"price_increment_2_20","rel_is_investor",0.0106708256271832,0.0104005670873493,0.310345677882186,12112,124,NA,NA,0.543104936293825
"price_increment_2_20","rel_is_owner",0.00650595691173081,0.0117424678835379,0.58274121107507,12112,124,NA,NA,0.815837695505098
"volume_0_1","rel_upstream_hardware",0.120459829574137,0.0341113622662818,0.000586211265921494,12072,124,NA,NA,0.00205173943072523
"volume_0_1","rel_upstream_cloud",0.292211992504535,0.0523047759903772,1.63251080009358e-07,12072,124,NA,NA,1.1427575600655e-06
"volume_0_1","rel_downstream_integrator",0.0459342410526497,0.0340905438331937,0.18033735854594,12072,124,NA,NA,0.311215957242583
"volume_0_1","rel_downstream_deployer",0.00623581343836641,0.0188710210983642,0.741630995936813,12072,124,NA,NA,0.741630995936813
"volume_0_1","rel_competitor",-0.0171784010553896,0.0427481290387485,0.688529917160123,12072,124,NA,NA,0.741630995936813
"volume_0_1","rel_is_investor",-0.134583951772021,0.108750613285501,0.222297112316131,12072,124,NA,NA,0.311215957242583
"volume_0_1","rel_is_owner",0.386145498876146,0.173834095485233,0.0323038185231811,12072,124,NA,NA,0.0753755765540892
"volume_pre_m10_m2","rel_upstream_hardware",0.032555276543261,0.026350123469821,0.219046607843073,12072,124,NA,NA,0.306665250980302
"volume_pre_m10_m2","rel_upstream_cloud",0.203493409898162,0.0410273788773126,2.52024280547006e-06,12072,124,NA,NA,1.76416996382904e-05
"volume_pre_m10_m2","rel_downstream_integrator",0.0177871969543972,0.0280543842126473,0.527248691757066,12072,124,NA,NA,0.527248691757066
"volume_pre_m10_m2","rel_downstream_deployer",-0.0192406767820357,0.0151345692813939,0.206036422766467,12072,124,NA,NA,0.306665250980302
"volume_pre_m10_m2","rel_competitor",-0.0367456155407326,0.0294839609409908,0.215158802317944,12072,124,NA,NA,0.306665250980302
"volume_pre_m10_m2","rel_is_investor",-0.168337082755462,0.0727406729047829,0.0252740953550811,12072,124,NA,NA,0.088459333742784
"volume_pre_m10_m2","rel_is_owner",-0.0803818842824575,0.0992381828443398,0.422943431644722,12072,124,NA,NA,0.493434003585509
"hardware_sox_vs_nonsox","hardware_sox",0.0122028378514801,0.00646613102876426,0.0615361976707884,12112,124,NA,NA,0.0615361976707884
"hardware_sox_vs_nonsox","hardware_nonsox",0.0274917695208073,0.00939381167001522,0.00409424778884657,12112,124,NA,NA,0.00818849557769314
"moderator_is_open_weight_or_open_source","rel_upstream_hardware:is_open_weight_or_open_source",0.00164976652637867,0.0129305426804603,0.898739021612866,12112,124,0.898739021612866,NA,0.898739021612866
"moderator_is_open_weight_or_open_source","rel_competitor:is_open_weight_or_open_source",0.0114065400616418,0.0093269277354122,0.22431144204359,12112,124,0.72426985441934,NA,0.672934326130771
"moderator_is_open_weight_or_open_source","rel_downstream_deployer:is_open_weight_or_open_source",-0.00285320863121874,0.00390951913988821,0.467253514804181,12112,124,0.765888102363005,NA,0.700880272206271
"moderator_is_reasoning_model","rel_upstream_hardware:is_reasoning_model",0.0323157383710938,0.0122096752341008,0.009755950619339,12112,124,0.234142814864136,NA,0.029267851858017
"moderator_is_reasoning_model","rel_competitor:is_reasoning_model",0.0133882938982252,0.00987125611925138,0.17883291643369,12112,124,0.72426985441934,NA,0.205092337593751
"moderator_is_reasoning_model","rel_downstream_deployer:is_reasoning_model",0.00542502708898163,0.0042464803240898,0.205092337593751,12112,124,0.72426985441934,NA,0.205092337593751
"moderator_is_coding_model","rel_upstream_hardware:is_coding_model",-0.0340960610261717,0.0521180227705014,0.556709872245377,12112,124,0.765888102363005,NA,0.574416076772254
"moderator_is_coding_model","rel_competitor:is_coding_model",-0.0226387245139244,0.0362938477581013,0.574416076772254,12112,124,0.765888102363005,NA,0.574416076772254
"moderator_is_coding_model","rel_downstream_deployer:is_coding_model",-0.00650102547611879,0.00819974626386008,0.482358281314145,12112,124,0.765888102363005,NA,0.574416076772254
"moderator_is_media_generation_model","rel_upstream_hardware:is_media_generation_model",-0.00605926792044868,0.0130206867798274,0.642975885370243,12112,124,0.779280680489984,NA,0.642975885370243
"moderator_is_media_generation_model","rel_competitor:is_media_generation_model",-0.012720451705823,0.00865068140248538,0.145364064689034,12112,124,0.72426985441934,NA,0.436092194067102
"moderator_is_media_generation_model","rel_downstream_deployer:is_media_generation_model",-0.00258720174700768,0.00387833014938392,0.506694638241501,12112,124,0.765888102363005,NA,0.642975885370243
"moderator_is_multimodal","rel_upstream_hardware:is_multimodal",0.0131058555027641,0.0122449405880422,0.286865797915369,12112,124,0.72426985441934,NA,0.430298696873053
"moderator_is_multimodal","rel_competitor:is_multimodal",0.0028801662034435,0.00851351239107796,0.735817958925816,12112,124,0.802710500646345,NA,0.735817958925816
"moderator_is_multimodal","rel_downstream_deployer:is_multimodal",0.00628024538548707,0.00392514229637084,0.112520694750982,12112,124,0.72426985441934,NA,0.337562084252946
"moderator_is_model_family","rel_upstream_hardware:is_model_family",-0.0140925370019607,0.0134953533418541,0.301779106008058,12112,124,0.72426985441934,NA,0.452668659012087
"moderator_is_model_family","rel_competitor:is_model_family",-0.00379551132782444,0.0102590394026757,0.713114800702796,12112,124,0.802710500646345,NA,0.713114800702796
"moderator_is_model_family","rel_downstream_deployer:is_model_family",0.0051417748353682,0.00450828254907052,0.25989781660671,12112,124,0.72426985441934,NA,0.452668659012087
"moderator_is_chinese_model","rel_upstream_hardware:is_chinese_model",0.0067809818030688,0.0147974302704408,0.649400567074987,12112,124,0.779280680489984,NA,0.649400567074987
"moderator_is_chinese_model","rel_competitor:is_chinese_model",0.00706417893237171,0.0114973769564736,0.542555811584893,12112,124,0.765888102363005,NA,0.649400567074987
"moderator_is_chinese_model","rel_downstream_deployer:is_chinese_model",-0.00355693252548439,0.00482468365944945,0.465590522352415,12112,124,0.765888102363005,NA,0.649400567074987
"moderator_is_cross_modality_release","rel_upstream_hardware:is_cross_modality_release",0.0467294123117129,0.0314030818794845,0.227302452897292,12112,124,0.72426985441934,NA,0.64176088536297
"moderator_is_cross_modality_release","rel_competitor:is_cross_modality_release",0.00890367412511292,0.0294983366436805,0.781539924515698,12112,124,0.815519921233772,NA,0.781539924515698
"moderator_is_cross_modality_release","rel_downstream_deployer:is_cross_modality_release",0.0097497594013678,0.0107630331748913,0.42784059024198,12112,124,0.765888102363005,NA,0.64176088536297
"metric_aa_intelligence_index","rel_upstream_hardware:z_aa_intelligence_index",0.012821514990607,0.00778928208095867,0.108224569941152,8562,124,0.510201544008289,"aa_intelligence_index",0.324673709823457
"metric_aa_intelligence_index","rel_downstream_deployer:z_aa_intelligence_index",0.000780413607411544,0.00222558222035218,0.727905900243485,8562,124,0.88966276696426,"aa_intelligence_index",0.727905900243485
"metric_aa_intelligence_index","rel_competitor:z_aa_intelligence_index",-0.00347455164974559,0.00571984169454519,0.547537180092661,8562,124,0.860415568717039,"aa_intelligence_index",0.727905900243485
"metric_price_1m_blended_3_to_1","rel_upstream_hardware:z_price_1m_blended_3_to_1",-0.00302970872959453,0.00659177561437896,0.658239634560383,8562,124,0.878884784003929,"price_1m_blended_3_to_1",0.808600851176561
"metric_price_1m_blended_3_to_1","rel_downstream_deployer:z_price_1m_blended_3_to_1",-0.00067333810616581,0.00268705736283138,0.808600851176561,8562,124,0.908052929438707,"price_1m_blended_3_to_1",0.808600851176561
"metric_price_1m_blended_3_to_1","rel_competitor:z_price_1m_blended_3_to_1",0.00575214643419615,0.00485203262516973,0.271353743146855,8562,124,0.649418537074606,"price_1m_blended_3_to_1",0.808600851176561
