event_id,official_date,event_trading_date,ticker,company,is_main_ndxt,is_sox_robustness,price_first_date,price_last_date,has_required_boundary_dates,missing_required_boundary_dates,can_estimate_full_200_day_window,can_compute_event_window_20,car_ready_max_window
AIT-2022-04-002,2022-04-06,2022-04-06,ADBE,Adobe Inc.,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,AMD,Advanced Micro Devices,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,GOOGL,Alphabet Inc. (Class A),True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,GOOG,Alphabet Inc. (Class C),True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,ADI,Analog Devices,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,AAPL,Apple Inc.,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,AMAT,Applied Materials,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,APP,AppLovin,True,False,2021-04-15,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,ARM,Arm Holdings,True,False,2023-09-14,2026-04-30,False,2021-06-21;2021-06-22;2022-03-23;2022-03-23;2022-04-04;2022-04-06;2022-05-05,False,False,False
AIT-2022-04-002,2022-04-06,2022-04-06,ASML,ASML Holding,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,ADSK,Autodesk,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,AVGO,Broadcom,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,CDNS,Cadence Design Systems,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,CTSH,Cognizant Technology Solutions Corporation,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,CRWD,CrowdStrike,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,DDOG,Datadog,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,DASH,DoorDash,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,FTNT,Fortinet,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,INTC,Intel,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,INTU,Intuit,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,KLAC,KLA Corporation,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,LRCX,Lam Research,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,MRVL,Marvell Technology,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,META,Meta Platforms,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,MCHP,Microchip Technology,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,MU,Micron Technology,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,MSFT,Microsoft,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,MPWR,Monolithic Power Systems,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,NVDA,Nvidia,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,NXPI,NXP Semiconductors,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,PLTR,Palantir Technologies,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,PANW,Palo Alto Networks,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,PDD,PDD Holdings,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,QCOM,Qualcomm,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,ROP,Roper Technologies,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,SNDK,Sandisk,True,False,2025-02-13,2026-04-30,False,2021-06-21;2021-06-22;2022-03-23;2022-03-23;2022-04-04;2022-04-06;2022-05-05,False,False,False
AIT-2022-04-002,2022-04-06,2022-04-06,STX,Seagate Technology,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,SHOP,Shopify,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,MSTR,MicroStrategy,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,SNPS,Synopsys,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,TXN,Texas Instruments,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,TRI,Thomson Reuters,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,WDC,Western Digital,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,WDAY,"Workday, Inc.",True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-04-002,2022-04-06,2022-04-06,ZS,"Zscaler, Inc.",True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-10-001,2022-10-20,2022-10-20,ADBE,Adobe Inc.,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-10-001,2022-10-20,2022-10-20,AMD,Advanced Micro Devices,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-10-001,2022-10-20,2022-10-20,GOOGL,Alphabet Inc. (Class A),True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-10-001,2022-10-20,2022-10-20,GOOG,Alphabet Inc. (Class C),True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-10-001,2022-10-20,2022-10-20,ADI,Analog Devices,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2022-10-001,2022-10-20,2022-10-20,AAPL,Apple Inc.,True,False,2021-01-04,2026-04-30,True,,True,True,True
