symbol,ok,rows,first_date,last_date,source,message
SNPS,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
STX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
TER,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
TMUS,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
TRI,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
TSLA,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
TSM,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
TTWO,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
TXN,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
UMC,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
VRTX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
WBD,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
WDAY,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
WDC,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
WMT,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
XEL,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
SPY,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
QQQ,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
SOXX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
^NDX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
^IXIC,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
^GSPC,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
^SOX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
