"x_var","n","n_events","estimate","std.error","p.value","conf.low","conf.high"
"real_upstream",4829,60,0.0416267587611487,0.0127361422808425,0.00180642125296247,0.0161417969225084,0.067111720599789
"business_upstream",4829,60,0.0369078549676867,0.0113873172146937,0.00195925164103162,0.0141218858522597,0.0596938240831138
"owner",4829,60,0.0190530988007675,0.0214433993310385,0.377864100182522,-0.0238550441511416,0.0619612417526766
"cloud",4829,60,0.00585599015171604,0.0205414055838368,0.776579486962594,-0.0352472674809779,0.04695924778441
"competitor",4829,60,-0.00268778757932232,0.00712433965547148,0.707327890288432,-0.0169435583018517,0.0115679831432071
"investor",4829,60,-0.00291020201245265,0.0216682866205551,0.893616949883966,-0.0462683433912752,0.0404479393663699
"business_downstream",4829,60,-0.00936034374367619,0.00653351942217082,0.157231094457613,-0.0224338859100899,0.00371319842273754
"real_downstream",4829,60,-0.0131616648850861,0.017027295735326,0.442623294784885,-0.0472332049528155,0.0209098751826432
