"group","outcome","coef","se","p_value","stars","n","n_events"
"high_news","car_1",2e-06,0.000175,0.9904,"",1844,23
"low_news","car_1",0.000577,0.000197,0.007623,"***",1919,24
"high_news","car_20",0.00125,0.000672,0.07622,"*",1857,23
"low_news","car_20",0.001425,0.00122,0.2547,"",1923,24
