"group","outcome","coef","se","p_value","stars","n","n_events"
"high_news","car_1",-4.6e-05,0.000161,0.7766,"",1177,23
"low_news","car_1",0.000266,0.000134,0.05856,"*",1235,24
"high_news","car_20",0.000611,0.00077,0.436,"",1182,23
"low_news","car_20",0.001461,0.001042,0.1742,"",1236,24
