"term","family","n_specs","median_coef","positive_share","p05_share","q10_family_share","event_p05_share","year_p05_share","sector_p05_share","creator_p05_share","min_p","min_q_family","min_q_family_term","min_q_global","median_n","median_events","min_treated","min_treated_events","min_treated_tickers","best_sample","best_outcome","best_benchmark","best_window","best_fe","best_control_variant","best_coef","best_se","best_p","best_q_family","best_q_family_term","best_n","best_events","best_treated","best_treated_events","best_treated_tickers","best_rhs","placebo_min_p","placebo_p05_share","risk_flag"
"rel_upstream_hardware","pre_placebo",32,0.00106399498118636,0.71875,0.25,0.25,0.25,0.25,NA,NA,0.00038976544589818,0.020787490447903,0.0111286385817515,0.0154062883290223,10531,107,1527,68,23,"late_2025_2026","car_mm_soxx_pre_m10_m2","car_mm_soxx","pre_m10_m2","year","pre_year",0.0174607587719686,0.00467472826773173,0.00038976544589818,0.020787490447903,0.0111286385817515,6765,68,1527,68,23,"rel_upstream_hardware + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",0.00038976544589818,0.25,"pre_window_signal"
"rel_competitor","joint_extended",364,0.0144689401407917,0.967032967032967,0.357142857142857,0.0164835164835165,0.318681318681319,0.340659340659341,0.461538461538462,0.307692307692308,0.000499505819342282,0.0259326771208535,0.0909573818944802,0.0184144418046419,7497,77,152,25,7,"post_2024","car_mm_spy_0_20","car_mm_spy","0_20","year_sector","year_sector",0.0299749958275418,0.00835271723148279,0.000499505819342282,0.0259326771208535,0.0909573818944802,10853,110,665,110,7,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year) + factor(gics_sector)",0.000576434883590255,0.6875,"pre_window_signal"
"downstream_any:intel_c","ability_interaction",25,-0.000641684318763821,0,0.32,0.08,0.32,NA,NA,NA,0.000237965541811745,0.0267711234538213,0.00297456927264682,0.0110401894800712,4971,50,1477,37,40,"main","car_mm_spy_0_10","car_mm_spy","0_10","event","event_core_intel",-0.000813819517326252,0.000212161476264205,0.000237965541811745,0.0267711234538213,0.00297456927264682,8562,87,3474,87,40,"downstream_any*intel_c + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,"ability_level_not_news"
"rel_competitor","pre_placebo",32,0.00730387839314458,1,0.6875,0.375,0.6875,0.6875,NA,NA,0.000576434883590255,0.0270327587652427,0.00503154908882015,0.0200999539504131,10531,107,413,68,7,"post_2024","car_ff3_pre_m10_m2","car_ff3","pre_m10_m2","year","pre_year",0.0100425592307208,0.00283153399943856,0.000576434883590255,0.0270327587652427,0.00503154908882015,10853,110,665,110,7,"rel_competitor + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",0.000576434883590255,0.6875,"pre_window_signal"
"upstream_any","pre_placebo",32,0.00128348040498864,0.75,0.25,0.125,0.25,0.25,NA,NA,0.00136269055800713,0.0323456727138438,0.0372038884433824,0.0372072292259851,10531,107,1869,68,29,"late_2025_2026","car_mm_soxx_pre_m10_m2","car_mm_soxx","pre_m10_m2","year","pre_year",0.0139487378614105,0.00417347041005435,0.00136269055800713,0.0323456727138438,0.0372038884433824,6765,68,1869,68,29,"upstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",0.00136269055800713,0.25,"pre_window_signal"
"strategic_any","pre_placebo",32,0.00226552440156648,0.96875,0.25,0.15625,0.25,0.25,NA,NA,0.00140438491786897,0.0323456727138438,0.0338523353829288,0.0381472105170001,10531,107,2035,68,32,"late_2025_2026","car_mm_soxx_pre_m10_m2","car_mm_soxx","pre_m10_m2","year","pre_year",0.0144525712587156,0.0043369128985939,0.00140438491786897,0.0323456727138438,0.0338523353829288,6765,68,2035,68,32,"strategic_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",0.00140438491786897,0.25,"pre_window_signal"
"related_any","single_extended",364,0.00149227536219132,0.70054945054945,0.0521978021978022,0.043956043956044,0.0659340659340659,0.0659340659340659,0.010989010989011,0.0659340659340659,0.00211486231884674,0.0393408298481664,0.196046252559783,0.0522700395689684,7497,77,1674,25,66,"late_2025_2026","car_ff3_0_20","car_ff3","0_20","year","year_core",0.0128873544151473,0.00403003827639366,0.00211486231884674,0.0393408298481664,0.196046252559783,6765,68,4589,68,69,"related_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)",0.289547413476312,0,""
"strategic_any:post_2025","interaction_wide",30,0.0260175633093263,1,0.8,0.366666666666667,0.8,NA,NA,NA,0.000455681967810554,0.0404433165088512,0.00485906279256412,0.0175061819844132,10853,110,1490,50,32,"no_multi_component","car_ff3_0_20","car_ff3","0_20","event","event_core",0.0386472943769712,0.0107125178798973,0.000455681967810554,0.0404433165088512,0.00485906279256412,11511,118,1880,63,32,"strategic_any*post_2025 + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"rel_downstream_integrator:intel_high","interaction_wide",30,-0.0253112658094202,0,0.866666666666667,0.266666666666667,0.866666666666667,NA,NA,NA,0.000516497386529171,0.0404433165088512,0.010355802103547,0.0188504329503597,7961,110,528,34,16,"post_2024","car_mm_spy_0_15","car_mm_spy","0_15","event","event_core",-0.0377345567724518,0.0105436733814466,0.000516497386529171,0.0404433165088512,0.010355802103547,7893,110,688,44,17,"rel_downstream_integrator*intel_high + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"upstream_any:post_2025","interaction_wide",30,0.0271394671817025,1,0.766666666666667,0.3,0.766666666666667,NA,NA,NA,0.000702342089057845,0.0422943142499963,0.0072273463253599,0.0231624805213685,10853,110,1371,50,29,"post_2024","car_mm_qqq_0_20","car_mm_qqq","0_20","event","event_core",0.0424218875896377,0.0121613772492372,0.000702342089057845,0.0422943142499963,0.0072273463253599,10853,110,1869,68,29,"upstream_any*post_2025 + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
