"family","sample","outcome","fe","term","coef","se","p","n","n_events","n_tickers","n_treated","treated_events","treated_tickers","rhs","note","q_global","q_family","sig_p05","sig_q10_family","direction"
"single_or_bundle","main","car_mm_spy_0_20","event","downstream_any",-0.00888256101378328,0.00408724215878941,0.0316784817215555,12112,124,101,4920,124,40,"downstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.241118307076921,0.192280576648256,TRUE,FALSE,"negative"
"single_or_bundle","main","car_mm_spy_0_20","event","related_any",0.00248355336101602,0.00297563653068179,0.405544598267866,12112,124,101,8173,124,69,"related_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.756701291228671,0.689336292861494,FALSE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","event","platform_bigtech",0.00468268653515257,0.00511201412509428,0.361450961812458,12112,124,101,869,123,9,"platform_bigtech + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.726247169290218,0.652058178741595,FALSE,FALSE,"positive"
"joint_core","main","car_mm_spy_0_20","year","rel_upstream_hardware",0.016577130357312,0.006536889193242,0.0124673255452396,12112,124,101,2688,124,23,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.1754091474495,0.238526192839136,TRUE,FALSE,"positive"
"joint_core","main","car_mm_spy_0_20","year","rel_upstream_cloud",-0.00105598383916138,0.00785659217386218,0.893300143774494,12112,124,101,562,123,6,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.965403735251057,0.983945551071125,FALSE,FALSE,"negative"
"joint_core","main","car_mm_spy_0_20","year","rel_downstream_integrator",-0.00508488103389531,0.00492227152942967,0.303614195060751,12112,124,101,1971,124,16,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.690299026205461,0.790218573218253,FALSE,FALSE,"negative"
"joint_core","main","car_mm_spy_0_20","year","rel_downstream_deployer",-0.000704086183574728,0.00248039577887065,0.776994621385258,12112,124,101,2949,124,24,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.915139473790533,0.956208104045538,FALSE,FALSE,"negative"
"joint_core","main","car_mm_spy_0_20","year","rel_competitor",0.0160679640190485,0.00640779799265192,0.013459736985285,12112,124,101,746,123,7,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.1754091474495,0.238526192839136,TRUE,FALSE,"positive"
"joint_core","main","car_mm_spy_0_20","year","rel_is_investor",0.00896876006460933,0.0113947263787855,0.432738825499459,12112,124,101,89,45,5,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.778832531832547,0.834811120058011,FALSE,FALSE,"positive"
"joint_core","main","car_mm_spy_0_20","year","rel_is_owner",0.0151968514800082,0.0138079383838239,0.273225240763899,12112,124,101,53,32,5,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.661862808814896,0.781065329913184,FALSE,FALSE,"positive"
