variable,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
"异常收益[?10,?2]",5029.0,-0.0029450841338719428,0.08106252843564231,-1.183190451,-0.21220763720000002,-0.10822744299999999,-0.031701406,-0.002014713,0.02756369,0.09544286739999987,0.21900859532000042,1.411959738
car_1,5030.0,0.0019503026898011926,0.05914928661427894,-0.39462785,-0.137033515,-0.0617228001,-0.01750740225,0.000441165,0.01964165175,0.06714719205000001,0.15447862338000007,1.644792034
car_2,5036.0,0.0006041927083876088,0.06552958144710086,-0.573265465,-0.1612554464,-0.0763636085,-0.023101663499999998,-0.000293182,0.02197084775,0.08126252175000001,0.17844929614999958,1.521732645
car_3,5045.0,2.2166538156593607e-06,0.07193831528543337,-0.573265465,-0.18367960448,-0.089288046,-0.027238127,-0.001088369,0.025751915,0.08879105000000004,0.19161348292000013,1.306055315
car_5,5049.0,-0.000736332003123391,0.09171634795670809,-0.866798601,-0.25406331124,-0.1049488454,-0.034001496,-0.003104576,0.030900984,0.10404760599999997,0.2629305475999996,1.506011169
car_10,5053.0,-0.0011454321445675832,0.14435158073663845,-2.374584681,-0.33768609624,-0.165211267,-0.053152797,0.000926173,0.053814673,0.16394139959999976,0.3534643808799984,2.13949318
car_15,5053.0,-0.00010385502428260464,0.1773470178586088,-2.76781918,-0.45576214408,-0.2030458886,-0.065764286,0.004315355,0.069251597,0.20608952959999974,0.424107392,2.271354389
car_20,5053.0,-0.0001391008202058189,0.20533401933992484,-3.080522251,-0.50681778008,-0.23758377639999997,-0.07449318,0.004447836,0.078636622,0.24154199179999933,0.49117109339999804,2.098481959
