date,Mkt_RF,Mkt_RF_decimal,SMB,SMB_decimal,HML,HML_decimal,RF,RF_decimal
2021-03-26,1.56,0.015600000000000001,0.19,0.0019,0.68,0.0068000000000000005,0.0,0.0
2021-03-29,-0.48,-0.0048,-2.41,-0.0241,-0.23,-0.0023,0.0,0.0
2021-03-30,-0.03,-0.0003,1.54,0.0154,1.01,0.0101,0.0,0.0
2021-03-31,0.63,0.0063,1.12,0.011200000000000002,-2.34,-0.023399999999999997,0.0,0.0
2021-04-01,1.27,0.0127,0.3,0.003,-0.02,-0.0002,0.0,0.0
2021-04-05,1.28,0.0128,-0.59,-0.0059,-0.71,-0.0070999999999999995,0.0,0.0
2021-04-06,0.0,0.0,-0.31,-0.0031,0.09,0.0009,0.0,0.0
2021-04-07,-0.11,-0.0011,-1.59,-0.0159,0.3,0.003,0.0,0.0
2021-04-08,0.62,0.0062,0.59,0.0059,-1.17,-0.011699999999999999,0.0,0.0
2021-04-09,0.65,0.006500000000000001,-0.64,-0.0064,0.15,0.0015,0.0,0.0
2021-04-12,-0.04,-0.0004,-0.6,-0.006,0.56,0.005600000000000001,0.0,0.0
2021-04-13,0.41,0.0040999999999999995,-0.3,-0.003,-1.6,-0.016,0.0,0.0
2021-04-14,-0.34,-0.0034000000000000002,0.79,0.0079,1.41,0.0141,0.0,0.0
2021-04-15,1.06,0.0106,-0.44,-0.0044,-1.19,-0.011899999999999999,0.0,0.0
2021-04-16,0.27,0.0027,-0.36,-0.0036,0.65,0.006500000000000001,0.0,0.0
2021-04-19,-0.72,-0.0072,-0.78,-0.0078000000000000005,0.79,0.0079,0.0,0.0
2021-04-20,-0.93,-0.009300000000000001,-1.18,-0.0118,-1.57,-0.015700000000000002,0.0,0.0
2021-04-21,1.1,0.011000000000000001,1.38,0.0138,0.12,0.0012,0.0,0.0
2021-04-22,-0.78,-0.0078000000000000005,0.66,0.0066,-0.77,-0.0077,0.0,0.0
2021-04-23,1.26,0.0126,0.75,0.0075,0.69,0.0069,0.0,0.0
2021-04-26,0.41,0.0040999999999999995,0.88,0.0088,-0.5,-0.005,0.0,0.0
2021-04-27,-0.03,-0.0003,-0.16,-0.0016,0.85,0.0085,0.0,0.0
2021-04-28,-0.07,-0.0007000000000000001,0.18,0.0018,0.2,0.002,0.0,0.0
2021-04-29,0.4,0.004,-1.13,-0.0113,1.09,0.0109,0.0,0.0
2021-04-30,-0.82,-0.008199999999999999,-0.43,-0.0043,-0.33,-0.0033,0.0,0.0
2021-05-03,0.18,0.0018,0.44,0.0044,1.7,0.017,0.0,0.0
2021-05-04,-0.89,-0.0089,-0.75,-0.0075,2.0,0.02,0.0,0.0
2021-05-05,-0.05,-0.0005,-0.46,-0.0046,1.33,0.013300000000000001,0.0,0.0
2021-05-06,0.49,0.0049,-0.79,-0.0079,1.18,0.0118,0.0,0.0
2021-05-07,0.84,0.0084,0.42,0.0042,-0.08,-0.0008,0.0,0.0
2021-05-10,-1.35,-0.013500000000000002,-1.67,-0.0167,1.68,0.0168,0.0,0.0
2021-05-11,-0.63,-0.0063,0.95,0.0095,-0.87,-0.0087,0.0,0.0
2021-05-12,-2.34,-0.023399999999999997,-1.32,-0.0132,0.7,0.006999999999999999,0.0,0.0
2021-05-13,1.04,0.0104,0.26,0.0026,1.13,0.0113,0.0,0.0
2021-05-14,1.79,0.0179,0.98,0.0098,-0.16,-0.0016,0.0,0.0
2021-05-17,-0.24,-0.0024,0.59,0.0059,0.84,0.0084,0.0,0.0
2021-05-18,-0.7,-0.006999999999999999,0.26,0.0026,-0.93,-0.009300000000000001,0.0,0.0
2021-05-19,-0.34,-0.0034000000000000002,-0.38,-0.0038,-0.46,-0.0046,0.0,0.0
2021-05-20,1.14,0.011399999999999999,-0.1,-0.001,-1.42,-0.014199999999999999,0.0,0.0
2021-05-21,-0.04,-0.0004,0.22,0.0022,0.98,0.0098,0.0,0.0
2021-05-24,0.99,0.009899999999999999,-0.37,-0.0037,-0.7,-0.006999999999999999,0.0,0.0
2021-05-25,-0.3,-0.003,-0.61,-0.0060999999999999995,-1.23,-0.0123,0.0,0.0
2021-05-26,0.46,0.0046,1.75,0.0175,0.57,0.005699999999999999,0.0,0.0
2021-05-27,0.27,0.0027,0.8,0.008,0.95,0.0095,0.0,0.0
2021-05-28,0.04,0.0004,-0.29,-0.0029,-0.32,-0.0032,0.0,0.0
2021-06-01,0.03,0.0003,1.11,0.0111,1.44,0.0144,0.0,0.0
2021-06-02,0.11,0.0011,-0.13,-0.0013,0.32,0.0032,0.0,0.0
2021-06-03,-0.53,-0.0053,-0.54,-0.0054,0.73,0.0073,0.0,0.0
2021-06-04,0.9,0.009000000000000001,-0.35,-0.0034999999999999996,-0.91,-0.0091,0.0,0.0
2021-06-07,0.14,0.0014000000000000002,1.56,0.015600000000000001,-0.95,-0.0095,0.0,0.0
2021-06-08,0.18,0.0018,1.14,0.011399999999999999,-0.31,-0.0031,0.0,0.0
2021-06-09,-0.29,-0.0029,-0.3,-0.003,-0.84,-0.0084,0.0,0.0
2021-06-10,0.41,0.0040999999999999995,-0.89,-0.0089,-2.05,-0.020499999999999997,0.0,0.0
2021-06-11,0.37,0.0037,0.67,0.0067,0.17,0.0017000000000000001,0.0,0.0
2021-06-14,0.15,0.0015,-0.31,-0.0031,-1.62,-0.016200000000000003,0.0,0.0
2021-06-15,-0.3,-0.003,-0.01,-0.0001,1.28,0.0128,0.0,0.0
2021-06-16,-0.46,-0.0046,0.45,0.0045000000000000005,0.2,0.002,0.0,0.0
2021-06-17,0.01,0.0001,-0.49,-0.0049,-3.57,-0.035699999999999996,0.0,0.0
2021-06-18,-1.23,-0.0123,-0.42,-0.0042,-1.44,-0.0144,0.0,0.0
2021-06-21,1.36,0.013600000000000001,0.61,0.0060999999999999995,1.06,0.0106,0.0,0.0
2021-06-22,0.58,0.0058,0.04,0.0004,-0.43,-0.0043,0.0,0.0
2021-06-23,0.0,0.0,0.55,0.0055000000000000005,-0.29,-0.0029,0.0,0.0
2021-06-24,0.69,0.0069,0.66,0.0066,0.23,0.0023,0.0,0.0
2021-06-25,0.31,0.0031,-0.7,-0.006999999999999999,0.43,0.0043,0.0,0.0
2021-06-28,0.21,0.0021,-0.51,-0.0051,-1.59,-0.0159,0.0,0.0
2021-06-29,0.01,0.0001,-0.24,-0.0024,-0.3,-0.003,0.0,0.0
2021-06-30,0.07,0.0007000000000000001,-0.11,-0.0011,0.75,0.0075,0.0,0.0
2021-07-01,0.44,0.0044,0.36,0.0036,0.44,0.0044,0.0,0.0
2021-07-02,0.56,0.005600000000000001,-1.35,-0.013500000000000002,-0.7,-0.006999999999999999,0.0,0.0
2021-07-06,-0.27,-0.0027,-0.64,-0.0064,-2.0,-0.02,0.0,0.0
2021-07-07,0.1,0.001,-0.9,-0.009000000000000001,0.08,0.0008,0.0,0.0
2021-07-08,-0.86,-0.0086,0.15,0.0015,-0.79,-0.0079,0.0,0.0
2021-07-09,1.26,0.0126,0.62,0.0062,1.57,0.015700000000000002,0.0,0.0
2021-07-12,0.23,0.0023,-0.16,-0.0016,0.56,0.005600000000000001,0.0,0.0
2021-07-13,-0.55,-0.0055000000000000005,-1.12,-0.011200000000000002,-0.41,-0.0040999999999999995,0.0,0.0
