"mode","x_var","y_var","controls","subsample","year_fe","n","n_events","estimate","std.error","p.value","conf.low","conf.high","sig_05","sig_10"
"relationship_x","upstream_hardware","car_1","full","open_source",FALSE,1036,13,-0.0153129396558892,0.00879876822826001,0.107353044083262,-0.0344838087568905,0.00385792944511211,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","full","open_source",TRUE,1036,13,-0.0153004221560457,0.00880917738245456,0.107983944980471,-0.034493970855752,0.00389312654366068,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","full","closed_source",FALSE,3773,47,0.0041005594724338,0.00278175062961638,0.147267735355758,-0.00149881412721236,0.00969993307207996,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","full","closed_source",TRUE,3773,47,0.0040914522452297,0.00276199781607343,0.145334529501908,-0.00146816100296957,0.00965106549342898,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","full","text_or_reason",FALSE,3763,47,-0.000652984396064498,0.00364452914375863,0.858592343809737,-0.00798904106966983,0.00668307227754084,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","full","text_or_reason",TRUE,3763,47,-0.000726107574793035,0.00364828938188535,0.843118849982418,-0.00806973321517453,0.00661751806558846,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","full","media_gen",FALSE,1046,13,0.00238757702560086,0.00532527798126136,0.661890110500962,-0.00921520696151579,0.0139903610127175,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","full","media_gen",TRUE,1046,13,0.00243082248229249,0.00531511691731617,0.655595139813477,-0.0091498224483373,0.0140114674129223,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","all",FALSE,5036,60,0.00218406391352175,0.00325740064809228,0.505159848799345,-0.00433397972789262,0.00870210755493612,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","all",TRUE,5036,60,0.00213293295961771,0.00325651777793557,0.515030345742265,-0.00438334406269364,0.00864920998192906,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","us_creator",FALSE,1849,22,0.00141637859560342,0.00516244351762199,0.786487236528325,-0.00931951041626794,0.0121522676074748,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","us_creator",TRUE,1849,22,0.00139130266068946,0.00517782282955993,0.790779443976475,-0.00937656938121042,0.0121591747025893,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","non_us_creator",FALSE,3187,38,0.00262621219214013,0.00417912393439097,0.533594220065541,-0.00584149722578742,0.0110939216100677,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","non_us_creator",TRUE,3187,38,0.00250057217432211,0.00419737093012263,0.554971108020275,-0.00600410916882984,0.0110052535174741,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","open_source",FALSE,1095,13,-0.0141909280989636,0.00912308275550329,0.145794939892309,-0.03406841785277,0.00568656165484281,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","open_source",TRUE,1095,13,-0.014225420805102,0.00914864111364386,0.14593122946636,-0.0341585974375303,0.00570775582732629,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","closed_source",FALSE,3941,47,0.00668993499307655,0.00301744865192611,0.0315993247751111,0.000616125881649126,0.012763744104504,TRUE,TRUE
"relationship_x","upstream_hardware","car_2","none","closed_source",TRUE,3941,47,0.00663689180919099,0.00300699119647637,0.032331757071696,0.000584132463814242,0.0126896511545677,TRUE,TRUE
"relationship_x","upstream_hardware","car_2","none","text_or_reason",FALSE,3940,47,0.0019977530818927,0.00388699520894504,0.609741478383368,-0.00582636246721367,0.00982186863099907,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","text_or_reason",TRUE,3940,47,0.00186879313040783,0.00390128299012929,0.634193651420646,-0.00598408223056266,0.00972166849137831,FALSE,FALSE
