event_id,event_date,query,title,url,domain,language,sourcecountry,seendate,socialimage
AIT-2025-01-003,2025-01-20,DeepSeek R1,DeepSeek R1 on Raspbery Pi : Future of offline AI in 2025 ?,https://www.digit.in/features/general/deepseek-r1-on-raspbery-pi-future-of-offline-ai-in-2025.html,digit.in,English,India,20250126T100000Z,https://static.digit.in/deepseek-r1-on-raspberry-pi-offline-ai-model.png
AIT-2025-01-003,2025-01-20,DeepSeek R1,"Zach Vorhies reveals how China DeepSeek R1 AI model outperforms OpenAI , sends Nvidia stock crashing – NaturalNews . com",https://www.naturalnews.com/2025-01-28-chinas-deepseek-r1-ai-model-outperforms-openai.html,naturalnews.com,English,United States,20250128T213000Z,https://www.naturalnews.com/wp-content/uploads/sites/91/2025/01/2025-01-28-BBN-Interview-with-Zach-Vorhies.jpg
AIT-2025-01-003,2025-01-20,DeepSeek R1,"Why Are Nvidia , Other AI Stocks Declining After DeepSeek R1 ? Know Competition , What Next | Explained",https://www.news18.com/business/markets/why-are-nvidia-other-ai-stocks-declining-after-deepseek-r1-know-competition-whats-next-explained-9205051.html,news18.com,English,India,20250128T084500Z,https://images.news18.com/ibnlive/uploads/2025/01/Nvidia-DeepSeek-2025-01-56467273d1e0e1e9e4ea3976c80d5ccb-16x9.jpg
AIT-2025-01-003,2025-01-20,DeepSeek R1,Meta Chief AI Exec : DeepSeek Success Shows Value of Open Source,https://www.businessinsider.com/meta-ai-yann-lecun-deepseek-open-source-openai-2025-1,businessinsider.com,English,United States,20250125T203000Z,https://i.insider.com/67952564eb4be2fff9a22844?&format=jpeg
AIT-2025-01-003,2025-01-20,DeepSeek R1,DeepSeek vs Google Search : How Chinese AI search  experience  compares to Google,https://www.moneycontrol.com/technology/deepseek-vs-googlesearch-how-chinese-ai-search-experience-compares-to-google-article-12920871.html,moneycontrol.com,English,India,20250128T044500Z,https://images.moneycontrol.com/static-mcnews/2025/01/20250127093838_DEEPSEEK.jpeg
AIT-2025-01-003,2025-01-20,DeepSeek R1,DeepSeek R1 : The Game - Changing AI Model Everyone Talking About,https://www.themobileindian.com/news/deepseek-r1-the-game-changing-ai-model-everyones-talking-about,themobileindian.com,English,India,20250128T084500Z,https://www.themobileindian.com/wp-content/uploads/2025/01/DeepSeek-R1.jpg
AIT-2025-01-003,2025-01-20,DeepSeek R1,"DeepSeek R1 climbs Indian Apple App Store rankings , gets ahead ChatGPT in US market",https://www.businesstoday.in/technology/news/story/deepseek-r1-climbs-indian-apple-app-store-rankings-gets-ahead-chatgpt-in-us-market-462092-2025-01-27,businesstoday.in,English,India,20250127T070000Z,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202501/67970ab6ae0d2-deepseek-272520945-16x9.jpg
AIT-2025-01-003,2025-01-20,DeepSeek R1,How to download and install DeepSeek AI,https://www.shacknews.com/article/142874/how-to-download-and-install-deepseek-ai,shacknews.com,English,United States,20250128T184500Z,
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI Launches GPT - 5 : All You Need To Know About The AI Chatbot,https://www.news18.com/photogallery/tech/openai-launches-gpt-5-all-you-need-to-know-about-the-ai-chatbot-ws-el-9492700.html,news18.com,English,India,20250808T103000Z,https://images.news18.com/ibnlive/uploads/2025/06/Untitled-design-2025-06-30T121403.507-2025-06-a9df1c4f0abd8c9f8001834baf4bc159-16x9.png
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI releases new model with health focus - Becker Hospital Review,https://www.beckershospitalreview.com/healthcare-information-technology/ai/openai-releases-new-model-with-health-focus/,beckershospitalreview.com,English,United States,20250808T021500Z,https://www.beckershospitalreview.com/wp-content/uploads/sites/9/2025/03/BeckersHospitalReview.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI GPT - 5 release raises revenue risk for Indian IT firms,https://economictimes.indiatimes.com/tech/information-tech/openais-gpt-5-release-raises-revenue-risk-for-indian-it-firms/articleshow/123244589.cms,economictimes.indiatimes.com,English,India,20250812T041500Z,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-63738,resizemode-75,msid-123244589/tech/information-tech/openais-gpt-5-release-raises-revenue-risk-for-indian-it-firms.jpg"
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,"Here everything that new and different in GPT - 5 , OpenAI long - awaited flagship AI model",https://fortune.com/2025/08/07/gpt-5-everything-new-different-hallucinations-personalities-vibecoding-agents-openai/,fortune.com,English,United States,20250808T001500Z,https://fortune.com/img-assets/wp-content/uploads/2025/08/GettyImages-2228187875-e1754606583378.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,"Elon Musk string of warnings for OpenAI , Satya Nadella after GPT - 5 release :  Grok will …",https://www.hindustantimes.com/trending/us/elon-musks-string-of-warnings-for-openai-satya-nadella-after-gpt-5-release-grok-will-101754596632162.html,hindustantimes.com,English,India,20250807T211500Z,https://www.hindustantimes.com/ht-img/img/2025/08/07/1600x900/TESLA-MUSK-PAY-0_1754596987942_1754597004152.JPG
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,Here everything in GPT - 5 that new and different than OpenAI previous AI models,https://www.asiaone.com/digital/heres-everything-gpt-5-thats-new-and-different-openais-previous-ai-models,asiaone.com,English,Singapore,20250808T051500Z,https://media.asiaone.com/sites/default/files/styles/article_top_image/public/original_images/Aug2025/0808_gpt-5.jpg?itok=fl6xav6G
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI Launches GPT - 5 With Smarter Thinking and New Features,https://www.gizchina.com/2025/08/11/openai-launches-gpt-5-with-smarter-thinking-and-new-features/,gizchina.com,English,China,20250811T083000Z,https://www.gizchina.com/wp-content/uploads/images/2024/05/gpt-5-maxresdefault-1200x675.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI big GPT - 5 launch gets bumpy | Editor and Publisher,"http://www.editorandpublisher.com/stories/openais-big-gpt-5-launch-gets-bumpy,257171",editorandpublisher.com,English,United States,20250812T153000Z,
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,Unequivocal antitrust violation : Elon Musk threatens to sue Apple over App Store bias favoring OpenAI - Technology News,https://www.financialexpress.com/life/technology-unequivocal-antitrust-violation-elon-musk-threatens-to-sue-apple-over-app-store-bias-favoring-openai-3944040/,financialexpress.com,English,India,20250812T080000Z,https://www.financialexpress.com/wp-content/uploads/2025/08/diya-0001-2025-08-12T121357.937.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,"GPT - 5 launched : Elon Musk says Grok 5 will release soon and be crushingly good , warns Microsoft :  OpenAI will eat you alive  - Technology News",https://www.financialexpress.com/life/technology-gpt-5-launched-elon-musk-says-grok-5-will-release-soon-and-be-crushingly-good-warns-microsoft-openai-will-eat-you-alive-3940359/,financialexpress.com,English,India,20250808T081500Z,https://www.financialexpress.com/wp-content/uploads/2025/07/FEATURE-IMAGE-2025-06-29T081453.543_20250709162650_20250711015045.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI officially launches GPT - 5 for all ChatGPT users,https://www.neowin.net/news/openai-officially-launches-gpt-5-for-all-chatgpt-users/,neowin.net,English,United States,20250807T173000Z,https://cdn.neowin.com/news/images/uploaded/2025/08/1754576990_openai_gpt-5_story.webp
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI GPT - 5 is a cost cutting exercise,https://biztoc.com/x/37218beca97f42dc,biztoc.com,English,,20250814T113000Z,https://biztoc.com/cdn/37218beca97f42dc_s.webp
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,"ChatGPT 5 launched : OpenAI CEO Sam Altmans says ,  GPT - 5 truly feels like youre speaking with an expert on any subject ... - Technology News",https://www.financialexpress.com/life/technology-chatgpt-5-launched-openai-ceo-sam-altman-says-gpt-5-truly-feels-like-youre-speaking-with-an-expert-on-any-3940069/,financialexpress.com,English,India,20250808T041500Z,https://www.financialexpress.com/wp-content/uploads/2025/04/Sam-Altman-Reuters.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,Here why Sam Altman says OpenAI GPT - 5 falls short of AGI,https://biztoc.com/x/e4b5c4df7b5e56c8,biztoc.com,English,,20250807T193000Z,https://biztoc.com/cdn/950/og.png
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI GPT - 5 Models Leak On GitHub Ahead Of Official Reveal,https://www.bgr.com/1933332/openai-gpt-5-models-leak-github/,bgr.com,English,United States,20250807T091500Z,https://www.bgr.com/img/gallery/openais-gpt-5-models-leak-on-github-ahead-of-official-reveal/l-intro-1754554984.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,Here Why Sam Altman Says OpenAI GPT - 5 Falls Short of AGI,https://biztoc.com/x/e5bf92be7e105704,biztoc.com,English,,20250808T074500Z,https://biztoc.com/cdn/e5bf92be7e105704_s.webp
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,"GPT - 5 launch price features availability : OpenAI drops GPT ‑ 5 : The most powerful , human - like AI yet are PhD - level minds now just a tap away ? Here pricing and availability",https://economictimes.indiatimes.com/news/international/us/openai-drops-gpt5-the-most-powerful-human-like-ai-yetare-phd-level-minds-now-just-a-tap-away-heres-pricing-and-availability/articleshow/123172950.cms,economictimes.indiatimes.com,English,India,20250807T191500Z,"https://img.etimg.com/thumb/msid-123172945,width-1200,height-630,imgsize-8362,overlay-economictimes/articleshow.jpg"
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,"Google launches Gemini 2 . 5 Deep Think model , beats OpenAI o3 and Grok 4 in performance",https://www.neowin.net/news/google-launches-gemini-25-deep-think-model-beats-openai-o3-and-gork-4-in-performance/,neowin.net,English,United States,20250801T173000Z,https://cdn.neowin.com/news/images/uploaded/2025/07/1751518049_1500x500_story.webp
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI GPT - 5 is here and free for all ChatGPT users,https://mashable.com/article/openai-gpt-5-launch?test_uuid=003aGE6xTMbhuvdzpnH5X4Q&test_variant=b,mashable.com,English,United States,20250807T200000Z,https://helios-i.mashable.com/imagery/articles/03pLPuMRdT21Mn8BTT5kYJA/hero-image.fill.size_1200x675.v1754584392.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,People have been trying for … Satya Nadella reply to Elon Musk OpenAI will eat Microsoft alive comment,https://www.moneycontrol.com/technology/people-have-been-trying-for-satya-nadella-s-reply-to-elon-musk-s-openai-will-eat-microsoft-alive-comment-article-13426764.html,moneycontrol.com,English,India,20250809T031500Z,https://images.moneycontrol.com/static-mcnews/2024/02/MixCollage-27-Feb-2024-08-37-AM-3734.jpg
