term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,variable,variable_label,outcome_label,table_family
competitor,0.0038621663521671377,0.004963055614596335,0.7781831702245116,0.43957070189954484,-0.006068884993835151,0.013793217698169427,59,car_10,car_10,4829,60,0.04898096398299279,competitor,Direct competitor,"CAR[0,+10]",single_position
competitor,0.00495150874137309,0.005547261083087446,0.8926042360741424,0.3756954170460418,-0.006148535046933804,0.016051552529679984,59,car_15,car_15,4829,60,0.07026925525403172,competitor,Direct competitor,"CAR[0,+15]",single_position
competitor,-5.022609027951082e-4,0.00671193470622643,-0.07483101740086627,0.9406023109380974,-0.013932811227984425,0.012928289422394207,59,car_20,car_20,4829,60,0.08382091754051912,competitor,Direct competitor,"CAR[0,+20]",single_position
downstream_deployer,-0.009851033769000811,0.0035710818213252195,-2.758557283726733,0.007718659668882963,-0.016996751988247606,-0.0027053155497540164,59,car_10,car_10,4829,60,0.049940616742535804,downstream_deployer,Downstream deployer,"CAR[0,+10]",single_position
downstream_deployer,-0.014291175785333614,0.004306722091504974,-3.3183417647317,0.0015551206109905556,-0.0229089067851457,-0.005673444785521526,59,car_15,car_15,4829,60,0.07162226604953537,downstream_deployer,Downstream deployer,"CAR[0,+15]",single_position
downstream_deployer,-0.019015616763014366,0.005069484620130385,-3.7509960455359446,4.03839450563957e-4,-0.02915963205718482,-0.008871601468843911,59,car_20,car_20,4829,60,0.08569108947997861,downstream_deployer,Downstream deployer,"CAR[0,+20]",single_position
downstream_enabler,-0.010913783899772996,0.005303647214583979,-2.0577884346760946,0.04403736128709223,-0.021526357463166248,-3.012103363797432e-4,59,car_10,car_10,4829,60,0.049589809468571944,downstream_enabler,Downstream enabler,"CAR[0,+10]",single_position
downstream_enabler,-0.01726401079389292,0.0059353742519895865,-2.9086642326060366,0.005109793288372299,-0.02914066723934819,-0.0053873543484376524,59,car_15,car_15,4829,60,0.0713184053632806,downstream_enabler,Downstream enabler,"CAR[0,+15]",single_position
downstream_enabler,-0.010652402897937287,0.006673256977383814,-1.5962824351046434,0.11576868924594112,-0.02400555926647758,0.0027007534706030047,59,car_20,car_20,4829,60,0.08413793512860335,downstream_enabler,Downstream enabler,"CAR[0,+20]",single_position
downstream_integrator,-6.736177039269162e-4,0.005938238160364153,-0.1134373000434876,0.9100689875960812,-0.01255600481680296,0.011208769408949127,59,car_10,car_10,4829,60,0.0489025335872304,downstream_integrator,Downstream integrator,"CAR[0,+10]",single_position
downstream_integrator,-0.004168915648340143,0.00685978731224195,-0.6077324935279426,0.5456971262461747,-0.01789531835480482,0.009557487058124533,59,car_15,car_15,4829,60,0.07034385597797288,downstream_integrator,Downstream integrator,"CAR[0,+15]",single_position
downstream_integrator,-0.006875287713228901,0.008377285467526231,-0.8207059124199976,0.41511751172341893,-0.023638197214674896,0.009887621788217095,59,car_20,car_20,4829,60,0.08415133701334654,downstream_integrator,Downstream integrator,"CAR[0,+20]",single_position
upstream_cloud,0.009690204866115285,0.005265557383408936,1.840299926584756,0.0707553049234143,-8.461511211445456e-4,0.020226560853375115,59,car_10,car_10,4829,60,0.04920193778131732,upstream_cloud,Upstream cloud,"CAR[0,+10]",single_position
upstream_cloud,0.016113934244771547,0.0054019093664904125,2.9830071464602654,0.004145741633388804,0.005304738569572512,0.026923129919970583,59,car_15,car_15,4829,60,0.07073349236074078,upstream_cloud,Upstream cloud,"CAR[0,+15]",single_position
upstream_cloud,0.011322985941003205,0.0060525421352969795,1.870781844701296,0.06633734107794356,-7.881228974105422e-4,0.02343409477941695,59,car_20,car_20,4829,60,0.08402104170884095,upstream_cloud,Upstream cloud,"CAR[0,+20]",single_position
upstream_hardware,0.006862303382592091,0.005898630631114939,1.1633722827793003,0.2493620058049841,-0.00494082924731878,0.01866543601250296,59,car_10,car_10,4829,60,0.0494440402132964,upstream_hardware,Upstream hardware,"CAR[0,+10]",single_position
upstream_hardware,0.01653748648752783,0.007349368712249434,2.250191429362397,0.028179274270581874,0.001831433662450194,0.03124353931260547,59,car_15,car_15,4829,60,0.0722692970648181,upstream_hardware,Upstream hardware,"CAR[0,+15]",single_position
upstream_hardware,0.02276375647467883,0.00842259450072066,2.7027012249884645,0.008968752478458042,0.005910183807225137,0.03961732914213252,59,car_20,car_20,4829,60,0.08671902692614442,upstream_hardware,Upstream hardware,"CAR[0,+20]",single_position
